n,r,s,lambda,LC,OLC,ULC
9,6,5,2,True,True,True
9,7,1,7,True,False,False
9,7,2,6,False,False,False
9,7,3,5,False,False,False
9,7,4,4,False,False,False
9,7,5,3,False,False,False
9,7,6,2,True,True,True
9,8,1,8,True,True,False
9,8,2,7,True,False,False
9,8,3,6,True,False,False
9,8,4,5,False,False,False
9,8,5,4,False,False,False
9,8,6,3,False,False,False
9,8,7,2,True,True,True
10,2,1,2,True,True,True
10,3,1,3,False,False,False
10,3,2,2,True,True,True
10,4,1,4,False,False,False
10,4,2,3,False,False,False
10,4,3,2,True,True,True
10,5,1,5,True,False,False
10,5,2,4,False,False,False
10,5,3,3,False,False,False
10,5,4,2,True,True,True
10,6,1,6,True,False,False
10,6,2,5,False,False,False
10,6,3,4,False,False,False
10,6,4,3,False,False,False
10,6,5,2,True,True,True
10,7,1,7,True,False,False
10,7,2,6,False,False,False
10,7,3,5,False,False,False
10,7,4,4,False,False,False
10,7,5,3,False,False,False
10,7,6,2,True,True,True
10,8,1,8,True,False,False
10,8,2,7,False,False,False
10,8,3,6,False,False,False
10,8,4,5,False,False,False
10,8,5,4,False,False,False
10,8,6,3,False,False,False
10,8,7,2,True,True,True
10,9,1,9,True,True,False
10,9,2,8,True,False,False
10,9,3,7,True,False,False
10,9,4,6,False,False,False
10,9,5,5,False,False,False
10,9,6,4,False,False,False
10,9,7,3,False,False,False
10,9,8,2,True,True,True
11,2,1,2,True,True,True
11,3,1,3,False,False,False
11,3,2,2,True,True,True
11,4,1,4,False,False,False
11,4,2,3,False,False,False
11,4,3,2,True,True,True
11,5,1,5,False,False,False
11,5,2,4,False,False,False
11,5,3,3,False,False,False
11,5,4,2,True,True,True
11,6,1,6,True,False,False
11,6,2,5,False,False,False
11,6,3,4,False,False,False
11,6,4,3,False,False,False
11,6,5,2,True,True,True
11,7,1,7,True,False,False
11,7,2,6,False,False,False
11,7,3,5,False,False,False
11,7,4,4,False,False,False
11,7,5,3,False,False,False
11,7,6,2,True,True,True
11,8,1,8,True,False,False
11,8,2,7,False,False,False
11,8,3,6,False,False,False
11,8,4,5,False,False,False
11,8,5,4,False,False,False
11,8,6,3,False,False,False
11,8,7,2,True,True,True
11,9,1,9,True,False,False
11,9,2,8,True,False,False
11,9,3,7,False,False,False
11,9,4,6,False,False,False
11,9,5,5,False,False,False
11,9,6,4,False,False,False
11,9,7,3,False,False,False
11,9,8,2,True,True,True
11,10,1,10,True,True,False
11,10,2,9,True,False,False
11,10,3,8,True,False,False
11,10,4,7,False,False,False
11,10,5,6,False,False,False
11,10,6,5,False,False,False
11,10,7,4,False,False,False
11,10,8,3,False,False,False
11,10,9,2,True,True,True
12,2,1,2,True,True,True
12,3,1,3,False,False,False
12,3,2,2,True,True,True
12,4,1,4,False,False,False
12,4,2,3,False,False,False
12,4,3,2,True,True,True
12,5,1,5,False,False,False
12,5,2,4,False,False,False
12,5,3,3,False,False,False
12,5,4,2,True,True,True
12,6,1,6,False,False,False
12,6,2,5,False,False,False
12,6,3,4,False,False,False
12,6,4,3,False,False,False
12,6,5,2,True,True,True
12,7,1,7,True,False,False
12,7,2,6,False,False,False
12,7,3,5,False,False,False
12,7,4,4,False,False,False
12,7,5,3,False,False,False
12,7,6,2,True,True,True
12,8,1,8,True,False,False
12,8,2,7,False,False,False
12,8,3,6,False,False,False
12,8,4,5,False,False,False
12,8,5,4,False,False,False
12,8,6,3,False,False,False
12,8,7,2,True,True,True
12,9,1,9,True,False,False
12,9,2,8,False,False,False
12,9,3,7,False,False,False
12,9,4,6,False,False,False
12,9,5,5,False,False,False
12,9,6,4,False,False,False
12,9,7,3,False,False,False
12,9,8,2,True,True,True
12,10,1,10,True,False,False
12,10,2,9,True,False,False
12,10,3,8,False,False,False
12,10,4,7,False,False,False
12,10,5,6,False,False,False
12,10,6,5,False,False,False
12,10,7,4,False,False,False
12,10,8,3,False,False,False
12,10,9,2,True,True,True
12,11,1,11,True,True,False
12,11,2,10,True,False,False
12,11,3,9,True,False,False
12,11,4,8,False,False,False
12,11,5,7,False,False,False
12,11,6,6,False,False,False
12,11,7,5,False,False,False
12,11,8,4,False,False,False
12,11,9,3,False,False,False
12,11,10,2,True,True,True
13,2,1,2,True,True,True
13,3,1,3,False,False,False
13,3,2,2,True,True,True
13,4,1,4,False,False,False
13,4,2,3,False,False,False
13,4,3,2,True,True,True
13,5,1,5,False,False,False
13,5,2,4,False,False,False
13,5,3,3,False,False,False
13,5,4,2,True,True,True
13,6,1,6,False,False,False
13,6,2,5,False,False,False
13,6,3,4,False,False,False
13,6,4,3,False,False,False
13,6,5,2,True,True,True
13,7,1,7,False,False,False
13,7,2,6,False,False,False
13,7,3,5,False,False,False
13,7,4,4,False,False,False
13,7,5,3,False,False,False
13,7,6,2,True,True,True
13,8,1,8,True,False,False
13,8,2,7,False,False,False
13,8,3,6,False,False,False
13,8,4,5,False,False,False
13,8,5,4,False,False,False
13,8,6,3,False,False,False
13,8,7,2,True,True,True
13,9,1,9,True,False,False
13,9,2,8,False,False,False
13,9,3,7,False,False,False
13,9,4,6,False,False,False
13,9,5,5,False,False,False
13,9,6,4,False,False,False
13,9,7,3,False,False,False
13,9,8,2,True,True,True
13,10,1,10,True,False,False
13,10,2,9,False,False,False
13,10,3,8,False,False,False
13,10,4,7,False,False,False
13,10,5,6,False,False,False
13,10,6,5,False,False,False
13,10,7,4,False,False,False
13,10,8,3,False,False,False
13,10,9,2,True,True,True
13,11,1,11,True,False,False
13,11,2,10,True,False,False
13,11,3,9,False,False,False
13,11,4,8,False,False,False
13,11,5,7,False,False,False
13,11,6,6,False,False,False
13,11,7,5,False,False,False
13,11,8,4,False,False,False
13,11,9,3,False,False,False
13,11,10,2,True,True,True
13,12,1,12,True,True,False
13,12,2,11,True,False,False
13,12,3,10,True,False,False
13,12,4,9,False,False,False
13,12,5,8,False,False,False
13,12,6,7,False,False,False
13,12,7,6,False,False,False
13,12,8,5,False,False,False
13,12,9,4,False,False,False
13,12,10,3,False,False,False
13,12,11,2,True,True,True
14,2,1,2,True,True,True
14,3,1,3,False,False,False
14,3,2,2,True,True,True
14,4,1,4,False,False,False
14,4,2,3,False,False,False
14,4,3,2,True,True,True
14,5,1,5,False,False,False
14,5,2,4,False,False,False
14,5,3,3,False,False,False
14,5,4,2,True,True,True
14,6,1,6,False,False,False
14,6,2,5,False,False,False
14,6,3,4,False,False,False
14,6,4,3,False,False,False
14,6,5,2,True,True,True
14,7,1,7,False,False,False
14,7,2,6,False,False,False
14,7,3,5,False,False,False
14,7,4,4,False,False,False
14,7,5,3,False,False,False
14,7,6,2,True,True,True
14,8,1,8,True,False,False
14,8,2,7,False,False,False
14,8,3,6,False,False,False
14,8,4,5,False,False,False
14,8,5,4,False,False,False
14,8,6,3,False,False,False
14,8,7,2,True,True,True
14,9,1,9,True,False,False
14,9,2,8,False,False,False
14,9,3,7,False,False,False
14,9,4,6,False,False,False
14,9,5,5,False,False,False
14,9,6,4,False,False,False
14,9,7,3,False,False,False
14,9,8,2,True,True,True
14,10,1,10,True,False,False
14,10,2,9,False,False,False
14,10,3,8,False,False,False
14,10,4,7,False,False,False
14,10,5,6,False,False,False
14,10,6,5,False,False,False
14,10,7,4,False,False,False
14,10,8,3,False,False,False
14,10,9,2,True,True,True
14,11,1,11,True,False,False
14,11,2,10,False,False,False
14,11,3,9,False,False,False
14,11,4,8,False,False,False
14,11,5,7,False,False,False
14,11,6,6,False,False,False
14,11,7,5,False,False,False
14,11,8,4,False,False,False
14,11,9,3,False,False,False
14,11,10,2,True,True,True
14,12,1,12,True,False,False
14,12,2,11,True,False,False
14,12,3,10,False,False,False
14,12,4,9,False,False,False
14,12,5,8,False,False,False
14,12,6,7,False,False,False
14,12,7,6,False,False,False
14,12,8,5,False,False,False
14,12,9,4,False,False,False
14,12,10,3,False,False,False
14,12,11,2,True,True,True
14,13,1,13,True,True,False
14,13,2,12,True,False,False
14,13,3,11,True,False,False
14,13,4,10,False,False,False
14,13,5,9,False,False,False
14,13,6,8,False,False,False
14,13,7,7,False,False,False
14,13,8,6,False,False,False
14,13,9,5,False,False,False
14,13,10,4,False,False,False
14,13,11,3,False,False,False
14,13,12,2,True,True,True
15,2,1,2,True,True,True
15,3,1,3,False,False,False
15,3,2,2,True,True,True
15,4,1,4,False,False,False
15,4,2,3,False,False,False
15,4,3,2,True,True,True
15,5,1,5,False,False,False
15,5,2,4,False,False,False
15,5,3,3,False,False,False
15,5,4,2,True,True,True
15,6,1,6,False,False,False
15,6,2,5,False,False,False
15,6,3,4,False,False,False
15,6,4,3,False,False,False
15,6,5,2,True,True,True
15,7,1,7,False,False,False
15,7,2,6,False,False,False
15,7,3,5,False,False,False
15,7,4,4,False,False,False
15,7,5,3,False,False,False
15,7,6,2,True,True,True
15,8,1,8,False,False,False
15,8,2,7,False,False,False
15,8,3,6,False,False,False
15,8,4,5,False,False,False
15,8,5,4,False,False,False
15,8,6,3,False,False,False
15,8,7,2,True,True,True
15,9,1,9,True,False,False
15,9,2,8,False,False,False
15,9,3,7,False,False,False
15,9,4,6,False,False,False
15,9,5,5,False,False,False
15,9,6,4,False,False,False
15,9,7,3,False,False,False
15,9,8,2,True,True,True
15,10,1,10,True,False,False
15,10,2,9,False,False,False
15,10,3,8,False,False,False
15,10,4,7,False,False,False
15,10,5,6,False,False,False
15,10,6,5,False,False,False
15,10,7,4,False,False,False
15,10,8,3,False,False,False
15,10,9,2,True,True,True
15,11,1,11,True,False,False
15,11,2,10,False,False,False
15,11,3,9,False,False,False
15,11,4,8,False,False,False
15,11,5,7,False,False,False
15,11,6,6,False,False,False
15,11,7,5,False,False,False
15,11,8,4,False,False,False
15,11,9,3,False,False,False
15,11,10,2,True,True,True
15,12,1,12,True,False,False
15,12,2,11,False,False,False
15,12,3,10,False,False,False
15,12,4,9,False,False,False
15,12,5,8,False,False,False
15,12,6,7,False,False,False
15,12,7,6,False,False,False
15,12,8,5,False,False,False
15,12,9,4,False,False,False
15,12,10,3,False,False,False
15,12,11,2,True,True,True
15,13,1,13,True,False,False
15,13,2,12,True,False,False
15,13,3,11,False,False,False
15,13,4,10,False,False,False
15,13,5,9,False,False,False
15,13,6,8,False,False,False
15,13,7,7,False,False,False
15,13,8,6,False,False,False
15,13,9,5,False,False,False
15,13,10,4,False,False,False
15,13,11,3,False,False,False
15,13,12,2,True,True,True
15,14,1,14,True,True,False
15,14,2,13,True,False,False
15,14,3,12,True,False,False
15,14,4,11,False,False,False
15,14,5,10,False,False,False
15,14,6,9,False,False,False
15,14,7,8,False,False,False
15,14,8,7,False,False,False
15,14,9,6,False,False,False
15,14,10,5,False,False,False
15,14,11,4,False,False,False
15,14,12,3,False,False,False
15,14,13,2,True,True,True
16,2,1,2,True,True,True
16,3,1,3,False,False,False
16,3,2,2,True,True,True
16,4,1,4,False,False,False
16,4,2,3,False,False,False
16,4,3,2,True,True,True
16,5,1,5,False,False,False
16,5,2,4,False,False,False
16,5,3,3,False,False,False
16,5,4,2,True,True,True
16,6,1,6,False,False,False
16,6,2,5,False,False,False
16,6,3,4,False,False,False
16,6,4,3,False,False,False
16,6,5,2,True,True,True
16,7,1,7,False,False,False
16,7,2,6,False,False,False
16,7,3,5,False,False,False
16,7,4,4,False,False,False
16,7,5,3,False,False,False
16,7,6,2,True,True,True
16,8,1,8,False,False,False
16,8,2,7,False,False,False
16,8,3,6,False,False,False
16,8,4,5,False,False,False
16,8,5,4,False,False,False
16,8,6,3,False,False,False
16,8,7,2,True,True,True
16,9,1,9,False,False,False
16,9,2,8,False,False,False
16,9,3,7,False,False,False
16,9,4,6,False,False,False
16,9,5,5,False,False,False
16,9,6,4,False,False,False
16,9,7,3,False,False,False
16,9,8,2,True,True,True
16,10,1,10,True,False,False
16,10,2,9,False,False,False
16,10,3,8,False,False,False
16,10,4,7,False,False,False
16,10,5,6,False,False,False
16,10,6,5,False,False,False
16,10,7,4,False,False,False
16,10,8,3,False,False,False
16,10,9,2,True,True,True
16,11,1,11,True,False,False
16,11,2,10,False,False,False
16,11,3,9,False,False,False
16,11,4,8,False,False,False
16,11,5,7,False,False,False
16,11,6,6,False,False,False
16,11,7,5,False,False,False
16,11,8,4,False,False,False
16,11,9,3,False,False,False
16,11,10,2,True,True,True
16,12,1,12,True,False,False
16,12,2,11,False,False,False
16,12,3,10,False,False,False
16,12,4,9,False,False,False
16,12,5,8,False,False,False
16,12,6,7,False,False,False
16,12,7,6,False,False,False
16,12,8,5,False,False,False
16,12,9,4,False,False,False
16,12,10,3,False,False,False
16,12,11,2,True,True,True
16,13,1,13,True,False,False
16,13,2,12,False,False,False
16,13,3,11,False,False,False
16,13,4,10,False,False,False
16,13,5,9,False,False,False
16,13,6,8,False,False,False
16,13,7,7,False,False,False
16,13,8,6,False,False,False
16,13,9,5,False,False,False
16,13,10,4,False,False,False
16,13,11,3,False,False,False
16,13,12,2,True,True,True
16,14,1,14,True,False,False
16,14,2,13,True,False,False
16,14,3,12,False,False,False
16,14,4,11,False,False,False
16,14,5,10,False,False,False
16,14,6,9,False,False,False
16,14,7,8,False,False,False
16,14,8,7,False,False,False
16,14,9,6,False,False,False
16,14,10,5,False,False,False
16,14,11,4,False,False,False
16,14,12,3,False,False,False
16,14,13,2,True,True,True
16,15,1,15,True,True,False
16,15,2,14,True,False,False
16,15,3,13,True,False,False
16,15,4,12,False,False,False
16,15,5,11,False,False,False
16,15,6,10,False,False,False
16,15,7,9,False,False,False
16,15,8,8,False,False,False
16,15,9,7,False,False,False
16,15,10,6,False,False,False
16,15,11,5,False,False,False
16,15,12,4,False,False,False
16,15,13,3,False,False,False
16,15,14,2,True,True,True
17,2,1,2,True,True,True
17,3,1,3,False,False,False
17,3,2,2,True,True,True
17,4,1,4,False,False,False
17,4,2,3,False,False,False
17,4,3,2,True,True,True
17,5,1,5,False,False,False
17,5,2,4,False,False,False
17,5,3,3,False,False,False
17,5,4,2,True,True,True
17,6,1,6,False,False,False
17,6,2,5,False,False,False
17,6,3,4,False,False,False
17,6,4,3,False,False,False
17,6,5,2,True,True,True
17,7,1,7,False,False,False
17,7,2,6,False,False,False
17,7,3,5,False,False,False
17,7,4,4,False,False,False
17,7,5,3,False,False,False
17,7,6,2,True,True,True
17,8,1,8,False,False,False
17,8,2,7,False,False,False
17,8,3,6,False,False,False
17,8,4,5,False,False,False
17,8,5,4,False,False,False
17,8,6,3,False,False,False
17,8,7,2,True,True,True
17,9,1,9,False,False,False
17,9,2,8,False,False,False
17,9,3,7,False,False,False
17,9,4,6,False,False,False
17,9,5,5,False,False,False
17,9,6,4,False,False,False
17,9,7,3,False,False,False
17,9,8,2,True,True,True
17,10,1,10,False,False,False
17,10,2,9,False,False,False
17,10,3,8,False,False,False
17,10,4,7,False,False,False
17,10,5,6,False,False,False
17,10,6,5,False,False,False
17,10,7,4,False,False,False
17,10,8,3,False,False,False
17,10,9,2,True,True,True
17,11,1,11,True,False,False
17,11,2,10,False,False,False
17,11,3,9,False,False,False
17,11,4,8,False,False,False
17,11,5,7,False,False,False
17,11,6,6,False,False,False
17,11,7,5,False,False,False
17,11,8,4,False,False,False
17,11,9,3,False,False,False
17,11,10,2,True,True,True
17,12,1,12,True,False,False
17,12,2,11,False,False,False
17,12,3,10,False,False,False
17,12,4,9,False,False,False
17,12,5,8,False,False,False
17,12,6,7,False,False,False
17,12,7,6,False,False,False
17,12,8,5,False,False,False
17,12,9,4,False,False,False
17,12,10,3,False,False,False
17,12,11,2,True,True,True
17,13,1,13,True,False,False
17,13,2,12,False,False,False
17,13,3,11,False,False,False
17,13,4,10,False,False,False
17,13,5,9,False,False,False
17,13,6,8,False,False,False
17,13,7,7,False,False,False
17,13,8,6,False,False,False
17,13,9,5,False,False,False
17,13,10,4,False,False,False
17,13,11,3,False,False,False
17,13,12,2,True,True,True
17,14,1,14,True,False,False
17,14,2,13,False,False,False
17,14,3,12,False,False,False
17,14,4,11,False,False,False
17,14,5,10,False,False,False
17,14,6,9,False,False,False
17,14,7,8,False,False,False
17,14,8,7,False,False,False
17,14,9,6,False,False,False
17,14,10,5,False,False,False
17,14,11,4,False,False,False
17,14,12,3,False,False,False
17,14,13,2,True,True,True
17,15,1,15,True,False,False
17,15,2,14,True,False,False
17,15,3,13,False,False,False
17,15,4,12,False,False,False
17,15,5,11,False,False,False
17,15,6,10,False,False,False
17,15,7,9,False,False,False
17,15,8,8,False,False,False
17,15,9,7,False,False,False
17,15,10,6,False,False,False
17,15,11,5,False,False,False
17,15,12,4,False,False,False
17,15,13,3,False,False,False
17,15,14,2,True,True,True
17,16,1,16,True,True,False
17,16,2,15,True,False,False
17,16,3,14,True,False,False
17,16,4,13,True,False,False
17,16,5,12,False,False,False
17,16,6,11,False,False,False
17,16,7,10,False,False,False
17,16,8,9,False,False,False
17,16,9,8,False,False,False
17,16,10,7,False,False,False
17,16,11,6,False,False,False
17,16,12,5,False,False,False
17,16,13,4,False,False,False
17,16,14,3,False,False,False
17,16,15,2,True,True,True
18,2,1,2,True,True,True
18,3,1,3,False,False,False
18,3,2,2,True,True,True
18,4,1,4,False,False,False
18,4,2,3,False,False,False
18,4,3,2,True,True,True
18,5,1,5,False,False,False
18,5,2,4,False,False,False
18,5,3,3,False,False,False
18,5,4,2,True,True,True
18,6,1,6,False,False,False
18,6,2,5,False,False,False
18,6,3,4,False,False,False
18,6,4,3,False,False,False
18,6,5,2,True,True,True
18,7,1,7,False,False,False
18,7,2,6,False,False,False
18,7,3,5,False,False,False
18,7,4,4,False,False,False
18,7,5,3,False,False,False
18,7,6,2,True,True,True
18,8,1,8,False,False,False
18,8,2,7,False,False,False
18,8,3,6,False,False,False
18,8,4,5,False,False,False
18,8,5,4,False,False,False
18,8,6,3,False,False,False
18,8,7,2,True,True,True
18,9,1,9,False,False,False
18,9,2,8,False,False,False
18,9,3,7,False,False,False
18,9,4,6,False,False,False
18,9,5,5,False,False,False
18,9,6,4,False,False,False
18,9,7,3,False,False,False
18,9,8,2,True,True,True
18,10,1,10,False,False,False
18,10,2,9,False,False,False
18,10,3,8,False,False,False
18,10,4,7,False,False,False
18,10,5,6,False,False,False
18,10,6,5,False,False,False
18,10,7,4,False,False,False
18,10,8,3,False,False,False
18,10,9,2,True,True,True
18,11,1,11,True,False,False
18,11,2,10,False,False,False
18,11,3,9,False,False,False
18,11,4,8,False,False,False
18,11,5,7,False,False,False
18,11,6,6,False,False,False
18,11,7,5,False,False,False
18,11,8,4,False,False,False
18,11,9,3,False,False,False
18,11,10,2,True,True,True
18,12,1,12,True,False,False
18,12,2,11,False,False,False
18,12,3,10,False,False,False
18,12,4,9,False,False,False
18,12,5,8,False,False,False
18,12,6,7,False,False,False
18,12,7,6,False,False,False
18,12,8,5,False,False,False
18,12,9,4,False,False,False
18,12,10,3,False,False,False
18,12,11,2,True,True,True
18,13,1,13,True,False,False
18,13,2,12,False,False,False
18,13,3,11,False,False,False
18,13,4,10,False,False,False
18,13,5,9,False,False,False
18,13,6,8,False,False,False
18,13,7,7,False,False,False
18,13,8,6,False,False,False
18,13,9,5,False,False,False
18,13,10,4,False,False,False
18,13,11,3,False,False,False
18,13,12,2,True,True,True
18,14,1,14,True,False,False
18,14,2,13,False,False,False
18,14,3,12,False,False,False
18,14,4,11,False,False,False
18,14,5,10,False,False,False
18,14,6,9,False,False,False
18,14,7,8,False,False,False
18,14,8,7,False,False,False
18,14,9,6,False,False,False
18,14,10,5,False,False,False
18,14,11,4,False,False,False
18,14,12,3,False,False,False
18,14,13,2,True,True,True
18,15,1,15,True,False,False
18,15,2,14,False,False,False
18,15,3,13,False,False,False
18,15,4,12,False,False,False
18,15,5,11,False,False,False
18,15,6,10,False,False,False
18,15,7,9,False,False,False
18,15,8,8,False,False,False
18,15,9,7,False,False,False
18,15,10,6,False,False,False
18,15,11,5,False,False,False
18,15,12,4,False,False,False
18,15,13,3,False,False,False
18,15,14,2,True,True,True
18,16,1,16,True,False,False
18,16,2,15,True,False,False
18,16,3,14,False,False,False
18,16,4,13,False,False,False
18,16,5,12,False,False,False
18,16,6,11,False,False,False
18,16,7,10,False,False,False
18,16,8,9,False,False,False
18,16,9,8,False,False,False
18,16,10,7,False,False,False
18,16,11,6,False,False,False
18,16,12,5,False,False,False
18,16,13,4,False,False,False
18,16,14,3,False,False,False
18,16,15,2,True,True,True
18,17,1,17,True,True,False
18,17,2,16,True,False,False
18,17,3,15,True,False,False
18,17,4,14,True,False,False
18,17,5,13,False,False,False
18,17,6,12,False,False,False
18,17,7,11,False,False,False
18,17,8,10,False,False,False
18,17,9,9,False,False,False
18,17,10,8,False,False,False
18,17,11,7,False,False,False
18,17,12,6,False,False,False
18,17,13,5,False,False,False
18,17,14,4,False,False,False
18,17,15,3,False,False,False
18,17,16,2,True,True,True
19,2,1,2,True,True,True
19,3,1,3,False,False,False
19,3,2,2,True,True,True
19,4,1,4,False,False,False
19,4,2,3,False,False,False
19,4,3,2,True,True,True
19,5,1,5,False,False,False
19,5,2,4,False,False,False
19,5,3,3,False,False,False
19,5,4,2,True,True,True
19,6,1,6,False,False,False
19,6,2,5,False,False,False
19,6,3,4,False,False,False
19,6,4,3,False,False,False
19,6,5,2,True,True,True
19,7,1,7,False,False,False
19,7,2,6,False,False,False
19,7,3,5,False,False,False
19,7,4,4,False,False,False
19,7,5,3,False,False,False
19,7,6,2,True,True,True
19,8,1,8,False,False,False
19,8,2,7,False,False,False
19,8,3,6,False,False,False
19,8,4,5,False,False,False
19,8,5,4,False,False,False
19,8,6,3,False,False,False
19,8,7,2,True,True,True
19,9,1,9,False,False,False
19,9,2,8,False,False,False
19,9,3,7,False,False,False
19,9,4,6,False,False,False
19,9,5,5,False,False,False
19,9,6,4,False,False,False
19,9,7,3,False,False,False
19,9,8,2,True,True,True
19,10,1,10,False,False,False
19,10,2,9,False,False,False
19,10,3,8,False,False,False
19,10,4,7,False,False,False
19,10,5,6,False,False,False
19,10,6,5,False,False,False
19,10,7,4,False,False,False
19,10,8,3,False,False,False
19,10,9,2,True,True,True
19,11,1,11,False,False,False
19,11,2,10,False,False,False
19,11,3,9,False,False,False
19,11,4,8,False,False,False
19,11,5,7,False,False,False
19,11,6,6,False,False,False
19,11,7,5,False,False,False
19,11,8,4,False,False,False
19,11,9,3,False,False,False
19,11,10,2,True,True,True
19,12,1,12,True,False,False
19,12,2,11,False,False,False
19,12,3,10,False,False,False
19,12,4,9,False,False,False
19,12,5,8,False,False,False
19,12,6,7,False,False,False
19,12,7,6,False,False,False
19,12,8,5,False,False,False
19,12,9,4,False,False,False
19,12,10,3,False,False,False
19,12,11,2,True,True,True
19,13,1,13,True,False,False
19,13,2,12,False,False,False
19,13,3,11,False,False,False
19,13,4,10,False,False,False
19,13,5,9,False,False,False
19,13,6,8,False,False,False
19,13,7,7,False,False,False
19,13,8,6,False,False,False
19,13,9,5,False,False,False
19,13,10,4,False,False,False
19,13,11,3,False,False,False
19,13,12,2,True,True,True
19,14,1,14,True,False,False
19,14,2,13,False,False,False
19,14,3,12,False,False,False
19,14,4,11,False,False,False
19,14,5,10,False,False,False
19,14,6,9,False,False,False
19,14,7,8,False,False,False
19,14,8,7,False,False,False
19,14,9,6,False,False,False
19,14,10,5,False,False,False
19,14,11,4,False,False,False
19,14,12,3,False,False,False
19,14,13,2,True,True,True
19,15,1,15,True,False,False
19,15,2,14,False,False,False
19,15,3,13,False,False,False
19,15,4,12,False,False,False
19,15,5,11,False,False,False
19,15,6,10,False,False,False
19,15,7,9,False,False,False
19,15,8,8,False,False,False
19,15,9,7,False,False,False
19,15,10,6,False,False,False
19,15,11,5,False,False,False
19,15,12,4,False,False,False
19,15,13,3,False,False,False
19,15,14,2,True,True,True
19,16,1,16,True,False,False
19,16,2,15,True,False,False
19,16,3,14,False,False,False
19,16,4,13,False,False,False
19,16,5,12,False,False,False
19,16,6,11,False,False,False
19,16,7,10,False,False,False
19,16,8,9,False,False,False
19,16,9,8,False,False,False
19,16,10,7,False,False,False
19,16,11,6,False,False,False
19,16,12,5,False,False,False
19,16,13,4,False,False,False
19,16,14,3,False,False,False
19,16,15,2,True,True,True
19,17,1,17,True,False,False
19,17,2,16,True,False,False
19,17,3,15,False,False,False
19,17,4,14,False,False,False
19,17,5,13,False,False,False
19,17,6,12,False,False,False
19,17,7,11,False,False,False
19,17,8,10,False,False,False
19,17,9,9,False,False,False
19,17,10,8,False,False,False
19,17,11,7,False,False,False
19,17,12,6,False,False,False
19,17,13,5,False,False,False
19,17,14,4,False,False,False
19,17,15,3,False,False,False
19,17,16,2,True,True,True
19,18,1,18,True,True,False
19,18,2,17,True,False,False
19,18,3,16,True,False,False
19,18,4,15,True,False,False
19,18,5,14,False,False,False
19,18,6,13,False,False,False
19,18,7,12,False,False,False
19,18,8,11,False,False,False
19,18,9,10,False,False,False
19,18,10,9,False,False,False
19,18,11,8,False,False,False
19,18,12,7,False,False,False
19,18,13,6,False,False,False
19,18,14,5,False,False,False
19,18,15,4,False,False,False
19,18,16,3,False,False,False
19,18,17,2,True,True,True
20,2,1,2,True,True,True
20,3,1,3,False,False,False
20,3,2,2,True,True,True
20,4,1,4,False,False,False
20,4,2,3,False,False,False
20,4,3,2,True,True,True
20,5,1,5,False,False,False
20,5,2,4,False,False,False
20,5,3,3,False,False,False
20,5,4,2,True,True,True
20,6,1,6,False,False,False
20,6,2,5,False,False,False
20,6,3,4,False,False,False
20,6,4,3,False,False,False
20,6,5,2,True,True,True
20,7,1,7,False,False,False
20,7,2,6,False,False,False
20,7,3,5,False,False,False
20,7,4,4,False,False,False
20,7,5,3,False,False,False
20,7,6,2,True,True,True
20,8,1,8,False,False,False
20,8,2,7,False,False,False
20,8,3,6,False,False,False
20,8,4,5,False,False,False
20,8,5,4,False,False,False
20,8,6,3,False,False,False
20,8,7,2,True,True,True
