n,beta_n,one_quarter_minus_beta_n,n2_deficit_over_log2n2,four_beta_n
17,0.2318273793088135680868353775688632058252287697660756930979982719715041,0.01817262069118643191316462243113679417477123023392430690200172802849594,0.31434587774928184748318180781164100573502512275050,0.9273095172352542723473415102754528233009150790643027723919930878860162
18,0.2329562510545758260634269115394054196924291193489125905859335333842890,0.01704374894542417393657308846059458030757088065108740941406646661571102,0.31758037019204945808773921681004600977022276819873,0.9318250042183033042537076461576216787697164773956503623437341335371559
19,0.2339593712025225427811269432959566437463021201062833434313596777522010,0.01604062879747745721887305670404335625369787989371665656864032224779905,0.32090345724033121149777715316605167704322058870794,0.9358374848100901711245077731838265749852084804251333737254387110088038
20,0.2348730123739916684335239828522650090704239703757462448888322502095226,0.01512698762600833156647601714773499092957602962425375511116774979047743,0.32393462274728688854462729442004886649379190070364,0.9394920494959666737340959314090600362816958815029849795553290008380903
21,0.2357028366673401236240867117475245536538203165941887231424395903570127,0.01429716333265987637591328825247544634617968340581127685756040964298726,0.32681428559660583214350706995280173791195975509299,0.9428113466693604944963468469900982146152812663767548925697583614280510
22,0.2364554842175188446594489190343709365025367168164321912075617732904045,0.01354451578248115534055108096562906349746328318356780879243822670959554,0.32964753124947114577086398276967944774796863857026,0.9458219368700753786377956761374837460101468672657287648302470931616178
23,0.2371395710693104953812113678999396101641212489848836854460573519759354,0.01286042893068950461878863210006038983587875101511631455394264802406458,0.33246814474315765509876193917758072990292391506365,0.9485582842772419815248454715997584406564849959395347417842294079037417
24,0.2377663192471734466046972698799296310799561775306360303521004262332132,0.01223368075282655339530273012007036892004382246936396964789957376678681,0.33520311855250463676297359474458338083131099079682,0.9510652769886937864187890795197185243198247101225441214084017049328528
25,0.2383431936057637963224022322727180343838309343490410165856545722446904,0.01165680639423620367759776772728196561616906565095898341434542775530961,0.33783300524113460480977927860534892472331117936743,0.9533727744230551852896089290908721375353237373961640663426182889787616
26,0.2388774717842667419316525701122720922033913361593881627734733946996349,0.01112252821573325806834742988772790779660866384061183722652660530036512,0.34030884528255002508545265706418233451484437035930,0.9555098871370669677266102804490883688135653446375526510938935787985395
27,0.2393675803029494119832755179287036764726895938754947763487613144910117,0.01063241969705058801672448207129632352731040612450522365123868550898826,0.34283025928901742965632342892178329640291510063424,0.9574703212117976479331020717148147058907583755019791053950452579640469
28,0.2398283919881291212250446603803343241344659493752892847599164894270460,0.01017160801187087877495533961966567586553405062471071524008351057295396,0.34505895619768187280469246744557966303828427437452,0.9593135679525164849001786415213372965378637975011571390396659577081841
29,0.2402531361667680738480520554799329602149882034383015846461925199010697,0.009746863833231926151947944520067039785011796561698415353807480098930273,0.34733557866813150395608937257172632484163293548465,0.9610125446670722953922082219197318408599528137532063385847700796042789
30,0.2406506404269451110984665393706758143106828268399188881688519955808062,0.009349359573054888901533460629324185689317173160081111831148004419193794,0.34947138592122136452940811903626457972829042061446,0.9626025617077804443938661574827032572427313073596755526754079823232248
31,0.2410219277496724077891302860747415381960985497740185723192762795895934,0.008978072250327592210869713925258461803901450225981427680723720410406622,0.35152811117084145734932642768067874100206895518943,0.9640877109986896311565211442989661527843941990960742892771051183583735
32,0.2413693157231528093463278137522592030912629525979549233189530935161072,0.008630684276847190653672186247740796908737047402045076681046906483892775,0.35351282797966092917441274870746304138186946158777,0.9654772628926112373853112550090368123650518103918196932758123740644289
33,0.2416941982675463341436293846318288730813316396850095106918443346574349,0.008305801732453665856370615368171126918668360314990489308155665342565076,0.35546055788741743907127413122600989518500670006736,0.9667767930701853365745175385273154923253265587400380427673773386297397
34,0.2419992406086564224225542063564877737399546013614230311674078792575163,0.008000759391343577577445793643512226260045398638576968832592120742483736,0.35734404053708051654630429409458400397511648922135,0.9679969624346256896902168254259510949598184054456921246696315170300651
35,0.2422853526138887967818239289646862508224353921776835545436586384781179,0.007714647386111203218176071035313749177564607822316445456341361521882148,0.35920208087790430521115118063724971196159182778193,0.9691414104555551871272957158587450032897415687107342181746345539124714
36,0.2425547055686976687615640547370514491587558817494421119561869026241018,0.007445294431302331238435945262948550841244118250557888043813097375898199,0.36100930222594953432331406223017041151247622301283,0.9702188222747906750462562189482057966350235269977684478247476104964072
37,0.2428086833333510555956556452081128671193824913638821455346256256387371,0.007191316666648944404344354791887132880617508636117854465374374361262949,0.36276681498675374970790939069681007702980326650801,0.9712347333334042223826225808324514684775299654555285821385025025549482
38,0.2430482308107129790906093937414264955192664465260006236861275280618602,0.006951769189287020909390606258573504480733553473999376313872471938139841,0.36449106116725207887330356125840847347829057520701,0.9721929232428519163624375749657059820770657861040024947445101122474406
39,0.2432749822415561643036724901680217148119666246442145327277803890766860,0.006725017758443835696327509831978285188033375355785467272219610923314006,0.36615634490532904866542157454206565748967278377886,0.9730999289662246572146899606720868592478664985768581309111215563067440
40,0.2434893654921404109383043385814581276668262612087734481305674043460114,0.006510634507859589061695661418541872333173738791226551869432595653988594,0.36779455332097389650712952775499662572982847244249,0.9739574619685616437532173543258325106673050448350937925222696173840456
41,0.2436927878270003846000771128241474179203580029633082849987856783730603,0.006307212172999615399922887175852582079641997036691715001214321626939667,0.36937913807181561873925024109246839398034443104708,0.9747711513080015384003084512965896716814320118532331399951427134922413
42,0.2438858741475747151017735502583664050779854657573489857049205119702601,0.006114125852425284898226449741633594922014534242651014295079488029739910,0.37092154155413512405072595546040373912699461653247,0.9755434965902988604070942010334656203119418630293959428196820478810404
43,0.2440694828922640395765138756396668243245850364377610487992231564855438,0.005930517107735960423486124360333175675414963562238951200776843514456209,0.37241529986430327190795467601160032146759701590610,0.9762779315690561583060555025586672972983401457510441951968926259421752
44,0.2442440165000852392636564617784980590786631290217531111805486750820839,0.005755983499914760736343538221501940921336870978246888819451324917916139,0.37387810427597012613766012171827338658595826160907,0.9769760660003409570546258471139922363146525160870124447221947003283354
45,0.2444102436679648686765210568417972955083015914006164568263526352229127,0.005589756332035131323478943158202704491698408599383543173647364777087325,0.37530131050320493272270305284322266882085325580115,0.9776409746718594747060842273671891820332063656024658273054105408916507
46,0.2445687847092966316255638814113339619923139758286509067795303148351422,0.005431215290703368374436118588666038007686024171349093220469685164857822,0.37668144024847582097218777706255502629651249195073,0.9782751388371865265022555256453358479692559033146036271181212593405687
47,0.2447200510871484293165733058084248679890172701646579770548527162399726,0.005279948912851570683426694191575132010982729835342022945147283760027414,0.37802593825562053976907112837040123966440919381369,0.9788802043485937172662932232336994719560690806586319082194108649598903
48,0.2448643837829314043271136107003116792397616615736866779524800850921715,0.005135616217068595672886389299688320760238338426313322047519914907828467,0.37934513035630976983925391977019005428350790478225,0.9794575351317256173084544428012467169590466462947467118099203403686861
49,0.2450023391408859155180507087088624226645688069745975905659258737529612,0.004997660859114084481949291291137577335431193025402409434074126247038844,0.38063113157880720402691929540377166550675422556593,0.9800093565635436620722028348354496906582752278983903622637034950118446
50,0.2451342684031415037378249440548109492384531838238823936039671132574325,0.004865731596858496262175055945189050761546816176117606396032886742567486,0.38188823523163192053704273763571826133937932863023,0.9805370736125660149512997762192437969538127352955295744158684530297301
51,0.2452604171073587750749793459440145466770844615731985196091811660726180,0.004739582892641224925020654055985453322915538426801480390818833927382019,0.38312712285745297137663404654039253988721312466725,0.9810416684294351002999173837760581867083378462927940784367246642904719
52,0.2453812928697991673779956217116224454330882014972013197579757367598556,0.004618707130200832622004378288377554566911798502798680242024263240144374,0.38433540825750942023245970289075220262573459684729,0.9815251714791966695119824868464897817323528059888052790319029470394225
53,0.2454970608427751557439699770564102043647182532637559006130319724541190,0.004502939157224844256030022943589795635281746736244099386968027545881037,0.38552616818129269973268226002658618705381789857809,0.9819882433711006229758799082256408174588730130550236024521278898164759
54,0.2456080906614328645183962152665530027822666233324756968672228876450625,0.004391909338567135481603784733446997217733376667524303132777112354937543,0.38669380040846591313279742004579378597042834988153,0.9824323626457314580735848610662120111290664933299027874688915505802498
55,0.2457146487004567179048186655100486874370578834925874330824648610577575,0.004285351299543282095181334489951312562942116507412566917535138942242512,0.38783930969372079557407644029804495881528739598684,0.9828585948018268716192746620401947497482315339703497323298594442310300
56,0.2458169690658799482137080550604933123100074167776583688179280884976999,0.004183030934120051786291944939506687689992583222341631182071911502300095,0.38896488151921952752468042132796327646696257679820,0.9832678762635197928548322202419732492400296671106334752717123539907996
57,0.2459152795025896226910460167782671214177845799809862324297659278672813,0.004084720497410377308953983221732878582215420019013767570234072132718703,0.39007173431478378535398102785158049995527831048771,0.9836611180103584907641840671130684856711383199239449297190637114691252
58,0.2460098400271539172537040892431890297814626097404215140540833390227388,0.003990159972846082746295910756810970218537390259578485945916660977261200,0.39115634380955291328508935959696797859224705178979,0.9840393601086156690148163569727561191258504389616860562163333560909552
59,0.2461008057289167573953705694345102073873324016113592911081996580391981,0.003899194271083242604629430565489792612667598388640708891800341960801899,0.39222376430147379514016787448318211949717760040075,0.9844032229156670295814822777380408295493296064454371644327986321567924
60,0.2461884001077046108180592235878826737523461428472567042521290777459361,0.003811599892295389181940776412117326247653857152743295747870922254063887,0.39327102713605231939138170856690970284675385411238,0.9847536004308184432722368943515306950093845713890268170085163109837445
61,0.2462727948293302613430490291331328185309828114633995294727740153479785,0.003727205170669738656950970866867181469017188536600470527225984652021524,0.39429892168668656971304446565381247203030806820040,0.9850911793173210453721961165325312741239312458535981178910960613919139
62,0.2463541445259285234556443103452114186850479552480466671927456167067678,0.003645855474071476544355689654788581314952044751953332807254383293232156,0.39530884265122663205908448992652196651706367312252,0.9854165781037140938225772413808456747401918209921866687709824668270714
63,0.2464326359142498946153491247420290733033164547682565949929922021155227,0.003567364085750105384650875257970926696683545231743405007007797884477255,0.39629751122458713190692639665671042216770978111202,0.9857305436569995784613964989681162932132658190730263799719688084620910
64,0.2465083553069999002849135139596667414152589379055092729540543569893916,0.003491644693000099715086486040333258584741062094490727045945643010608419,0.39727157395912245647206241170013964341942750941761,0.9860334212279996011396540558386669656610357516220370918162174279575663
65,0.2465814943676561262378520025004118254599529733251167643306023643330610,0.003418505632343873762147997499588174540047026674883235669397635666938969,0.39822494455241355813010298931190372550777376768895,0.9863259774706245049514080100016473018398118933004670573224094573322441
66,0.2466521313016606117722216244976774819905252235059416222237262287460407,0.003347868698339388227778375502322518009474776494058377776273771253959283,0.39916342387205429667535174727118408054467105190198,0.9866085252066424470888864979907099279621008940237664888949049149841629
67,0.2467204205967550476291790433190326170142455272089009109054121971091561,0.003279579403244952370820956680967382985754472791099089094587802890843926,0.40008306867792281074929110369405067542525277038358,0.9868816823870201905167161732761304680569821088356036436216487884366243
68,0.2467864487074969128537436049260297401757412085657849254568072802781303,0.003213551292503087146256395073970259824258791434215074543192719721869687,0.40098711276887467831462657388198455419175290727035,0.9871457948299876514149744197041189607029648342631397018272291211125213
69,0.2468503328258026273092516810772454462499696519602917190421030564225483,0.003149667174197372690748318922754553750030348039708280957896943577451727,0.40187427956219725971740977125090020897174573235660,0.9874013313032105092370067243089817849998786078411668761684122256901931
70,0.2469121568019930975069479055566197254044587242291426187917255432265284,0.003087843198006902493052094443380274595541275770857381208274456773471596,0.40274667926283358402393344987998107139581244858990,0.9876486272079723900277916222264789016178348969165704751669021729061136
71,0.2469720118776881318648743111526418294818038885141264837321301130611991,0.003027988122311868135125688847358170518196111485873516267869886938800864,0.40360482473015979433136454553955799945055194946439,0.9878880475107525274594972446105673179272155540565059349285204522447965
72,0.2470299904183625851722096654020066556777866552416521094872044652940002,0.002970009581637414827790334597993344322213344758347890512795534705999771,0.40444835492193044650543298221207367643357874922791,0.9881199616734503406888386616080266227111466209666084379488178611760009
73,0.2470861676450952187841416176994887323312394073680168679903391189253968,0.002913832354904781215858382300511267668760592631983132009660881074603164,0.40527853450666583533261284059898279173860630033458,0.9883446705803808751365664707979549293249576294720674719613564757015873
74,0.2471406175551079536664001401589302034404003745894051120816337836390062,0.002859382444892046333599859841069796559599625410594887918366216360993807,0.40609621940833556831429164775161849462178245148638,0.9885624702204318146656005606357208137616014983576204483265351345560248
75,0.2471934189600414721417113192878224962693967366222970286284362930375704,0.002806581039958527858288680712177503730603263377702971371563706962429593,0.40690097892247964746471099961120464118984477425825,0.9887736758401658885668452771512899850775869464891881145137451721502816
76,0.2472446278370237474127482476446298458858590627292839288436241486183217,0.002755372162976252587251752355370154114140937270716071156375851381678277,0.40769509490585613269825172662545943329422540695255,0.9889785113480949896509929905785193835434362509171357153744965944732869
77,0.2472943240885039241823194701089926020404144247275866473448368991510448,0.002705675911496075817680529891007397959585575272413352655163100848955224,0.40847682470154453342828214316036896303293558332068,0.9891772963540156967292778804359704081616576989103465893793475966041791
78,0.2473425575960479012314357078152331653219282559421652601274061401033215,0.002657442403952098768564292184766834678071744057834739872593859896678478,0.40924833101865856082525444724522097464256102050712,0.9893702303841916049257428312609326612877130237686610405096245604132861
79,0.2473893935524951565142889110586056345083700118198499864577318024047099,0.002610606447504843485711088941394365491629988180150013542268197595290144,0.41000899985822125069701881663030940858479014048996,0.9895575742099806260571556442344225380334800472793999458309272096188394
80,0.2474348833527919596621461089557192739392211528798663753414595527872063,0.002565116647208040337853891044280726060778847120133624658540447212793678,0.41075985263048236454103939338150620781034858790523,0.9897395334111678386485844358228770957568846115194655013658382111488253
81,0.2474790847810615290930366701491223763889747753191998039433306334132327,0.002520915218938470906963329850877623611025224680800196056669366586767253,0.41150044783501718803909362588542124300411916005185,0.9899163391242461163721466805964895055558991012767992157733225336529310
82,0.2475220451884400989260966026532407815936754982689808572185083541730280,0.002477954811559901073903397346759218406324501731019142781491645826971960,0.41223156608954345212418930193136896951142917386140,0.9900881807537603957043864106129631263747019930759234288740334166921122
83,0.2475638135460334005135480951418924739440915639273369412284348541800671,0.002436186453966599486451904858107526055908436072663058771565145819932871,0.41295331625901416839990825228283671263785481060906,0.9902552541841336020541923805675698957763662557093477649137394167202685
84,0.2476044349455904833874269994966065649033849488137974207053309458323004,0.002395565054409516612573000503393435096615051186202579294669054167699611,0.41366604691869196530255208410518771082354198372177,0.9904177397823619335497079979864262596135397952551896828213237833292016
85,0.2476439549676751874534778470118162256169673201526729817552345879431703,0.002356045032324812546522152988183774383032679847327018244765412056829749,0.41436962734281530456908619308882680127520837765154,0.9905758198707007498139113880472649024678692806106919270209383517726810
86,0.2476824143026349742186686937678233873383946967040002603672422787863655,0.002317585697365025781331306232176612661605303295999739632757721213634489,0.41506439126447655071052979813311410638001334202815,0.9907296572105398968746747750712935493535787868160010414689691151454620
87,0.2477198518923850997591264262248441718812405514426858299022374785993856,0.002280148107614900240873573775155828118759448557314170097762521400614418,0.41575063154103556195081743842502686965621476040521,0.9908794075695403990365057048993766875249622057707433196089499143975423
88,0.2477563069046457841559512429703535627677355377555718256811944848905324,0.002243693095354215844048757029646437232264462244428174318805515109467567,0.41642825176681331474265196309702454979162141700655,0.9910252276185831366238049718814142510709421510222873027247779395621297
89,0.2477918150748881546246529975341674542307479059162250885523690219771415,0.002208184925111845375347002465832545769252094083774911447630978022858548,0.41709744350145318380543960755409515870432841248857,0.9911672602995526184986119901366698169229916236649003542094760879085658
90,0.2478264110606507030354214236842249515974677039623910130951130875821308,0.002173588939349296964578576315775048402532296037608986904886912417869186,0.41775828060033494740395152634603673168595103892603,0.9913056442426028121416856947368998063898708158495640523804523503285233
91,0.2478601275741781477080310127583411245870702393249592366902353685235483,0.002139872425821852291968987241658875412929760675040763309764631476451750,0.41841089765332069294800989733080314660026416542896,0.9914405102967125908321240510333644983482809572998369467609414740941930
92,0.2478929961531445320497535296968796837589938569014028380980784076020739,0.002107003846855467950246470303120316241006143098597161901921592397926070,0.41905536053764856046571681723450166775905857699691,0.9915719846125781281990141187875187350359754276056113523923136304082957
93,0.2479250460545876686442111769677010876958858281790666983693239943863110,0.002074953945412331355788823032298912304114171820933301630676005613689036,0.41969190168863904241631812736260813178433698556166,0.9917001842183506745768447078708043507835433127162667934772959775452439
94,0.2479563064236857612239954876722925007320609858054653601503340849114527,0.002043693576314238776004512327707499267939014194534639849665915088547309,0.42032050488063666878124576789149849565880600397318,0.9918252256947430448959819506891700029282439432218614406013363396458108
95,0.2479868040951961902898733861663657177871748469512095488027495588951743,0.002013195904803809710126613833634282212825153048790451197250441104825671,0.42094135945800427249753579456249710361499884562835,0.9919472163807847611594935446654628711486993878048381952109982355806973
96,0.2480165648666487697150535732387063084419241935583126389095596072730778,0.001983435133351230284946426761293691558075806441687361090440392726922166,0.42155462224683912212320049502878345994821066931919,0.9920662594665950788602142929548252337676967742332505556382384290923113
97,0.2480456144422624393375475322902054605128970504388996447150935028166221,0.001954385557737560662452467709794539487102949561100355284906497183377890,0.42216022492568119131656227981883712274083279179473,0.9921824577690497573501901291608218420515882017555985788603740112664884
98,0.2480739761214128188739970788896141754250144850885736287467847850623530,0.001926023878587181126002921110385824574985514911426371253215214937647045,0.42275837658636088926902822443770584570621847875661,0.9922959044856512754959883155584567017000579403542945149871391402494118
99,0.2481016721707593181530910786201524754262502271343954454718468390863268,0.001898327829240681846908921379847524573749772865604554528153160913673164,0.42334929360699616746018283023965558528134458066650,0.9924066886830372726123643144806099017050009085375817818873873563453073
100,0.2481287251304878156936134205864398044450292742293011720084287266942626,0.001871274869512184306386579413560195554970725770698827991571273305737361,0.42393291618979951307375224843211583509254409912661,0.9925149005219512627744536823457592177801170969172046880337149067770506
101,0.2481551552171071506304576035328108291003307021685627422824144441071513,0.001844844782892849369542396467189170899669297831437257717585555892848688,0.42450949560377967023761881361821636331556682560349,0.9926206208684286025218304141312433164013228086742509691296577764286052
102,0.2481809821639232241574569931564514678126730112179297119346348300618472,0.001819017836076775842543006843548532187326988782070288065365169938152778,0.42507920014548642275052198090039972738743286923002,0.9927239286556928966298279726258058712506920448717188477385393202473889
103,0.2482062250039022228258616484909803815317848085181994778750316426045509,0.001793774996097777174138351509019618468215191481800522124968357395449131,0.42564217037536727060073938202366415518046474932309,0.9928249000156088913034465939639215261271392340727979115001265704182035
104,0.2482309020442549703629762826225338312576161298422980207910955572834985,0.001769097955745029637023717377466168742383870157701979208904442716501477,0.42619853308295961333895988981391779186623623497254,0.9929236081770198814519051304901353250304645193691920831643822291339941
105,0.2482550307606856519333818836299893568218723485630278213837679000852754,0.001744969239314348066618116370010643178127651436972178616232099914724635,0.42674843571956039206477878161615455594961961680394,0.9930201230427426077335275345199574272874893942521112855350716003411015
106,0.2482786277849901398496456590992256514587552419347573500899329436253171,0.001721372215009860150354340900774348541244758065242649910067056374682877,0.42729206025717874740798762031798727789316252749100,0.9931145111399605593985826363969026058350209677390294003597317745012685
107,0.2483017090871725523084342788612466906113699433085425136699472349161723,0.001698290912827447691565721138753309388630056691457486330052765083827702,0.42782958862255435019881764567687752170329803992796,0.9932068363486902092337371154449867624454797732341700546797889396646892
108,0.2483242905228918189410323057809277184115644134965985502325068135064109,0.001675709477108181058967694219072281588435586503401449767493186493589140,0.42836107099066952260015196083697718019507224288741,0.9932971620915672757641292231237108736462576539863942009300272540256434
109,0.2483463862424606161850595454223498804614722191534605290520397900483875,0.001653613757539383814940454577650119538527780846539470947960209951612533,0.42888683669223010123746069668190223315572071494898,0.9933855449698424647402381816893995218458888766138421162081591601935499
110,0.2483680109175486176960633747244796435327772119788050785095672763302541,0.001631989082451382303936625275520356467222788021194921490432723669745928,0.42940693652337753388068118572472120782183547589501,0.9934720436701944707842534988979185741311088479152203140382691053210163
111,0.2483891785079628570536956869283671420399840549524917567498575689347361,0.001610821492037142946304313071632857960015945047508243250142431065263940,0.42992145861079319098169268316651869575948828176973,0.9935567140318514282147827477134685681599362198099670269994302757389442
112,0.2484099016349203483975689502685498130895062884189701190835845230965810,0.001590098365079651602431049731450186910493711581029880916415476903418991,0.43043070806357723043743546576710439852540353355636,0.9936396065396813935902758010741992523580251536758804763343380923863240
113,0.2484301936291068613165920673279236186166027540183197769096641306956067,0.001569806370893138683407932672076381383397245981680223090335869304393264,0.43093466697501769214123715722744192501005790607112,0.9937207745164274452663682693116944744664110160732791076386565227824269
114,0.2484500663571535859718508727031490894655743759631150575737943384653836,0.001549933642846414028149127296850910534425624036884942426205661534616389,0.43143358277304371279971036103524354018903940864677,0.9938002654286143438874034908125963578622975038524602302951773538615344
115,0.2484695321494266933284250420751682494457563426004186614225787746402104,0.001530467850573306671574957924831750554243657399581338577421225359789575,0.43192744927129881362377183466825228711300531110708,0.9938781285977067733137001683006729977830253704016746456903150985608417
116,0.2484886017097953072021133776475447527978846918747772535997556698062484,0.001511398290204692797886622352455247202115308125222746400244330193751603,0.43241659284974476646271996054932069902850450349394,0.9939544068391812288084535105901790111915387674991090143990226792249936
117,0.2485072868671851143182982101995539074783359738317042721958338641728068,0.001492713132814885681701789800446092521664026168295727804166135827193228,0.43290090332484453173813266147899105466648294051913,0.9940291474687404572731928407982156299133438953268170887833354566912271
118,0.2485255977761092794111534348825544679136773165798347777859968724753480,0.001474402223890720588846565117445532086322683420165222214003127524652035,0.43338063217181699002827514449765268301091975549824,0.9941023911044371176446137395302178716547092663193391111439874899013919
119,0.2485435448694746320213099127772605460159045423700822745728842869619960,0.001456455130525367978690087222739453984095457629917725427115713038004041,0.43385584109245514624042086720769687306790965389749,0.9941741794778985280852396511090421840636181694803290982915371478479838
120,0.2485611382205346807520345164794373265112686634092375585677422007422902,0.001438861779465319247965483520562673488731336590762441432257799257709779,0.43432658668184813960089174072347597331016897981894,0.9942445528821387230081380659177493060450746536369502342709688029691609
121,0.2485783871021961575181778016663342419619585751120821236905205303283805,0.001421612897803842481822198333665758038041424887917876309479469671619488,0.43479305993893638896269800153070907428943284091319,0.9943135484087846300727112066653369678478343004483284947620821213135220
122,0.2485953010955770103525878700015444974860931748316974426631060432460010,0.001404698904422989647412129998455502513906825168302557336893956753998980,0.43525525646705117816982115702230738958788411214772,0.9943812043823080414103514800061779899443726993267897706524241729840041
123,0.2486118891622773055953284225258269020146634733842018283697695349795584,0.001388110837722694404671577474173097985336526615798171630230465020441635,0.43571325928643891061476338723380166114725792272558,0.9944475566491092223813136901033076080586538935368073134790781399182335
124,0.2486281596736995248202657323368214288945248438535362052352614291522219,0.001371840326300475179734267663178571105475156146463794764738570847778061,0.43616723983985529285780423974926572142740331408869,0.9945126386947980992810629293472857155780993754141448209410457166088878
125,0.2486441215321550518393887656957194397368201139115501427392750269916735,0.001355878467844948160611234304280560263179886088449857260724973008326523,0.43661710691407765227668969479686082705582170192324,0.9945764861286202073575550627828777589472804556462005709571001079666939
126,0.2486597823516186070506227196463298933719466859325811780228435436113245,0.001340217648381392949377280353670106628053314067418821977156456388675470,0.43706308709706823084674796841665556426710824570682,0.9946391294064744282024908785853195734877867437303247120913741744452981
127,0.2486751503530583099312755645839347175192670706244450342656977450453856,0.001324849646941690068724435416065282480732929375554965734302254954614361,0.43750512334922682960293422082386136631805537897383,0.9947006014122332397251022583357388700770682824977801370627909801815426
128,0.2486902328751910228757816176957726464785453603201886755963129216558014,0.001309767124808977124218382304227353521454639679811324403687078344198600,0.43794335863000573884069338107063183868393503089855,0.9947609315007640915031264707830905859141814412807547023852516866232056
129,0.2487050375426425407717279437494782657281453490112621386219459788214979,0.001294962457357459228272056250521734271854650988737861378054021178502071,0.43837775690070611400732027220103731161536617986864,0.9948201501705701630869117749979130629125813960450485544877839152859917
130,0.2487195712283417262143073441892791440234895247455718864814562797258032,0.001280428771658273785692655810720855976510475254428113518543720274196793,0.43880845104808835790701179032122177069997063159059,0.9948782849133669048572293767571165760939580989822875459258251189032128
131,0.2487338410266853313850810084216506432522534203765664068919864416091175,0.001266158973314668614918991578349356747746579623433593108013558390882529,0.43923541932922934299554221300135124247818040659245,0.9949353641067413255403240336866025730090136815062656275679457664364699
132,0.2487478534626017379849365836631993946534604111624111998249839749239805,0.001252146537398262015063416336800605346539588837588800175016025076019510,0.43965875683519257814982175686403753430033553281063,0.9949914138504069519397463346527975786138416446496447992999358996959220
133,0.2487616151017169720911090097373957576598858610182723998404921377899323,0.001238384898283027908890990262604242340114138981727600159507862210067686,0.44007846911746963106399164401368139869348072476663,0.9950464604068678883644360389495830306395434440730895993619685511597293
134,0.2487751321058535869420590250219969838725155316813136189201539771605480,0.001224867894146413057940974978003016127484468318686381079846022839451958,0.44049462968370927978610441530635308978763643703454,0.9951005284234143477682361000879879354900621267252544756806159086421922
135,0.2487884106051500532558947505211336992340180888784838480338499693175014,0.001211589394849946744105249478866300765981911121516151966150030682498577,0.44090725173380283445888229080773037537838789108940,0.9951536424206002130235790020845347969360723555139353921353998772700057
