entry_kind,source_revision,source_path,source_sha256,source_bytes,source_disposition,live_path,live_sha256,live_bytes,provenance_note
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Dyadic_Comb_Sums_Report_Package/requirements.txt,7ff64bdd4b74bab29d84b97b77c3b4f8135599d8ae890f0895add173fae44fbe,30,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Dyadic_Comb_Sums_Report_Package/requirements.txt,7ff64bdd4b74bab29d84b97b77c3b4f8135599d8ae890f0895add173fae44fbe,30,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Euler_Maclaurin_Report_Package/data/corrected_errors.csv,46df82a74ecb7e3371b94021655208cf0ec06eec5e4e9d017df5c438e9d5ea62,2201,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Euler_Maclaurin_Report_Package/data/corrected_errors.csv,46df82a74ecb7e3371b94021655208cf0ec06eec5e4e9d017df5c438e9d5ea62,2201,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Euler_Maclaurin_Report_Package/data/moment_table.tex,44b12236c57bb7e13aa99a20a4d0a6d3138c030fd06d047873082c94af84c90d,635,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Euler_Maclaurin_Report_Package/data/moment_table.tex,44b12236c57bb7e13aa99a20a4d0a6d3138c030fd06d047873082c94af84c90d,635,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Euler_Maclaurin_Report_Package/data/moments.csv,12f62161d6a6fab62c05fa008692ecb23717082be981cacc724def5663b9ae7d,384,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Euler_Maclaurin_Report_Package/data/moments.csv,12f62161d6a6fab62c05fa008692ecb23717082be981cacc724def5663b9ae7d,384,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Euler_Maclaurin_Report_Package/data/numerical_results.txt,e32c80b78bb54aa2f59c1c022bb5e6db8346dac0788c2092a895658c21fad8df,2440,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Euler_Maclaurin_Report_Package/data/numerical_results.txt,e32c80b78bb54aa2f59c1c022bb5e6db8346dac0788c2092a895658c21fad8df,2440,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Euler_Maclaurin_Report_Package/data/richardson.csv,594b53e93ea9623a8fd9a1872f984452d7e8d69810ae3ddc2a57ee25b07ae7bb,375,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Euler_Maclaurin_Report_Package/data/richardson.csv,594b53e93ea9623a8fd9a1872f984452d7e8d69810ae3ddc2a57ee25b07ae7bb,375,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Euler_Maclaurin_Report_Package/data/ruffa_n3.csv,f31980ac0682dea29733987c552376610f0282c25672739af21d6b0c8f1e674b,430,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Euler_Maclaurin_Report_Package/data/ruffa_n3.csv,f31980ac0682dea29733987c552376610f0282c25672739af21d6b0c8f1e674b,430,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Euler_Maclaurin_Report_Package/data/spectral_series.csv,84873d46b3c0615e3ecfdc5f9e04c72fb5be88401e9b5a94251038ac2d8b5a6b,298,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Euler_Maclaurin_Report_Package/data/spectral_series.csv,84873d46b3c0615e3ecfdc5f9e04c72fb5be88401e9b5a94251038ac2d8b5a6b,298,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Euler_Maclaurin_Report_Package/data/spectral_table.tex,1564ebe42f11ffe4825184f4767f6c34bb129bb18b8eb12e1dce04876806f134,381,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Euler_Maclaurin_Report_Package/data/spectral_table.tex,1564ebe42f11ffe4825184f4767f6c34bb129bb18b8eb12e1dce04876806f134,381,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Euler_Maclaurin_Report_Package/data/termination_errors.png,082302855c235e1d4be9eb07ed14b53476e1708ec02d1bde5be0fcf5b1f38c26,127825,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Euler_Maclaurin_Report_Package/data/termination_errors.png,082302855c235e1d4be9eb07ed14b53476e1708ec02d1bde5be0fcf5b1f38c26,127825,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Euler_Maclaurin_Report_Package/data/threshold_table.tex,537ecfa97ed4cbacb718ad5ef6e2445ca347ac5d647a45379b863b656434423d,692,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Euler_Maclaurin_Report_Package/data/threshold_table.tex,537ecfa97ed4cbacb718ad5ef6e2445ca347ac5d647a45379b863b656434423d,692,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Euler_Maclaurin_Report_Package/data/thresholds.csv,ae1d13d730f01d1fbddc5b24c1edf9974fb64c6207421686a54da7c45100921b,372,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Euler_Maclaurin_Report_Package/data/thresholds.csv,ae1d13d730f01d1fbddc5b24c1edf9974fb64c6207421686a54da7c45100921b,372,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Euler_Maclaurin_Report_Package/fabius_em_experiments.py,4584fd55947e190c858667ab19cfda26f808cf3f3e3d2f127154478fbf778b8f,24666,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Euler_Maclaurin_Report_Package/fabius_em_experiments.py,4584fd55947e190c858667ab19cfda26f808cf3f3e3d2f127154478fbf778b8f,24666,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Rvachev_Dyadic_Interpolation_Report/RUN_METADATA.txt,6d13245fcf860a6b81cb8ccb542a20150d14b9ed875cbd5f2c64e0b874f475ef,175,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Rvachev_Dyadic_Interpolation_Report/RUN_METADATA.txt,6d13245fcf860a6b81cb8ccb542a20150d14b9ed875cbd5f2c64e0b874f475ef,175,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Rvachev_Dyadic_Interpolation_Report/fabius_dyadic_interpolation_experiments.py,084365d63adca78ee7f64e1bf83a4ed9c476bc1ae2beb87378c72fd4601ee446,26910,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Rvachev_Dyadic_Interpolation_Report/fabius_dyadic_interpolation_experiments.py,084365d63adca78ee7f64e1bf83a4ed9c476bc1ae2beb87378c72fd4601ee446,26910,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Rvachev_Dyadic_Interpolation_Report/requirements.txt,2eed6e31761a4255209902ef4eefc6c7a0c8e3d8290e458cc41236bafac00d40,28,retained-deduplicated-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/shared/requirements-mpmath-matplotlib.txt,2eed6e31761a4255209902ef4eefc6c7a0c8e3d8290e458cc41236bafac00d40,28,Byte-identical source row shares the single canonical requirements payload; both historical provenance rows are retained.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Rvachev_Dyadic_Interpolation_Report/results/endpoint_jet_scan.csv,681d7321d05f35408e1602913d5b32446e7ec83f00fc8cf2b417d12ab2c0f4b0,3253,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Rvachev_Dyadic_Interpolation_Report/results/endpoint_jet_scan.csv,681d7321d05f35408e1602913d5b32446e7ec83f00fc8cf2b417d12ab2c0f4b0,3253,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Rvachev_Dyadic_Interpolation_Report/results/full_grid_hermite.csv,ac6d8b7abadb1562abbc1d15b892df5e28c3996d6e0a03dd02c8056ec1d8b836,489,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Rvachev_Dyadic_Interpolation_Report/results/full_grid_hermite.csv,ac6d8b7abadb1562abbc1d15b892df5e28c3996d6e0a03dd02c8056ec1d8b836,489,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Rvachev_Dyadic_Interpolation_Report/results/optimal_jet_orders.csv,d1767585fe020f0e6df07d60c8495def13f16a893927226d0002d4d20fa1a468,477,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Rvachev_Dyadic_Interpolation_Report/results/optimal_jet_orders.csv,d1767585fe020f0e6df07d60c8495def13f16a893927226d0002d4d20fa1a468,477,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/Fabius_Rvachev_Dyadic_Interpolation_Report/results/standard_lagrange.csv,b0c2258999bfa26e982282a2c0e9a325c02699ac73fe1c5209a95df4b8c101db,717,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/Fabius_Rvachev_Dyadic_Interpolation_Report/results/standard_lagrange.csv,b0c2258999bfa26e982282a2c0e9a325c02699ac73fe1c5209a95df4b8c101db,717,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/fabius-dyadic-comb-sums-report/experiments.py,e09f90ca9a5b1a3ba2dedb511fb978ab77dc2813d9a5a11ca07f518375c5c279,22493,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/fabius-dyadic-comb-sums-report/experiments.py,e09f90ca9a5b1a3ba2dedb511fb978ab77dc2813d9a5a11ca07f518375c5c279,22493,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/fabius_dyadic_comb_report_final/fabius_dyadic_comb_experiments.py,77c955d7a6f7f7742d0993b4be52e983f653c9346aaf74afcc5dca736bbd0947,17413,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/fabius_dyadic_comb_report_final/fabius_dyadic_comb_experiments.py,77c955d7a6f7f7742d0993b4be52e983f653c9346aaf74afcc5dca736bbd0947,17413,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/fabius_dyadic_comb_report_final/numerical_results.txt,e581421290fb9e535c0667771d08f6c201d81f8ea52e7c817d9394d16ccf99bb,4790,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/fabius_dyadic_comb_report_final/numerical_results.txt,e581421290fb9e535c0667771d08f6c201d81f8ea52e7c817d9394d16ccf99bb,4790,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/fabius_dyadic_interpolation_report/data/cardinal_modes.csv,866c9488a4229dab10797b127370586768f2542cca8da9108a54728f0775ace8,491,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/fabius_dyadic_interpolation_report/data/cardinal_modes.csv,866c9488a4229dab10797b127370586768f2542cca8da9108a54728f0775ace8,491,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/fabius_dyadic_interpolation_report/data/fixed_order_errors.csv,81524bfe89282674a9d02135127c8a4962f5e59678c1dc37043094dc4963ec9c,1404,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/fabius_dyadic_interpolation_report/data/fixed_order_errors.csv,81524bfe89282674a9d02135127c8a4962f5e59678c1dc37043094dc4963ec9c,1404,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/fabius_dyadic_interpolation_report/data/jet_scan_N128_window.csv,915fddd278b678ea006597397b3a8766d44dc74be777faff509f055f20389bbf,768,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/fabius_dyadic_interpolation_report/data/jet_scan_N128_window.csv,915fddd278b678ea006597397b3a8766d44dc74be777faff509f055f20389bbf,768,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/fabius_dyadic_interpolation_report/data/jet_scan_N64.csv,81ef6500c0c44da6657ff5df688d54ca8255c4f60ecde79834f46ac39589cac2,1553,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/fabius_dyadic_interpolation_report/data/jet_scan_N64.csv,81ef6500c0c44da6657ff5df688d54ca8255c4f60ecde79834f46ac39589cac2,1553,Byte-identical payload retained from the pinned source tree.
pinned-source,73f0b373126ef22a3b5dccadfa7b99d61d445345,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/Dyadic_Comb_Frontiers/assets/fabius_dyadic_interpolation_report/data/observed_optimal_orders.csv,a9c52efad6d46758b9b757da1e8d44049a7101abe2c173f078cc20403b72eda3,367,retained-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/fabius_dyadic_interpolation_report/data/observed_optimal_orders.csv,a9c52efad6d46758b9b757da1e8d44049a7101abe2c173f078cc20403b72eda3,367,Byte-identical payload retained from the pinned source tree.
