source_key,source_package,source_file,source_line,source_label,source_kind,source_title,source_chapter,source_section_path,source_proof_present,canonical_label,canonical_status,disposition_notes
q_pochhammer_q_binomial_monograph:prop:qmult-factor,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,855,prop:qmult-factor,proposition,Factorization into binomials,\texorpdfstring{$q$,The finite algebra / \texorpdfstring{$q$ / Multinomial coefficients and flags,yes,prop:qmult-factor,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:prop:adjacent-ratio,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,876,prop:adjacent-ratio,proposition,,\texorpdfstring{$q$,The finite algebra / \texorpdfstring{$q$ / Adjacent ratios and efficient recurrences,yes,prop:adjacent-ratio,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:qbinom-moments,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,927,thm:qbinom-moments,theorem,Mean and variance,\texorpdfstring{$q$,The finite algebra / \texorpdfstring{$q$ / Coefficient moments,yes,thm:qbinom-moments,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:finite-qbinomial,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,973,thm:finite-qbinomial,theorem,Finite $q$-binomial theorem,Finite \texorpdfstring{$q$,The finite algebra / Finite \texorpdfstring{$q$ / Euler's finite product expansions,yes,thm:finite-qbinomial,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:alternating-qbinom,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,996,cor:alternating-qbinom,corollary,Alternating sums,Finite \texorpdfstring{$q$,The finite algebra / Finite \texorpdfstring{$q$ / Euler's finite product expansions,yes,cor:alternating-qbinom,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:weighted-subsets,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1022,cor:weighted-subsets,corollary,Weighted subset sum,Finite \texorpdfstring{$q$,The finite algebra / Finite \texorpdfstring{$q$ / Euler's finite product expansions,yes,cor:weighted-subsets,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:reciprocal-finite,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1052,thm:reciprocal-finite,theorem,Reciprocal finite $q$-binomial theorem,Finite \texorpdfstring{$q$,The finite algebra / Finite \texorpdfstring{$q$ / Reciprocal finite products,yes,thm:reciprocal-finite,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:q-vandermonde,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1101,thm:q-vandermonde,theorem,$q$-Vandermonde convolution,Finite \texorpdfstring{$q$,The finite algebra / Finite \texorpdfstring{$q$ / \texorpdfstring{$q$,yes,thm:q-vandermonde,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:central-vandermonde,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1129,cor:central-vandermonde,corollary,Central form,Finite \texorpdfstring{$q$,The finite algebra / Finite \texorpdfstring{$q$ / \texorpdfstring{$q$,yes,cor:central-vandermonde,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:shifted-central-vandermonde,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1144,cor:shifted-central-vandermonde,corollary,Shifted central form,Finite \texorpdfstring{$q$,The finite algebra / Finite \texorpdfstring{$q$ / \texorpdfstring{$q$,yes,cor:shifted-central-vandermonde,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:qbinomial-inversion,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1192,thm:qbinomial-inversion,theorem,$q$-binomial inversion,Finite \texorpdfstring{$q$,The finite algebra / Finite \texorpdfstring{$q$ / \texorpdfstring{$q$,yes,thm:qbinomial-inversion,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:qbinomial-orthogonality,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1221,cor:qbinomial-orthogonality,corollary,Matrix orthogonality,Finite \texorpdfstring{$q$,The finite algebra / Finite \texorpdfstring{$q$ / \texorpdfstring{$q$,yes,cor:qbinomial-orthogonality,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:q-cauchy,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1365,thm:q-cauchy,theorem,$q$-Cauchy identity,Finite \texorpdfstring{$q$,The finite algebra / Finite \texorpdfstring{$q$ / A \texorpdfstring{$q$,yes,thm:q-cauchy,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:unlabelled-definition-006,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1435,,definition,,Weighted binomial coefficients and symmetric functions,The finite algebra / Weighted binomial coefficients and symmetric functions / Elementary and complete weighted coefficients,no,,not applicable,Retained as the unlabeled canonical definition 'line 1435'; the historical source line and section path identify it exactly.
q_pochhammer_q_binomial_monograph:thm:weighted-pascal,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1446,thm:weighted-pascal,theorem,Weighted Pascal recurrences,Weighted binomial coefficients and symmetric functions,The finite algebra / Weighted binomial coefficients and symmetric functions / Elementary and complete weighted coefficients,yes,thm:weighted-pascal,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:weighted-generating,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1460,thm:weighted-generating,theorem,Generating products,Weighted binomial coefficients and symmetric functions,The finite algebra / Weighted binomial coefficients and symmetric functions / Elementary and complete weighted coefficients,yes,thm:weighted-generating,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:e-h-orthogonality,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1479,cor:e-h-orthogonality,corollary,Elementary--complete orthogonality,Weighted binomial coefficients and symmetric functions,The finite algebra / Weighted binomial coefficients and symmetric functions / Elementary and complete weighted coefficients,yes,cor:e-h-orthogonality,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:weighted-specializations,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1605,thm:weighted-specializations,theorem,A specialization table,Weighted binomial coefficients and symmetric functions,"The finite algebra / Weighted binomial coefficients and symmetric functions / Classical, Stirling, and Gaussian specializations",yes,thm:weighted-specializations,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:def:schur-bialternant,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1662,def:schur-bialternant,definition,,Weighted binomial coefficients and symmetric functions,The finite algebra / Weighted binomial coefficients and symmetric functions / Principal specialization of Schur polynomials,no,def:schur-bialternant,not applicable,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:lem:vandermonde-alternant,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1683,lem:vandermonde-alternant,lemma,Vandermonde alternant,Weighted binomial coefficients and symmetric functions,The finite algebra / Weighted binomial coefficients and symmetric functions / Principal specialization of Schur polynomials,yes,lem:vandermonde-alternant,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:schur-principal,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1719,thm:schur-principal,theorem,Principal specialization of a Schur polynomial,Weighted binomial coefficients and symmetric functions,The finite algebra / Weighted binomial coefficients and symmetric functions / Principal specialization of Schur polynomials,yes,thm:schur-principal,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:schur-e-h,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1783,cor:schur-e-h,corollary,The one-column and one-row shadows,Weighted binomial coefficients and symmetric functions,The finite algebra / Weighted binomial coefficients and symmetric functions / Principal specialization of Schur polynomials,yes,cor:schur-e-h,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:weighted-inversion,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1848,thm:weighted-inversion,theorem,Symmetric-function inversion,Weighted binomial coefficients and symmetric functions,The finite algebra / Weighted binomial coefficients and symmetric functions / Weighted inversion,yes,thm:weighted-inversion,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:binary-inversions,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1923,thm:binary-inversions,theorem,Inversion generating function,"Partitions, words, paths, and inversion statistics","The finite algebra / Partitions, words, paths, and inversion statistics / Binary words",yes,thm:binary-inversions,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:unlabelled-corollary-014,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1938,,corollary,,"Partitions, words, paths, and inversion statistics","The finite algebra / Partitions, words, paths, and inversion statistics / Binary words",yes,cor:qbinom-inversion-law,human-proved frontier result,Assigned the stable canonical destination cor:qbinom-inversion-law to this historically unlabeled source result.
q_pochhammer_q_binomial_monograph:thm:rectangle-partitions,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1954,thm:rectangle-partitions,theorem,Rectangular partition generating function,"Partitions, words, paths, and inversion statistics","The finite algebra / Partitions, words, paths, and inversion statistics / Partitions inside a rectangle",yes,thm:rectangle-partitions,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:partition-symmetries,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,1986,cor:partition-symmetries,corollary,Conjugation and complement,"Partitions, words, paths, and inversion statistics","The finite algebra / Partitions, words, paths, and inversion statistics / Partitions inside a rectangle",yes,cor:partition-symmetries,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:path-area,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,2005,cor:path-area,corollary,Area generating function,"Partitions, words, paths, and inversion statistics","The finite algebra / Partitions, words, paths, and inversion statistics / Lattice paths and area",yes,cor:path-area,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:durfee-qvand,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,2020,thm:durfee-qvand,theorem,Durfee-square decomposition,"Partitions, words, paths, and inversion statistics","The finite algebra / Partitions, words, paths, and inversion statistics / Durfee squares and the central convolution",yes,cor:central-vandermonde,Lean-proved,Merged as the same identity into cor:central-vandermonde; its Durfee argument is retained there as an alternate combinatorial proof.
q_pochhammer_q_binomial_monograph:thm:qmult-inversions,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,2040,thm:qmult-inversions,theorem,Multiset inversion enumerator,"Partitions, words, paths, and inversion statistics","The finite algebra / Partitions, words, paths, and inversion statistics / Words with several letters",yes,thm:qmult-inversions,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:unlabelled-definition-008,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,2059,,definition,,"Partitions, words, paths, and inversion statistics","The finite algebra / Partitions, words, paths, and inversion statistics / Rogers--Szeg\H{o",no,,not applicable,Retained as the unlabeled canonical definition 'line 2059'; the historical source line and section path identify it exactly.
q_pochhammer_q_binomial_monograph:prop:rogers-szego-recurrence,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,2066,prop:rogers-szego-recurrence,proposition,Basic recurrence,"Partitions, words, paths, and inversion statistics","The finite algebra / Partitions, words, paths, and inversion statistics / Rogers--Szeg\H{o",yes,prop:rogers-szego-recurrence,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:prop:rogers-szego-three-term,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,2098,prop:rogers-szego-three-term,proposition,Three-term recurrence,"Partitions, words, paths, and inversion statistics","The finite algebra / Partitions, words, paths, and inversion statistics / Rogers--Szeg\H{o",yes,prop:rogers-szego-three-term,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:cor:rogers-szego-dilation,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,2148,cor:rogers-szego-dilation,corollary,Dilation formula,"Partitions, words, paths, and inversion statistics","The finite algebra / Partitions, words, paths, and inversion statistics / Rogers--Szeg\H{o",yes,cor:rogers-szego-dilation,Lean-proved,Retained in the forward q-series backbone under its existing canonical label.
q_pochhammer_q_binomial_monograph:thm:subspace-count,q_pochhammer_q_binomial_monograph,q-pochhammer-and-inversion/q_pochhammer_q_binomial_monograph/q_pochhammer_q_binomial_monograph.tex,2179,thm:subspace-count,theorem,Gaussian coefficients count subspaces,"Finite fields, Grassmannians, and rank enumeration","The finite algebra / Finite fields, Grassmannians, and rank enumeration / Counting subspaces",yes,thm:subspace-count,human-proved frontier result,Retained in the forward q-series backbone under its existing canonical label.
