# m n family_key | target_columns | row_permutation | column_permutation | predecessor_columns
6 6 73201086132914304 | 7 11 21 44 50 56 | 0 1 2 3 5 4 | 1 3 0 2 4 5 | 3 8 5 20 50 56
6 6 90089584735553664 | 7 11 21 44 54 56 | 0 1 2 3 4 5 | 1 5 2 3 0 4 | 3 8 21 44 6 48
6 6 306279959035381888 | 7 11 21 45 54 58 | 0 1 2 3 4 5 | 0 1 3 5 2 4 | 7 11 5 40 20 50
6 6 162199955331614848 | 7 11 21 46 54 57 | 0 1 2 3 4 5 | 0 1 4 5 3 2 | 7 11 20 40 38 17
6 6 1706442314745984 | 7 11 28 44 49 50 | 0 1 2 3 5 4 | 0 1 3 2 4 5 | 7 11 40 28 49 50
6 6 297255167860934784 | 7 11 28 44 53 58 | 0 1 2 3 4 5 | 1 5 2 3 0 4 | 3 10 28 44 5 48
6 6 292769160419608704 | 7 11 28 45 52 58 | 0 1 2 3 4 5 | 0 3 2 4 5 1 | 7 9 28 36 48 10
6 6 306279959570155648 | 7 11 29 45 54 58 | 0 1 2 3 4 5 | 0 1 3 4 5 2 | 7 11 13 36 50 24
6 6 76631562946349184 | 7 11 29 46 52 56 | 0 1 2 3 4 5 | 0 2 4 1 3 5 | 7 9 20 10 36 56
6 6 297307944687503488 | 7 11 29 46 53 58 | 0 1 2 3 4 5 | 0 1 3 5 2 4 | 7 11 12 42 21 48
6 6 1585267618598649856 | 15 23 39 57 58 60 | 0 1 2 3 4 5 | 0 2 3 4 1 5 | 15 7 33 56 18 60
