N,R,theta,partial_sum,error,N_to_R_times_error,c_R,scaled_error_over_c_R
50,4,0.333924782244213277625541866969175406681756749,0.333924782128159905937683715461493239271017049,0.0000000001160533716878581515076821674107397,0.00072533357304911344692301354631712313,0.00071195988891462142490949075311215229,1.0187843224635591805081341040891116
50,6,0.333924782244213277625541866969175406681756749,0.333924782244244280436324332071931523234678242,-3.1002810782465102756116552921492339e-14,-0.0004844189184760172305643211393983178,-0.0004728641948577933946018079534311816,1.0244356069752727644801085205942738
100,1,0.333629345568621407766542145008757061078149001,0.333333333333333333333333333333333333333333333,0.00029601223528807443320881167542372774,0.029601223528807443320881167542372774,0.02962962962962962962962962962962963,0.99904129409725121207973940455508114
100,2,0.333629345568621407766542145008757061078149001,0.33362962962962962962962962962962962962962963,-0.00000028406100822186308748462087256855148,-0.0028406100822186308748462087256855148,-0.0028218694885361552028218694885361552,1.0066411978862273162736252171648043
100,3,0.333629345568621407766542145008757061078149001,0.333629347442680776014109347442680776014109347,-0.0000000018740593682475672024339237149359603,-0.0018740593682475672024339237149359603,-0.0018812463256907701352145796590241035,0.99617968293409744104378257472064642
100,4,0.333629345568621407766542145008757061078149001,0.333629345561434450323339212228101116990005879,7.1869574432029327806559440881431221e-12,0.00071869574432029327806559440881431221,0.00071195988891462142490949075311215229,1.0094610040685587277549602384057053
100,6,0.333629345568621407766542145008757061078149001,0.333629345568621886470994838621724767129431053,-4.7870445269361296770605128205163139e-16,-0.00047870445269361296770605128205163139,-0.0004728641948577933946018079534311816,1.0123508142492707456366742698418269
200,1,0.333481410700035564776784659830123984897541851,0.333333333333333333333333333333333333333333333,0.00014807736670223144345132649679065156,0.029615473340446288690265299358130313,0.02962962962962962962962962962962963,0.99952222524006224329645385333689806
200,2,0.333481410700035564776784659830123984897541851,0.333481481481481481481481481481481481481481481,-0.00000007078144591670469682165135749658394,-0.0028312578366681878728660542998633576,-0.0028218694885361552028218694885361552,1.0033269958692890774469079925140773
200,3,0.333481410700035564776784659830123984897541851,0.333481410934744268077601410934744268077601411,-0.00000000023470870330081675110462028318005956,-0.0018776696264065340088369622654404765,-0.0018812463256907701352145796590241035,0.99809876078672323407239775422320328
200,4,0.333481410700035564776784659830123984897541851,0.333481410699588477366255144032921810699588477,4.4708741052951579720217419795337352e-13,0.00071533985684722527552347871672539763,0.00071195988891462142490949075311215229,1.0047474134220631325584821987697973
200,6,0.333481410700035564776784659830123984897541851,0.333481410700035572211155201553006765626793062,-7.4343705417228827807292512107500631e-18,-0.00047579971467026449796667207748800404,-0.0004728641948577933946018079534311816,1.0062079553588402175870141882632443
500,1,0.333392581290076080878252285798539477402724376,0.333333333333333333333333333333333333333333333,0.000059247956742747544918952465206144069,0.029623978371373772459476232603072035,0.02962962962962962962962962962962963,0.99980927003386482050732285035368117
500,2,0.333392581290076080878252285798539477402724376,0.333392592592592592592592592592592592592592593,-0.000000011302516511714340306794053115189868,-0.0028256291279285850766985132787974671,-0.0028218694885361552028218694885361552,1.0013323222096923365550356431738524
500,3,0.333392581290076080878252285798539477402724376,0.333392581305114638447971781305114638447971781,-1.5038557569719495506575161045247405e-11,-0.0018798196962149369383218951306559257,-0.0018812463256907701352145796590241035,0.99924165726925241627673238038929049
500,4,0.333392581290076080878252285798539477402724376,0.333392581290064667842445620223398001175778954,1.1413035806665575141476226945422421e-14,0.0007133147379165984463422641840889013,0.00071195988891462142490949075311215229,1.0019029850179375703313301796295615
500,6,0.333392581290076080878252285798539477402724376,0.333392581290076080908590977178082802225463405,-3.033869137954332482273902918411606e-20,-0.00047404205280536445035529733100181344,-0.0004728641948577933946018079534311816,1.0024909011094089675041710810997467
1000,1,0.333362960139212940738905035992952500158046552,0.333333333333333333333333333333333333333333333,0.000029626805879607405571702659619166825,0.029626805879607405571702659619166825,0.02962962962962962962962962962962963,0.99990469843674993804496476214688033
1000,2,0.333362960139212940738905035992952500158046552,0.333362962962962962962962962962962962962962963,-0.0000000028237500222240579269700104628049164,-0.0028237500222240579269700104628049164,-0.0028218694885361552028218694885361552,1.0006664141256505278699974577564923
1000,3,0.333362960139212940738905035992952500158046552,0.33336296014109347442680776014109347442680776,-1.880533687902724148140974268761208e-12,-0.001880533687902724148140974268761208,-0.0018812463256907701352145796590241035,0.99962118847579180499618663473837962
1000,4,0.333362960139212940738905035992952500158046552,0.333362960139212228101116990005878894767783657,7.1263778804598707360539026289548178e-16,0.00071263778804598707360539026289548178,0.00071195988891462142490949075311215229,1.0009521591622234531367391699399708
1000,6,0.333362960139212940738905035992952500158046552,0.333362960139212940739378489721425249545962852,-4.7345372847274938791629970701906105e-22,-0.00047345372847274938791629970701906105,-0.0004728641948577933946018079534311816,1.0012467292329741448209325691077916
