j,r_j,r_j_plus_tree_coefficient,rho_j,beta_j_minus_1
29,186787386563616736794960286434709334197/6864722044828961144832000000,1947473702527121707269370502681142456113/52318118306152082571264000000,0.51032012808615161631295621763633162760658026071375,0.49222708422899786382151242944642277840613196468448
30,120859167414650952403027/1683458797020,61984927004605635618441179/634663966476540,0.50994862567275452607060028872326578384340970348438,0.49247252520963185710250956302442567676430514908769
31,5196604283100666095797464401205239293470073/27409462180593076059085209600000,2109599805276110666113776192266710973719884301/8222838654177922817725562880000000,0.50960238420912275608294636894742721362919744258818,0.49270277065467520027219034354787488560777715316762
32,126761668484536620745090408940530486261/252964839756194170605000000,1058148238140877819390260221376703583983/1568382006488403857751000000,0.50927893721706632161351639405221174363255520445137,0.49291919676319940252101196953243899939195281406857
33,23903503744057390986361503709332759547/18033475089751080960000000,26647971074825430709462001611717474971793/15003851274672899358720000000,0.50897612733200901461778602610213881269892281931200,0.49312301789755540403543384869558635382205296138232
34,1719748288801257698504673595382479211831/490119377027626205547187500,75694986288525242017407079026189423969311/16173939441911664783057187500,0.50869205953658620257016024896133214188764121346073,0.49331530974384502520031859794778426275427513450569
35,7529988654233248009156773100615517906890981/810105433825015649727644958720,679970399925156078619005740684098412248664833/55087169500101064181479857192960,0.50842506261185106007504614164972311950977335973742,0.49349702859956699054163191393960645496319232976254
36,339948869431408109803429045297581829/13796801301241883925000,393359728732920409914076060587990701591/12072201138586648434375000,0.50817365717289204530193668953223669735785387837529,0.49366902752436635100714041888243111272185201819412
37,12493946572825507619803018226677864893612261809484686747/191163237378143681198833049744179200000000,47393522838686416987279535829043962186714012479824221553/550550123649053801852639183263236096000000,0.50793652901578125546335157925672147833069890202347,0.49383206993407264571180203659619432842701707842903
38,15024306233135046737084108170818289618891632703/86611445711436964913271239062500,729379411907019390404919209269696370543494910507/3204623491323167701791035845312500,0.50771250677607077698567926864711497958035998360148,0.49398684109861999851181800532865100339535423292801
39,5665228140210372871314956229286347390975226777343/12297687410228550586230374400000000,562841251399879249784212054748971098598710702711191/934624243177369844553508454400000000,0.50750054310815770623406432842258857182866870666114,0.49413395791190646176032350265345672409261612616135
40,293538452219577778374327960807940294110765403/239804440950705964638639974640,193859991549030893635784276129625729114158059321/121580851562007924071790467142480,0.50729969875605809208161484639207448639828516270835,0.49427397722953171299809092395263565656939593196345
41,272156332922751305670290346439686415752277859616999407275589947/83631316532909517770425155133601879162880000000,6144476660197066184205897054691626165772265353001528391988136887/1454457678833209004703046176236554420224000000000,0.50710912901133419939884301674404997423521198168873,0.49440740301376282906603933540412359635392536019655
42,331451921871341312247219436570968984265303/38292324797148195210937500,270520103635236785716047705170359440428767/24153620256662707748437500,0.50692807215182193216164472939566982855188443738064,0.49453469248038664470836278969925817752413289183888
43,1274383224686530633490421822806316427048996224605139838908217299437/55325332475617065601973564165305858523136000000000,1794970048032813952234419265128033169926063471199326470438419039799053/60415263063373835637355132068513997507264512000000000,0.50675583953185744884657919672982093728453127685246,0.49465626140659635955678203985426718665523999023006
44,10362274793802429458872129193531582386201396775006353687/168971321660138208009122533912828125000,572971295203444005965476678873299763135979630104369829597/7265766831385942944392268958251609375000,0.50659180705571863348596665723199915895394964858943,0.49477248873067976712766276058523596612222116322501
45,97812405692722273105778192897314496615909026151409433493/598818639566983585236876068119086366720,11035872148431658007613572542462083378084658360009332881759/52696040281894555500845093994479600271360,0.50643540781459852393816941422787980592689276768110,0.49488372055146963238384101923381147495455073896825
46,32378284260063953314915159571888963848109310759139758734407/74390274250574538915277769103329939062500,121080406233022649938397750566247883779071788926651154626020187/217591552182930526327187474627240071757812500,0.50628612570635592865865106206896945844840082562153,0.49499027361709245230844501611292206755960706391929
47,3261606143158852658375406460011766226836156837559002568980744269250697414573/2811122190338784572206134295147956304013017743360000000000,76515358410567351138220875401043437956331434327443970323042824885644731939049/51724648302233636128592871030722395993839526477824000000000,0.50614348988863403753784622010386887212003600044321,0.49509243837759339484272256501996023663611570896917
48,35527836666320361590993322645260694383314097084212774321/11482455178524018194436821828437500000,51787618064594953422910828345980856192373437731286254439/13162814472942167198500746974062500000,0.50600706994130547048930978217895071631753234568646,0.49519048166381262633036403139656847116702191271706
49,444552568394837247697719249519105350657775172571012140844123771754326671439/53857401397577713586623147678802994579174850560000000000,1746049166458884520591005634431589023877432948067811109008078982597922596303/166784210779595500139220070231131854180670504960000000000,0.50587647163483106258464721639136780814639945212401,0.49528464904488836470524421479025382872505006027286
50,39792911001083125829224799776940938820104471730650299967820191/1806462473546863864010416589353317254939100,2466840521898715462426645621613832785663751684114914014829439359/88516661203796329336510412878312545492015900,0.50575133321797234107302454437576955602101308605224,0.49537516690853147543520643035754424380955907951963
