source_key,source_package,source_file,source_line,source_label,source_kind,source_title,source_chapter,source_section_path,source_proof_present,canonical_label,canonical_status,lean_module,lean_declaration,disposition_notes
Inverse_and_Sampling_Frontiers:p1:prop:first-dyadic-germ-coefficient,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,988,p1:prop:first-dyadic-germ-coefficient,proposition,First algebraic-germ coefficient,,Inverse Frontiers for the Fabius--Rvachev System / Exact inverse-dyadic local polynomials and algebraic quantile germs / A universal first coefficient at every inverse-dyadic anchor,yes,is:p1:prop:first-dyadic-germ-coefficient,human-proved frontier result,,,Retained at is:p1:prop:first-dyadic-germ-coefficient with a complete canonical human proof of First algebraic-germ coefficient. The general all-anchor coefficient formula is not formalized.
Inverse_and_Sampling_Frontiers:p1:thm:phase-two-orders,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1099,p1:thm:phase-two-orders,theorem,Phase inversion through two nontrivial orders,,Inverse Frontiers for the Fabius--Rvachev System / Periodic Lambert--Bell inversion at the endpoint / Two-scale inversion of the saddle phase,yes,ao:thm:all-orders,human-proved frontier result,,,"Retained at ao:thm:all-orders with a complete canonical human proof of Phase inversion through two nontrivial orders. Many-to-one absorption into the all-orders endpoint theorem; Lean has forward periodic data and the leading inverse scale, not explicit inverse reversion."
Inverse_and_Sampling_Frontiers:p1:cor:first-oscillatory-inverse,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1190,p1:cor:first-oscillatory-inverse,corollary,First oscillatory relative correction,,Inverse Frontiers for the Fabius--Rvachev System / Periodic Lambert--Bell inversion at the endpoint / Two-scale inversion of the saddle phase,no,ao:thm:all-orders,human-proved frontier result,,,Retained at ao:thm:all-orders with a complete canonical human proof of First oscillatory relative correction. Many-to-one absorption into the first specialization of the all-orders theorem; the inverse oscillatory coefficient is not a Lean declaration.
Inverse_and_Sampling_Frontiers:p1:thm:inverse-limit-set,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1214,p1:thm:inverse-limit-set,theorem,Limit set of the normalized second term,,Inverse Frontiers for the Fabius--Rvachev System / Periodic Lambert--Bell inversion at the endpoint / A complete periodic limit set,yes,ao:thm:phase-locked,human-proved frontier result,,,Retained at ao:thm:phase-locked with a complete canonical human proof of Limit set of the normalized second term. Many-to-one absorption into the phase-locked theorem; Lean's phase-locking infrastructure is forward-side.
Inverse_and_Sampling_Frontiers:p1:thm:quantile-elasticity,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1263,p1:thm:quantile-elasticity,theorem,Two-term endpoint elasticity,,Inverse Frontiers for the Fabius--Rvachev System / Periodic Lambert--Bell inversion at the endpoint / Quantile elasticity and inverse derivatives,yes,ao:thm:elasticity,human-proved frontier result,,,Retained at ao:thm:elasticity with a complete canonical human proof of Two-term endpoint elasticity. Many-to-one absorption into the canonical elasticity theorem; no exact inverse-elasticity declaration exists.
Inverse_and_Sampling_Frontiers:p1:thm:all-orders-endpoint-recursion,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1327,p1:thm:all-orders-endpoint-recursion,theorem,Triangular all-orders endpoint recursion,,Inverse Frontiers for the Fabius--Rvachev System / Periodic Lambert--Bell inversion at the endpoint / An all-orders Lambert--Bell reversion algorithm,yes,ao:thm:all-orders,human-proved frontier result,,,"Retained at ao:thm:all-orders with a complete canonical human proof of Triangular all-orders endpoint recursion. Many-to-one absorption into the stronger canonical all-orders theorem; Lean has the forward expansion and implicit pullback, not explicit inverse recursion."
Inverse_and_Sampling_Frontiers:unlabelled-obligation-001,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1614,,obligation,Polynomial smoothing and inverse moment operator --- discharged,,Inverse Frontiers for the Fabius--Rvachev System / Algorithms and a Lean formalization roadmap / Formalization modules,no,is:p1:thm:exact-local-polynomial,not applicable,,,Editorial obligation discharged and absorbed into is:p1:thm:exact-local-polynomial: the canonical proof supplies polynomial smoothing and inverse moments. The obligation is not itself an assertion.
Inverse_and_Sampling_Frontiers:unlabelled-obligation-002,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1645,,obligation,Plateau-to-polynomial localization,,Inverse Frontiers for the Fabius--Rvachev System / Algorithms and a Lean formalization roadmap / Formalization modules,no,is:p1:thm:exact-local-polynomial,not applicable,,,Editorial obligation discharged and absorbed into is:p1:thm:exact-local-polynomial: the canonical proof supplies plateau localization. The obligation is not itself an assertion.
Inverse_and_Sampling_Frontiers:unlabelled-obligation-003,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1708,,obligation,Algebraic inverse germ,,Inverse Frontiers for the Fabius--Rvachev System / Algorithms and a Lean formalization roadmap / Formalization modules,no,is:p1:thm:algebraic-germ,not applicable,,,Editorial obligation discharged and absorbed into is:p1:thm:algebraic-germ by the analytic implicit-function and uniqueness argument. The obligation is not itself an assertion.
Inverse_and_Sampling_Frontiers:unlabelled-obligation-004,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1907,,obligation,Two-scale endpoint reversion,,Inverse Frontiers for the Fabius--Rvachev System / Algorithms and a Lean formalization roadmap / Formalization modules,no,ao:thm:all-orders,not applicable,,,"Editorial obligation discharged and absorbed many-to-one into ao:thm:all-orders, whose proof performs the two-scale reversion. The obligation is not itself an assertion."
Inverse_and_Sampling_Frontiers:p1:conj:natural-threshold,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1952,p1:conj:natural-threshold,conjecture,Natural threshold for inverse-dyadic germs,,Inverse Frontiers for the Fabius--Rvachev System / Further deductions and frontier problems / Validity thresholds,no,,not applicable,,,"Retired during consolidation: the eventual-threshold theorem remains, but the unproved universal n >= r+1 cutoff was neither needed nor Lean-supported."
Inverse_and_Sampling_Frontiers:p2:thm:algebraic-inverse-germ,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,2681,p2:thm:algebraic-inverse-germ,theorem,Dyadic algebraic inverse germ; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Algebraic Taylor shadows of the inverse Fabius function / The finite dyadic jet polynomial,yes,is:p2:thm:algebraic-inverse-germ,human-proved frontier result,,,Retained losslessly at is:p2:thm:algebraic-inverse-germ with a complete canonical proof of the general reduced-dyadic algebraic Taylor shadow and its nonzero flat remainder. No exact general-dyadic Lean counterpart is claimed.
Inverse_and_Sampling_Frontiers:p2:thm:inverse-derivatives,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,2767,p2:thm:inverse-derivatives,theorem,All inverse derivatives at dyadic outputs; \statusnew,,"Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Algebraic Taylor shadows of the inverse Fabius function / Lagrange--B\""urmann and Bell formulas",yes,is:p2:thm:inverse-derivatives,human-proved frontier result,,,"Retained at is:p2:thm:inverse-derivatives with a complete canonical human proof of All inverse derivatives at dyadic outputs; \statusnew. Lean proves the complete quarter jet only, not arbitrary reduced-dyadic Bell-Lagrange derivatives."
Inverse_and_Sampling_Frontiers:p2:thm:Catalan-quarter,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,2833,p2:thm:Catalan-quarter,theorem,Catalan inverse jet at $F(1/4)$; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Algebraic Taylor shadows of the inverse Fabius function / The quarter point: Catalan numbers exactly,yes,is:p2:thm:Catalan-quarter,human-proved frontier result,,,"Retained explicitly at is:p2:thm:Catalan-quarter with a complete canonical human proof of the exact quarter jet, quadratic inverse and square-root shadow, Catalan derivative formula, and large-order asymptotic. FabiusFunction.FabiusInverseQuarterJet.Fabius.iteratedDeriv_fabiusInv_five_seventy_two_succ proves the derivative formula, but no exact Lean family covers every clause of the packaged theorem, in particular its asymptotic clause."
Inverse_and_Sampling_Frontiers:unlabelled-example-001,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,2886,,example,The first derivatives,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Algebraic Taylor shadows of the inverse Fabius function / The quarter point: Catalan numbers exactly,no,is:p2:thm:Catalan-quarter,not applicable,,,Illustrative first-derivative values are retained immediately after is:p2:thm:Catalan-quarter; the example is not a separate assertion.
Inverse_and_Sampling_Frontiers:p2:def:Appell-polys,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,2955,p2:def:Appell-polys,definition,Kabaya--Iri and centered Rvachev--Appell polynomials,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Kabaya--Iri polynomials and the Rvachev Appell inverse / The external precursor and the normalization used here,no,is:p2:def:Appell-polys,not applicable,,,Retained at is:p2:def:Appell-polys as the definition Kabaya--Iri and centered Rvachev--Appell polynomials; proof status is not applicable.
Inverse_and_Sampling_Frontiers:p2:prop:Appell-package,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,2983,p2:prop:Appell-package,proposition,Classical Appell package; \statuslit,,"Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Kabaya--Iri polynomials and the Rvachev Appell inverse / Appell, mean-value, and biorthogonality identities",yes,is:p2:prop:Appell-package,human-proved frontier result,,,Retained at is:p2:prop:Appell-package with a complete canonical human proof of Classical Appell package; \statuslit. The Appell laws are split across exact declarations; the full source normalization/package is not one direct theorem.
Inverse_and_Sampling_Frontiers:p2:prop:Bernoulli-refinement,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3106,p2:prop:Bernoulli-refinement,proposition,Bernoulli refinement of the Appell sequences,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Kabaya--Iri polynomials and the Rvachev Appell inverse / Bernoulli refinement recurrences,yes,is:p2:prop:Bernoulli-refinement,human-proved frontier result,,,"Retained at is:p2:prop:Bernoulli-refinement with a complete canonical human proof of Bernoulli refinement of the Appell sequences. Bernoulli-Mersenne cumulants are formalized, but the displayed refined polynomial recurrence is not assembled."
Inverse_and_Sampling_Frontiers:p2:thm:logistic-dual,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3163,p2:thm:logistic-dual,theorem,Logistic dual of the Rvachev law; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Kabaya--Iri polynomials and the Rvachev Appell inverse / A dyadic logistic dual,yes,is:p2:thm:logistic-dual,human-proved frontier result,,,Retained at is:p2:thm:logistic-dual with a complete canonical human proof of Logistic dual of the Rvachev law; \statusnew. No matching Lean duality theorem was found.
Inverse_and_Sampling_Frontiers:p2:thm:Barnes-identification,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3283,p2:thm:Barnes-identification,theorem,Dyadic Barnes identification; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Finite dyadic prefixes as Barnes--Bernoulli polynomials / Normalized Barnes multiple Bernoulli polynomials,yes,is:p2:thm:Barnes-identification,human-proved frontier result,,,"Retained at is:p2:thm:Barnes-identification with a complete canonical human proof of Dyadic Barnes identification; \statusnew. The reciprocal-Gamma representation is formalized, but this Barnes identification is not."
Inverse_and_Sampling_Frontiers:p2:thm:TM-uncentered,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3346,p2:thm:TM-uncentered,theorem,Uncentered Thue--Morse--Barnes collapse; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Finite dyadic prefixes as Barnes--Bernoulli polynomials / A complete Thue--Morse difference operator,yes,is:p2:thm:TM-uncentered,human-proved frontier result,,,Retained at is:p2:thm:TM-uncentered with a complete canonical human proof of Uncentered Thue--Morse--Barnes collapse; \statusnew. Generic Prouhet and Thue-Morse identities exist; this collapse is not assembled.
Inverse_and_Sampling_Frontiers:p2:cor:Prouhet-canonical,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3373,p2:cor:Prouhet-canonical,corollary,Prouhet cancellation with a canonical correction,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Finite dyadic prefixes as Barnes--Bernoulli polynomials / A complete Thue--Morse difference operator,no,is:p2:cor:Prouhet-canonical,human-proved frontier result,,,"Retained at is:p2:cor:Prouhet-canonical with a complete canonical human proof of Prouhet cancellation with a canonical correction. Generic Prouhet cancellation is exact, but not this corrected canonical identity."
Inverse_and_Sampling_Frontiers:p2:thm:TM-centered,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3388,p2:thm:TM-centered,theorem,Centered Thue--Morse--Rvachev collapse; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Finite dyadic prefixes as Barnes--Bernoulli polynomials / A complete Thue--Morse difference operator,yes,is:p2:thm:TM-centered,human-proved frontier result,,,Retained at is:p2:thm:TM-centered with a complete canonical human proof of Centered Thue--Morse--Rvachev collapse; \statusnew. Centered moments/cumulants are exact; this finite collapse is not assembled.
Inverse_and_Sampling_Frontiers:p2:eq:A4N2,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3424,p2:eq:A4N2,example,The first genuinely centered identity,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Finite dyadic prefixes as Barnes--Bernoulli polynomials / A complete Thue--Morse difference operator,no,is:p2:eq:A4N2,not applicable,,,Retained at is:p2:eq:A4N2 as the illustrative example The first genuinely centered identity; it is not a separate theorem.
Inverse_and_Sampling_Frontiers:p2:thm:finite-prefix-expansion,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3486,p2:thm:finite-prefix-expansion,theorem,Exact finite-prefix expansion; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Exact finite-prefix expansions and \texorpdfstring{$q$}{q}-Richardson recovery / Tail self-similarity is polynomial in the truncation scale,yes,is:p2:thm:finite-prefix-expansion,human-proved frontier result,,,Retained at is:p2:thm:finite-prefix-expansion with a complete canonical human proof of Exact finite-prefix expansion; \statusnew. No exact Lean declaration gives the full finite-prefix Appell expansion.
Inverse_and_Sampling_Frontiers:p2:thm:exact-recovery,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3571,p2:thm:exact-recovery,theorem,Exact $q$-Richardson recovery; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Exact finite-prefix expansions and \texorpdfstring{$q$}{q}-Richardson recovery / Geometric Lagrange weights,yes,is:p2:thm:exact-recovery,human-proved frontier result,,,Retained at is:p2:thm:exact-recovery with a complete canonical human proof of Exact $q$-Richardson recovery; \statusnew. The q-filter algebra is exact; its application to this finite-prefix recovery is not.
Inverse_and_Sampling_Frontiers:p2:alg:exact-Appell,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3721,p2:alg:exact-Appell,algorithm,Exact Appell polynomial recovery,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Exact finite-prefix expansions and \texorpdfstring{$q$}{q}-Richardson recovery / A finite algorithm for any fixed degree,no,is:p2:alg:exact-Appell,not applicable,,,"Retained at is:p2:alg:exact-Appell as the algorithm specification Exact Appell polynomial recovery; proof status belongs to separate correctness results, not this row."
Inverse_and_Sampling_Frontiers:p2:thm:Laurent-leading,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3780,p2:thm:Laurent-leading,theorem,Laurent coefficient from the odd core; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Reciprocal-sinc poles and the asymptotics of Appell constants / Exact leading Laurent coefficient,yes,is:p2:thm:Laurent-leading,human-proved frontier result,,,"Retained at is:p2:thm:Laurent-leading with a complete canonical human proof of Laurent coefficient from the odd core; \statusnew. Integer-zero factorization and order are exact, but the displayed reciprocal Laurent limit is not one theorem."
Inverse_and_Sampling_Frontiers:p2:cor:pole-degree,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3841,p2:cor:pole-degree,corollary,Pole multiplicity becomes polynomial degree; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Reciprocal-sinc poles and the asymptotics of Appell constants / A \texorpdfstring{$2$}{2}-adic hierarchy of exponentially small corrections,no,is:p2:cor:pole-degree,human-proved frontier result,,,Retained at is:p2:cor:pole-degree with a complete canonical human proof of Pole multiplicity becomes polynomial degree; \statusnew. The pole-multiplicity to polynomial-degree corollary is not formalized.
Inverse_and_Sampling_Frontiers:p2:thm:three-shell,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3892,p2:thm:three-shell,theorem,Three-shell asymptotic; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Reciprocal-sinc poles and the asymptotics of Appell constants / The first three pole shells explicitly,yes,is:p2:thm:three-shell,human-proved frontier result,,,Retained at is:p2:thm:three-shell with a complete canonical human proof of Three-shell asymptotic; \statusnew. No matching three-shell asymptotic declaration was found.
Inverse_and_Sampling_Frontiers:p2:thm:Lambert-threshold,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,4018,p2:thm:Lambert-threshold,theorem,Lambert coefficient threshold; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / A Lambert-\texorpdfstring{$W$}{W} threshold for the Appell coefficients / From pole asymptotics to factorial growth,yes,is:p2:thm:Lambert-threshold,human-proved frontier result,,,Retained at is:p2:thm:Lambert-threshold with a complete canonical human proof of Lambert coefficient threshold; \statusnew. No matching Lambert coefficient-threshold declaration was found.
Inverse_and_Sampling_Frontiers:p3:thm:self-sampling,Inverse_and_Sampling_Frontiers,inverse-asymptotics-and-computability/Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,4928,p3:thm:self-sampling,theorem,Shifted self-sampling quadrature,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / The shifted dyadic self-sampling theorem / Definition of the rules",yes,is:p3:thm:self-sampling,Lean-proved,FabiusFunction.PolynomialCombExactness,Fabius.integral_polynomial_mul_rvachevUp_eq_dyadic_tsum,"Retained at is:p3:thm:self-sampling. Exact counterpart: FabiusFunction.PolynomialCombExactness.Fabius.integral_polynomial_mul_rvachevUp_eq_dyadic_tsum has the same whole-line integral, dyadic mesh factor, arbitrary real phase, degree bound, nodes, and Rvachev-density weights. Compact support identifies the whole-line integral with the displayed integral over [-1,1]."
