path,change_kind,reconciliation_sha256,reconciliation_bytes,disposition,destination,note
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report/README.md,modified,2ec02890dacf9f51edfa2b42b0a410f2d82f4f2d8fdfd1c7ba14ae2673bc9a2a,4699,canonicalized-provenance,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/README.md,Nonduplicative conclusions are distilled into the named canonical record; the original bytes remain recoverable at the reconciliation pin.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report/REPOSITORY_AUDIT.md,added,55d19c39f0549613c724dca93ef4d70a120d96a300b06f2ad522aa85c70559fb,5568,canonicalized-provenance,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,Nonduplicative conclusions are distilled into the named canonical record; the original bytes remain recoverable at the reconciliation pin.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report/SHA256SUMS.arrival.txt,added,eab71028a18157e98c36278b987009421c9eb79b7abb902c21a4986beb16477d,1030,retired-historical-ledger,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,The package-local historical ledger is superseded by canonical provenance and the exhaustive live package manifest.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report/SHA256SUMS.txt,modified,f8da5ad6bd47d5cc58a9ef553e3afaa50ab120328e6d45fd12fde398f236ffe2,1560,retired-historical-ledger,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,The package-local historical ledger is superseded by canonical provenance and the exhaustive live package manifest.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report/geometric_comb_interpolation_report.tex,modified,816e4408eb4e390738a58dadecdae842d8d932e741afbe276dceb0ee7d36f2f2,82180,absorbed-publication,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/chapters/02_geometric_extensions.tex,The post-pin manuscript change is preamble-only; its mathematical content remains covered by the canonical chapter and concordance.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report/requirements-lock.txt,added,259e774eb38a4c19bda514d3c427cadaa088bf880b76cb27b83f3084c07e73ae,203,retained-post-pin-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/geometric_comb_interpolation_report/requirements-lock.txt,Exact reproducibility-environment input retained byte-for-byte from the reconciliation revision.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_interpolation_report/requirements.txt,added,a7335e01ef784e124a19bf1496d8bceb4adae2de7a3dd03a08f12c523fb6cc3b,33,retained-post-pin-evidence,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/companion-evidence/geometric_comb_interpolation_report/requirements.txt,Exact reproducibility-environment input retained byte-for-byte from the reconciliation revision.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_q_fabius_report/ARRIVAL_SHA256SUMS.txt,added,7fd96e3a02cdb05e1660fa1bece7bc02872a8eecc5f0c37725537276cf0b6b99,1564,retired-historical-ledger,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,The package-local historical ledger is superseded by canonical provenance and the exhaustive live package manifest.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_q_fabius_report/INTAKE_AUDIT.md,added,602ee5394d7cb6829536d689ae6c59dd6c170dfc2b1451f0516ca648e2fbee6c,7780,canonicalized-provenance,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,Nonduplicative conclusions are distilled into the named canonical record; the original bytes remain recoverable at the reconciliation pin.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_q_fabius_report/NUMERICAL_REPLAY.txt,added,4f26bf2e61016f3a5183a686368e94937d47f61415daf9d8324f0b40cec27274,2834,canonicalized-provenance,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,Nonduplicative conclusions are distilled into the named canonical record; the original bytes remain recoverable at the reconciliation pin.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_q_fabius_report/README.md,modified,4f4a31b18ba961d054ba6aed92c4c393e6ecc2e4d027f8c281082a9914c3657d,5984,canonicalized-provenance,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/README.md,Nonduplicative conclusions are distilled into the named canonical record; the original bytes remain recoverable at the reconciliation pin.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_q_fabius_report/SHA256SUMS.txt,modified,ae36d68c37888a03ef7b1045e1413c8311a77059ccd5bb9cc106fab1f07b94b0,1915,retired-historical-ledger,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/PROVENANCE.md,The package-local historical ledger is superseded by canonical provenance and the exhaustive live package manifest.
Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/geometric_comb_q_fabius_report/pdf_preflight.json,added,a1f9117aebd11cd13bde7c070c41e5bf43cb9dc7363c9e94fa06acc2c9ed09dc,3753,retired-artifact-validation,Analysis/FabiusFunction/docs/semi-formalized-research-frontiers/drafts/inverse-and-sampling/comb-interpolation/comb_interpolation_synthesis/assets/VALIDATION.md,Validation of a retired source artifact is superseded by the canonical validation record; the original remains recoverable from Git.
