n,a_n
155,13535265084997391889893846186883668237925533961899825075965428030622385698008822835651277933508364103664264
156,66885709851374382600954408648244594052455744532254463751176579311312011518260319183274394718096663903566248
157,330528419116380369751070456492437582594005772349939260589656159018878887141180412710532217249916721306659040
158,1633401878432494441033512696750718018150490727719833527508171061748711569291564001365784234272319557536493328
159,8072089392620042004012619914648762260864305156703853035173738356654051018259265432282559017766955273284460320
160,39892149149581909761533640311090526213994070057450223558927771622893037051955008947225695065022904838685549940
161,197150261889803554150926902186137771292659396376126344017727336249828887590863560130524439546708831290867516144
162,974351438896449101605976903803826964139667753532721887711802511454652694640242940119099061968811364576243603760
163,4815508448494422443790785143696913552439171282201171051104558074447388305780108138413628602468715626181797274512
164,23799992078016479118286882080092665196714850688999081639670906578105151565439619065684621800746021866312407486320
165,117630385979349843000545219482101627871609652987358832833145125733981973700369739189892729843950321678265175191808
166,581393511702181427119436209772270493340037598444956108603818312211466437169714060644330194700268351344263320962544
167,2873615736612978297037295428458107798874992239124142508913305793157374481276315566191841903380345053144689092923040
168,14203486604120312548823634771613517249572022032725071501272593829572386306453005618647647721807150269375944977176528
169,70205139550597037471623655710635264597222092705675558150978239403312093533717404912336074951632813378012452623731200
170,347016740204197603127591126089915776780502398264499946147797595070016805550243008809178559445159877737672201297457520
171,1715297417757832478080770500679544705807545916359444256010566284894356332227639476269538611143515648014416531141048315
172,8478828360476371854612430139012419936801590742929155129909337577456462059195178628494642934329429618134463773434394075
173,41912114322893969694080897771259330695510336540826788441477631573471483950944206975130826056646014915811387000896408020
174,207181287879783978995148808884288432464145864543487899182046347837061087984445236571838465234505424240545323400452399850
175,1024161948404195237631719963537779612853866131908331219536130826831136072595165141222602441795578790132541979628799919140
176,5062835442408691113512273562541190131669867311048511218955176107894903886196068957157792473035084806803648962444293754939
177,25027990150273814522707973901615036773852935871882194164548738002448308292094675277281133372806743892375386267229821428420
178,123727161168104997811534084401458161405393795052304199295931230642978127859435043520685989124243819567960492384252323312228
179,611661229892018143799988840519747999957501163794682535009669670284359827396707432436522596369925281208360142415967777711060
180,3023873471370153011110968537148911487259363057835336379846063208894787557930460268218700454088119193733937130247121430451484
181,14949372294819727023361447564184157466215198970074948902689652369423360374689505375144364653461500618348187841585291589840328
182,73907567391915010155786370615392033757327424353080415273418962145877424686482605294170559820348719692129402552368894415249890
183,365393985201707506268767562532144776590361224549365709446636527610696500036814028509318625887576238435073095475353467060478428
184,1806509894309236369965885785132417926604499821696300391096755218077262208261611480966218068569483035117967540995360910967034570
185,8931526465850304993853458974446282601359905866755125654871264003177779334975081300672172734425555851370390342060872190232398360
186,44158809853449810985542314897521024977847072849938173866669896438866385522847331188556635154020366944778290817372614945110725704
187,218330941914010067905044615116283779004845455205054899492332762842215221529893303405186594497335802658254424674191730496679759860
188,1079491949912975536366669476537397035832305666763993727370041843643825337710261871461982686560886717921600262657665740531626662948
189,5337398795562239033143933514893438044683430704555577887428648300701249553098664632909902945929310291508200193957078129985816616880
190,26390399195161621980412713882984526985513420153158920732556331962574342785991576319830736517661267963210465874572424999209367209352
191,130487305583854074389432983030257536800581153749393418658480962985056022946218025629737780678340544748106325099443266553481990616336
192,645203184743405026557248510606671973255260866530704435892045906396198552448485587589371189311616337883265058215592796564223413132435
193,3190293321396507537313693714225313871649747469021162453098691577900205568692538024041795572000620497443620377831708895055122641333572
194,15775042567852274666488726545983300138037252689118089794364194164155411201557288363732047742953339183519771015685782133133064469905300
195,78003882252011040058282751475894636764291608376649025397287067301890666340315282050625200999821712017952450812145713511466640291610220
196,385715943418338971989433840377675894096121064782585675999744264426901121379885059566260591606448883150075464817332559493312232685830900
197,1907324553813833125883559960631651218788088358374361184233159748910623990210116753110102308576046770445487431236844480418947885861559200
198,9431639403704446871571753214755205028841811308258176612111734173174739141256017477245364138407881561919317381649188680132074760228606140
199,46639651865496755934016395684925685627124048024319589308702476077571381155320401829021927814098547130148467856279974417593643172426218600
200,230636946670251044258664070830176083578578174339403006638935474519366867629676401384987329917411878451222273499117560315970543727846832068
201,1140533046729917816382537312596710532794535523174561459585302970915432720078516962126091608618216930281473312303207139824448805461070867184
202,5640170422765946242431499158296293966084074714222884974256157985196338129424289036932185661054465153547503215996657712353517719026748589520
203,27892143262466454034227825718451057696136069686345389733185369889276416093776950911712079316485275461604980116328603396874195085782373078996
204,137935737925533941695683380038419171603888416590645984765205110341135412233382765043510167412373829126877214813340321425520946403617779916340
205,682145347843425243625529306416973086905987715345274635585417647651472567717602358713132921048685054456078097910887198995674081369642075451824
206,3373511490482553958267713506869422265523980352875092560296780355665744305017587299204159253370291202945992954420355253754685658233116008773240
207,16683707573383804663532473493849629665090990125143905159659132865942822453114243749673087825532165375919913732956739165795744697342338638368560
208,82510268144092450424062905987919208601793939441379064623211085106695455178828232149739468207412525955248905817385005522833733591287516578284732
209,408064142112273579990786018091853974297498557236882487939057162545138394711537652001637309838613315862947358428426622171875584666826544446588880
210,2018151786528063210071124510350832005847453703964075396415148406914554350354546387450446424574040934347731186977183415850852061496140816987877840
211,9981231550143039037251100211300241638101981350271175386643508131915355512341789448432439792683008597508705865960010173891358436904348426094978896
212,49365017948975997392344154015871545677099792895343125107730671700853803113232119072479849562298961569615244838252368398393644179889303530920237040
213,244151438054412225518614850948345411758257307009534541453010517094710242015559419144457387446138792097687541271201696136019360298062147476663057272
214,1207547012294376582069935372698084992143758313199978222136486754260269460902657697854888971395082113558109212678309013700010159754862933988286929770
215,5972463965256720114575048108784532800569455112095627445564226955447734470450980795904742234454898181798997008170575319192930217237490388966832588588
216,29539811112780361625306414902864539595606443206141228852711289215872325770621234832883240775632468250108299660396002079200338696963032399258482880714
217,146105488962266219290463933648367504296760098846161946741261874476233773155159383802791967561985488787958686993977724051102932421200633349856979404440
218,722653232534486010293411746259162060734359906419211110548922444069811391248717581273153356477465490814790518467098398727517063059143590795834629329288
219,3574356983820087002659714875282713561291400486638341009867685653289842325418415924853230402149315507436754873128461779344279607427367625722718512441500
220,17679517819211369276867192338431693844533539706405927728238990283963258625065049299946823181074053388359722349246287858630743507083253549602972238218700
221,87447496867378752910744528821949413606750701527572946375611194878290925214956584684596036700318323509637999715822236008314054435155303958710980238787600
222,432542497767182287632937658100260098397908111123706755989251213468208476543086465312557507594006023614948949917844508455070098986321505838298397949387000
223,2139511277475868714656995903385143603737888384801067694367572094829148665817957877914078152266387948437568150808618025550537966845623887644048248166399600
224,10582900963325286821823035716528998294536320975677354061049197715011373806829283604504081809431382443128408188075550654202670826425177921457351049862467250
225,52347892371229602243993122423099942435086692333984596226847867533182598471215682170870449575504688880707982354172144205898401821364302491312715360175639320
226,258939287353420514547802162176778824076553495176735198285259022905205316222561041759619976286768121216171953709883301865474275041651203107408249203790083640
227,1280857857964944243857825699090547716703305295325048852221541668491166250039311025641760341613172061809354301794935478231506452853984486577231795515378036200
228,6335897303446445518769521711974777720317498552719461476630393891934375332096558524921650511568557815817084280293913768296734084946502836570054147027589995800
229,31341479121947402613036572068530170551546518410681263728382660595537053446181834933049788344182244537742439825350096227812143992288980148378025377509551756800
230,155036865250327720740613079340255314037983132660994642302921672458975712899899524141481277496088431210154572397213494260688943750178858719794813209224247701240
231,766927946558674353486447236718011037913102673436101673786725127817013637510963616925692186784819053418007340225991094487003014796897541286875433819782663572560
232,3793832984930760358893004909265048018922940018275886458978065136916882398399205732941282317893461570181064012506645061730822970771259179224428006461125076540200
233,18767476355094834316488350914559494682973560844521449498016040065650841930837465864861259254658042915033152293444991214673798931838882151908754960811247492831840
234,92840514149780436301365272346582033547360479444802347282424856213841738318786086278563075332426833016073665072940782789636837156901656992086192027055401036837600
235,459275366839991504730072994697828432660247764160361502695755655280118933342268178797262870109175974266420887199110539001509917329832574288776679403435355938577700
236,2272022831504441172069119264307157499046266272686806211448637790559657018062473881064937019170729767202743331220420382753010327046640833617901618323974695208530020
237,11239736228154892443515666841490655562034660448826434668058584839869254542547517568649973995533127934694932840205042539717448343902912025910558649247571628246514800
238,55603663245284317821514556381531372422802027914491638214701853560803323649300418524753192546049778604456144995718881468204387330508392295912514313424632186676911480
239,275077148699239403613045502017644192338431842140101918939035667092812858631101114653759310519487461550637292793674488540511426327886102523203381894618258120996218800
240,1360847363700775428178157697783478029985093178225819835782320677669338405810367207137989512043748773699935769469332012672929876872865986472910930069986991751899211220
241,6732371606961939517847651176628798283994200990865483272746625337679883214646576407621059321774728526802220462983808126314349413826310760556991779509327151601937739760
242,33306613180571814170526395225181188501929706081469757890494694220047129268422250415349628866139200457153475389537546878345003832985335693085267445747320094669153663600
243,164776990288614379402274185162168123168230697764774204999133879430972745006512160434482418576474709272151115190631867935506897564795494950586693909395542283702744726320
244,815204048564354532539389253973625897558879241732936582295384218776118407122227719557858293477540869220176251953900559061458784567648216517820192808408445086960200106000
245,4033106855860142708874214929551404802612821516384603261328825046760224010683242395480252850256621896526382185404715053981192255463034411841919337469421601318192006557600
246,19953392190727058646691085987526323161161559584051930173421660698806852516139990318731002989638505190072664726038708621498295991330464684314666014709535441121314497896200
247,98718223007148902072192917268392779388374006630631044392981385496681118622132189154812530236409337008883102658367901440970536432617918818917719992778116218460503793286000
248,488406540020450741738703273741344524595882446347704354641695483155028864703333203261912284864011749043178286912725169401855989325075299442684396723715852432349193914314600
249,2416401713403108439349230533980482705886246479032357754161507344820474849518475653206977519478414776624271985639908238438242416661932025181451412680886177896619544308188000
250,11955294912885376751461185381629056837242086865305633473762452245716665352493512094206561677366491985622999556809235384743604551823928866374498026658360391167302590999246880
251,59150023173284653179821426233941755594652858506815369902403916937708176936126393701367942809304264500925762645617476531654989660486502466340517940468660993619089382204811024
252,292653002088771103545136047196380287467939513161537459832032704073729155333285239405647783213348150448867637317413421930457888754142104964602308323190298686450863078667181520
253,1447952982648516585669347532409034587847557598216000231917459869565871036807837512630973973228532376523946736327983891255006900733166167912195613770157965741491926737908746688
254,7164061759620353274445294698417251449898663607335591177541043051419618493850798734457432394469456138375160703830836977468885091444906016456534663737012542537283448657485433760
255,35446025112742021185042866690867086303121723608068631494634653163758567404715151380435923008425556421957940088038426932854868498201637473041739138001162099988220238185381026624
256,175379607050230970544922701476263097411509341381717103083416043340503924590842942251912388380518462362767595652891983797525962689593047239983426985714899874149725942757793705813
257,867748658037879304977442196160645277342666944690999912760572010574655887844194588581735570490248170873151640058174903592311209505782291527948041280604032750608236086663959341340
258,4293506149767309406969552141279332592620296013628394426793593722869676209743563626139341888741291616571989458969494004899383364997552948436050825028082624848758506815187935764108
259,21243862561583772294254269233079547828089526552402488764076710805819018343053566563038654746130130025534676855642394771009756532148871831128297828405216817241304219993810343632020
260,105113405554130785796783179451408084809052041681553384587098198666890431137881657542566321165712462117058860854995111466816661575943217341631656538013086331585211672742492576246220
261,520098901151969094058029660835366398205421975031245572855762458345811396130672611354366217509715724369650262865637446065142602740408900797045717579769124012495195776310420791560224
262,2573457179718736477093847083881985371962286436545956671889783009975172259567509242275176315898991429500645306424002240415480521663384345214264097124038762967421856353195034646930260
263,12733597356433067794157948555485066679776101012591068109352414826897659777825492456724028619894748053390553148684603370246941326740871931799841279246100649602619363986570120996901752
264,63006943548409612329696702967339680938761341455202402009967723009442895343423079188460806775293172319953683086047808301687511424297296168308515324206431032729817688359728849854039820
265,311766050404254760709101087259430063598377820791470466748389430052596447775343215911996567947198879741314426084621011085198913406801277414792084452897107055606587343126838090496078288
266,1542667447519597083720273254979528474259632025124221430110441186975511193880997071862549305044726318429691285921711245914669655398597628906077870845880186998942893844946354438269331184
267,7633414967731637472187521847210442343692332364078673849624227634677380807712548605749899774463268532487734719559719612926488582923886783521509863273599072817751870322020135532547750740
268,37771868456648478801251938886811135948562334223491934573337205280298923490874652674859323028656840135195736898600275993552006633160961921437550669019075806383205304259883831429867660148
269,186905069898764832524120268182840770321159326323335464215675954412028200596475497406222455374068379631757350603178438948336614568286154075588717799040251520186606526162906718360005857200
270,924861476694165272025251301718106983280744221070245114152111566729046624881401612145548947442083378303403614347781310369307351138443358485369138307614096226970969944691889556992854610360
271,4576519011378830083865793548106291999037577126593736692427668213201733531174686829344022694796945199002804716052969596196694046700976368726697390812986688464378245699941025051417026556080
272,22646276324495031206092959857330622479204440565137901430650360816011791635442562005283306661041364768869827667079397408371501810815273298620272769438367037334406849295535270651812399869100
273,112062746594294635785600922248798971051595401062521231771544254448736454528890874129543779498408381263940587710977789518252477891668039948577776865133063896164299040583618712419920115448080
274,554534576552412524562985639452333619751905213224839485644225926792637437467097505127251578747154674218332873487391813176653068537960676593046652117545985104614984603201744379643625356982800
275,2744093374136104528612378921993386317964892501745518459392079903455380146144703747796184299539734647961447831525050419426935157861322879651672753994260456114883346889828161019501731688297744
276,13579131850607962136108567308077890909106700708849039559796566943848278541685515364100283146671674675786106898946032706158404591544457497172400562983552564175073352933112618909268422859335728
277,67196703808583478975523773872764002913167790176159474337232472456432231420973380681933476651090506646982981413336372530791652821049028235828510713162258239295983933845407138348009289817728240
278,332526881515546111635240440137320896667740837186911757142569111345971346416639339243289343973693521876382678305863836498135098799685567352335879215083359101153890518656362869623901316465908580
279,1645539656072403963744275855088877222307009688896670551995385842311248630363054322852015278901980234427413830245108942278106256319255955946716242532344977708484574385066540993403841113736562360
280,8143155542316004364150355677069883029450488157268850970750670353777800537756655810277720060073586369051679876011244734436470006992250698487673090672554524216207807969845382174924689906222731908
281,40297664053962229606689380238331879903271895753116438427772221866804426481826366639925267754018713523136574065272820066939411024223343293462237057195236986082524982210332887110326526953618648432
282,199420480469376672915999269523562490151923006057934944347342824405285617259420565109682688463422522148100753805851556940384946028072859051289068254536560974457310201939988435755696652520214623440
283,986875505369224263176733309811624248030660659194064031691434493936061735492630396978009168287512974770941039801210288439921252093234698569148031471679294729855825369500739496426324430460918682808
284,4883797938455939079854572503695832976309185563934047604515710775345474063606457850038356080447022917885252014368926845659379242582373243289081905025135414802789588837845104691903690481110503962520
285,24168833600182241480191039851854191803615293776072318628528907800485665198734187791495747782246961719210643745103966682177984317648268940749527334396316104741433507794055270659755356789531259191840
286,119606935770853592352858663121709754347675899525425318811784895680377961462923314613159226103412502432322535133843970685711663651498727162776805249750601606108728334001726516237122151661682081577584
287,591915464321250579035011766026759449442511339637580577928164455414576750504955238758373296506991070910954601756120990997317376920727525516503864218237691931223712160778215524311475351963895289659360
288,2929312061352028050139226774458125707303247635340764805266695903016670028016345383743841586391645096194013694039299713759715821827141518103970735680830489090934022330514120656230637689422981557093052
289,14496868720242985545949418242867908688230917998675879762527289420343749794003034177706884616003723666338553524603904361342996051746879462287278516259555913176878048222248000397538621237039745025168720
290,71743963767043175728970406886540502726581232781040914858375206232008806696876397671791028291534739382136268004124490970624671953992644641571770827634719968662497170562776934281945961369730300658097168
291,355057838990878289740278482873389492361262635554247019473500533861933881608764703057328357445137333158067582132887701989721384440366242873510210844012165456044298829428724070145090599921709380031352624
292,1757176567129539044295605166132370346558116788586874753304064181834668479570982268934494431683347432784583983335459758303071363251620203376157914513606542202704853218850934762255000653536483668065317840
293,8696294578008480579341223200957015456184386779491777141199507933787954502088921690387421284652085426242130010373804257364538182496473977567405419356733513147198761947293346910415572884515662525167404288
294,43038349373973213033906639476702136837967979608891379200881174841573501342434069691377476718030722622624475416218995857713236427035071270406256978845864173801357408210287478786311436365564232516050581200
295,212999938629619359490991018183346520417924626082995583315648944342560692490185145556257511743947348867611759382525056344147284325745081007411691878783091910308996405857981965713480583209580385083183805920
296,1054158319054099933167264691408142710208784451849180296077704335176448331539753293067510628056394276021281292527909997546529809264010194440641700810646071838053824768356311592102119436933255249459219305840
297,5217166251089073212158293428056512396587543109246481165560978247552682844945520943945310924384492114230690316364475706999714547678332143652469666218765086761647160747169353749860660148583971308408300731200
298,25820578556808940120191322189730067314293699847564349094855546675932420417679009298925092061591473895984902749190021644873525679007487001918525463882798849083520562939834899680567941371917248180210649973120
299,127790833509611293807014958627976336462037124018489366975715718274403856673798188853576751737926829142112299102823991948794953344375832661699018646631869526762597367436591042861301569873367527619359125923100
300,632464073415266844019983947386342714850667967397894779999470693895186118144721287112714689798717780582667215993303441262625092596458905117777310056944680868070178737001084686100529421003954075034250367256860
301,3130216865606116590379258163538700371318151544506636505455047228268126675345365002470162334482541676294243385192572154624479644078400015256260021502663702913834045131079600939791626756304409340075033525941904
302,15492281714168736677231456354670848420598406046639654827079982526827816004686625255564613338995080234307980760565378400190290286694978947885814139403701200173006839053186624396635731714915826761945526708306120
303,76675871475554204010999835390348239311198589973715197244490716562656777061032031359971962818353476036358880444005909943412277980567168643513230867081703893740382390353565949670942902776448488902415873269746128
304,379493565557173053852790087892066779760329541435987383376832094431322372286989261667280931057571079108134227305290032747480173869327711141995159191226363750566013657327487252020031560466711077690088276761132860
305,1878245936703214047649146657622052606541999320397067600904301174502024099037728040511591456045763351173743069347471595975832177469758916975732356098306335781636665955009997965589261755193251927630237161444553424
306,9296143718749366480906757279257672371610772522354396206382745917546358911830773027801892575093230739701694620269925094815936935935753244616302507549784583376372656387712412064796771870608399145933922609500388688
307,46010347724142642872878783030425927632138841259587301252072990884964690064968508828263129093354510004000169833960760215208819399274648059764714989296013437001242978544603591237193837949713570368632783098234925840
308,227724890236474504619880878996048886467288545415162272659744527426797840562328501544047001008879578857073643820218773315989106220915777109406723847606340106252450069072045582051295814315545353925335225147788878768
309,1127113813217474373375359722083931830422358138141251165536480466678701363907182224601616205780679121706249722873419615577333211979247935880427561009556968139674925678870412829366590931991763350565179492922445733920
310,5578626856304010604261516937925194526123567552099267908652439020342068158539702325500302747614043517266854614992768916569743841960972121933252065649364451162032449676671197450408763918494291270519002305646489985160
311,27611443375587105693752768795493999367396247941092031961385345184258267093474219502399622345379887094854461643849092746953169950488386312839884294783865589667278952366813342390994040185387830057186744298151008058224
312,136663691453090808712646598816101807031307051534737385192350256896962608630539683464576608112428121614989854576618151258437423243914644676573996405971612062863006244251196887793624850672261599837275950518518917237160
313,676424628340523062745148873816877382591502406364393538143344136049735819203797949211432254663099628198924627209206033599496039730774026328034371948087699624830322418282179561168883032214124943646088453252105103378016
314,3348018804319738211464219166862549689711922143861765741349806927758047718743928117957170945402602873474479869018627661030013910176184378347988087157776799258758386068534695585485293802471999285232760616569369119708960
315,16571375712733362567990930730785950068246402919315017636686287124561912461853643566126393392798660570961925204276362751509585445114782761777258702074105581738431973354303708092616416761288022489153030626384382187003984
316,82022201903493937295050934410845779463192212800427983227697573210427417989783018892994510922337385779704092972388563049935584293340008393395851710949435568732222009701054292029008736321541137255164032083194555109616912
317,405981696940151333553542659696504772354866908193633522786890628800419147046313109555377370548676606749382776194019601596115692358470097651352189074287318924153282395789794884822915550477087454846283375131925727559011520
318,2009479788167785808638051048298735184872939737853835491811727659125317252280168296933741011957526761541559330243202594620592607061253353523769932905806376509223547317450013938979978799476956714346287381839127286564597024
319,9946332507546852814154751364632417588212957922615245813410606548743682909990319230518800172284939510652968320483063611527616698421306335471279860906694020241585968337217363348353260581188688543868530017729371377126529600
320,49231654965040001161312979509145798507194091139985448486997007323087941132329449124494955664387590144493840264406908124485016130794037439537625566309258845644099749961975896436224967432069396392813287267333722571414791540
321,243684560406595735521609796100789173667321569787742414261676081732999414256580353816318980068049407837752867727673579076895313339734642874427530869947010785912966105359408268504122270851041450687776376273464772947748770800
322,1206184367992010690545666813053175675208711772185229346853389396709787463532509481401136807910009560696195943179186264614254246723672371498342461982947410165788423606369973369092951655492446472847677230953346845069735604400
323,5970373055112168372757042906170116868252867634927194020693506039042470968152875156503853768880622612351966601460344391459098057801921598258194062705179489086477861119569086377289932874066244673454596895923076698935101030480
324,29552302202084608496718425845785400298916322807650602164751508019416839030801799635230193961390226875982866838652415771504781580495530479248398318283683260297749946035492187031947892217329993738753931471099225820084941105200
325,146279421728249709533346744623633648453292691985742108060256735339287240079829666846148540417146028118336706104286294825502285393110382503760388874495898006545034312913814773414132461273070793809000981503300937443624428550016
326,724064412718469255885502292662162804478376993367964706707182281810161267199406529342738737283011234593308076330092342072039098530529747768398984150846293471970517805446442295140165746855056251726391032935542005555480225016208
327,3584042990504619695578348598200864428297172734004481027385284411328982198991592805444451303244812696061012612464098953501083751692146385766241510214149278346091982874427082894176312967267666125307639514336618551166276771366240
328,17740720155331050765366623495260119621975860117026726918140621539516067929000556221271340645145142505871094732207282280932259937803953714519795705379625582055471350557156368806882989774589685676596877155234748581440655456157552
329,87815523617781409486652823212694400372318747294236991365827357733338522410748266408369244647965457186637873318685234127843640707903476687404366378820234404003915443240428098825178344943981082888901573181747494084837935853206080
330,434683692808738362992424602738050841572579524390837889767278486749495052990575026333851902478131546482604767495945363838799251932563031274437301799017947977610164519884277115268401931214041548613441098251056193677744110390314688
331,2151678553915355817964226073010732779141692581004899467039386079543113171341226839723927159084971576583510911181646491980907238605527830119333568428299398454546906051229067710186855506421646085523382745821853024435003653895872880
332,10650829025678703555106215203943198362781719642069052882656209547866995031351892243282780725423164333357297282619095530642385961013044591130352545190658178129711281819660510945073266991059675792664855235375540814210672180694772720
333,52721942343239522939041782679043555167849060549071017067852896332232220483938115340145504317185028733061156711771044882024032315138657801049677615022524372599961134998493571009974565768772709264351473016428889387020076245215249984
334,260976465781323313187214094341163902810135803514632148616790226588459143953574413780652438040531643646553643300022566918939471670308913900906019808061476523426181650516835423905471014681888123612546231124686454786551041203730278560
