j,rho_j_exact,rho_j_decimal,rho_j_times_(4pi)^(2j),scaled_minus_limit
32,157469547711885256084418635367485009119170463026235555424962575142634498216252761901943189045409414944776902778135943707891608003365663008368108169455938526952162411833546874782866613915085374773308241966283358751156064980331670983803819093742231949440453141401412636423949022139648161086434865605595834723537594/974828700439015382456799447514642416111088783111432417057316652388195367914600886913846052199091398727440525877867635332915845477270049473039329777868767287539965456747046452159258747177548238859284584310874966161586253850026434503352479720473231610021330503937190379335190669682288191424175274659441065614752953734369887902481713165408712943356468105558221577666699886322021484375,1.61535608913615939863912040773e-70,3.61159938602805643660009771171,-1.20831353896312364156600944524e-17
33,69052037422531425456516298002748655380420312873725229248205842694210035220890317878331631207912561805716666718115052295562512990767983377883359498674367550096306243922799752550609048827958225078815399443497484407540692073354305206002039796247119007248900292421294516867964843780091451050963996588689224579252631742698775882673102789058/67503758165327501533803265570846539493678723523445556738704665935775950233960188363203594104677129806255088722189589353387272600850062592974826836926679634627593762594517932632933715601911705802592893904363013143774546891230790421888683427303004916445985317648753310192119731669846455355012503595992616254906434353180827900485223852431052988096355623936628426025882657728644881354228709824383258819580078125,1.02293619346958343210597059081e-72,3.61159938602805644556455665642,-3.11867644491803147680798655826e-18
34,1935921456934572129025151420489448633251638492933327352293437820967389619434018022122687590497488395085226387532961458533380170211247476023363640461854152965977791110260382377513292045184737534118995078569328196377162373047750093484063197305112554997785823196209753159460871597459607927160541432096012759764199588882528868595292287763184580261349835749564/298853892213450682490555072955426715407260888306374716396098062679993339231891760981202920884616859006432608526288246916415030830952401258835930897905249952728865152003657762727604618694388544420791043194876749951433477425242545757184379568915570803390495078935020433327444952183890696957989070205581652628563075740901411762881893428922591049795822482622801863275640947799567158824165727692726326779686569352634251117706298828125,6.47781911955785142294603767456e-75,3.61159938602805644787909084073,-8.04142260607306649285715285702e-19
35,33910952647658615187583696107570979161323365908387211071642671736777723360804769295643661305182879253705083280178924639438656195433442633210913601050397807101778143354548952009503280486256587221381948389915821401954398083473742024931868727551806352591323072960794512470473279819627299699989897004028523884721792654048841723653989778516165363458389270990148978378753743375215546/826667571463301185325525735233132909230120794738902443500302067163122480983423411174554591446300478610112417767893007410854380059150246902179943133939356915211235323765765211891886965708014987876830426159634101107314148106662326809172731213959892941878829532896707283374095356387849850377853942251726034669548363336723850880110753436778466994670812727052577021216668321372153895398743969479977404151727946345170389576355194368006777949631214141845703125,4.10212687884104900183100603726e-77,3.61159938602805644847607924884,-2.07153852496303378129207103441e-19
36,973123424043324517503961911987071066972891794705098921718133424854030944450682173939961435953926995173174678258534288153053039279486203228735529065245169402126600716498021732680844589938123788634970051216865811401301640691745769508921502679574805510422689002390608837110332843572497390781158873310320108573205115522792680943476495844394448078544150934665552520301776703617706676615249295549764273368244/3746093092646457895205845459680806608894645719519063792127861568591007596010158977037572373869787721507171603425028490503492350298902678970017857149354687844711990078740735083674299725919767840310709282367523268478488388544302741235046492254265414425938464291741719437593719370438537340519124847977797825273881314968342038713048913361446256150780456467351229148803952781644832110662510789670184765280012515148447291908857771378360570660082163837260432535913423635065555572509765625,2.59770219259514869611866802605e-79,3.61159938602805644862991506638,-5.33180349601980257955642335158e-20
37,349211978614638138926491947371403952399504060913719683545792681443644877582161902744983410403190639629195370604647227003645300141489113726521327168419381436678965489880750431270840369483483840800416330912079776567528836357068778528963308044744770851909054052327732362547667638692805700940049051804500783614642307230730477534723573463740472491067996158657863284167433032543592243207130417372684931732155327377428590924350676/212285093549077504421076659621389389393441875629182156976962878139253545221166867380612467460227536154216990309096136169305671838794588164424598978198279816343417327915460580769884626336892086950534649672858808680315903252721322862639776628809001639830458023665103870366461352331337863592552163475406217726863543766372529653880585158647640711980830671819246017018066801734799118562709221113890756937156036295302407413718787412019274746218305228441130883803126696484488218702392259729094803333282470703125,1.64501413065022839513115312331e-81,3.61159938602805644866952119964,-1.37119016990803853549659035694e-20
38,2506342011607382332555375957690037031452212401579362080903774241426936710303103109765811940098211391311407172094112715853289122712791344972973955872032610472630162220624847540514548631184702131419063368527866325818266018064481094703450556294866983109275732261126731589643140277409920468297986657290669263500437572648597399454736380747011435163514074246007596382530567286987703106410357940789365218170391643273336363651864766052695948474223854328/240597122541362578666139717118278122037004224828813485943071205549706179058184556987291282300305315903372231625038979877488451305684231458645300395298661629505121491806418731005452513717599079820467503788039303809075006746231368031365107462956192522120748843679245241855445877773032331400296800475162408749805646835678194340712246766844468254277882389731471908668030615661033519387619453129813365887285692643809003266880783356523588838400604902472428626263181980464439748976249680170805212676719464116104063577950000762939453125,1.04171736766157756806817838561e-83,3.61159938602805644867970952767,-3.52357366452785313085214780186e-21
39,7958049819825527669221812016786562690874424720641624212881018794068165250662804264199062633478273762437696414201305770390165078879602463104607435121512510677190907468951313972633048712554785832223019272601083921557782182536615247766862369919076406294469307567714649121094477518165639526582340114659453232159954265466594144796922246087227854933641800117264866410585395885354483503472886445192078446459748283824817942195973293965801459679887465569569224209861240770718826/120635874511182513444576255954259276548431229063464682057567587846140690979636595861362792984338724181023797058858268926868223006664119331054770831586343722049373665834171289947761543972664537086258592725318843349684469613393487116434064031329840031625172641374838566908664133703020400822910336499726359724916045446082148334900124742679440842769403576821173110660813188684955215271356217863199911055651382671657983818240551181620746424410738397292606391102387940264075142465734086106338517404503005412793650921204969322409031383358524180948734283447265625,6.59675229451571220382059720305e-86,3.61159938602805644868232830836,-9.04792976071406599140322201136e-22
40,10052417624536973758366409460794941337567697438000492291980703941646033813858124259923469856920100135732410672591908047425840693358043878820667387846147350688009252862876588089997582013658660949801811996954039537461335977549884703841758978883498133080094503707066923761637062714566967607586683800932832268874872919506659087144255380551481252491464676804853106130592963216076460153489373578883017486724865638117146455839544944803417273783314234574463854994772267076951970548218789837977939023068/24063570872279213998012729233642314420012782013944050034838852570676510542387241605477083660031366473187955116475014387122596476330970243357218663002836257051511530559123730631845528089652828316985830639627299318106125698382044071006973698742311606001676029660781031295225163754993435901486366170531732418296152062217739371564418157396587724101203761048515537148249113550994658487896115193922855787787259165806084770205615272454950388826342385860091678440522756713463084069835105131182004367697326184114349513665227720830407657560933231644061802509821745843510143458843231201171875,4.17744219172274712628303423469e-88,3.6115993860280564486830009282,-2.32173134002712936491893377959e-22
41,76649581223669125199621086124777161345093834602780772403173017149852298399250138318568714036985324762449530323673718514885969363713596953215190222095677073152609905879021688229809775380881260337221631439363449281432636615227637367352755317644565141788338871966071797191907499369251793244992126304573980540322481547033789314140587063260700136561975473756538566696737879345669225843831959442524088694535360195587957019878169198473731204041297951657348670053334184512583607587671458128814262176887732242944940844075374156/28974707851066366421396600682317670850573485471065968756487346209714735137284042758510297651660164343495406033337750410090617222380117503918619743319809693888224409386547619256389110323655654202873664045834206450146289618372044387402166569459706336595644652766508026121123376329113272789292848401723177594807080603466734474786880418151990038430473395949043195695882803982909085298232834039582954632246349577605004149518521422994474621923951332346836062142891378429978162000229475757913152763424120004037028630989205981345676004000611051850578051790961360584104859828611175054385284965974278748035430908203125,2.64539617164244034132307806512e-90,3.61159938602805644868317356433,-5.95370059968936066441221656997e-23
42,371655311104889833542303856408239814622749895536330494932039749198397906240405303378963993493801356279068646963025477042397790337995869745117636861398519894412021212339952568497789792527565730617588920152126358424904295930974447110733264984619222031342003401130034678270334226693062736851235463268754944656532928040422350837876057198153003537052999525016447039350386417115725917425743574816594018459033991584377154321687247788168382859849483387582974655931993928350778276102055065485385374342482097230739580888619014869271820395566678772664777432/22185506630663382483698444387062752689091954895002132519256469796622089599381967081418366176864366489760366658008795325783448279560889541821631579348197268652948733659260920478134703845839280584627618232003780271676527036819422754110528117255567529054633469496404863977293650629970890263627916691402654839326814645413463028225798101670503847739819965107600846700331173048821865806090346783800523450244205811103105331444189372010547455957358659536215380504368287431050476810075846114034763278211686895515469729756952636369672074337466904165769490836196756517481957005223312083519385349258356068426635472158494621908175759017467498779296875,1.67521669571075618667973069649e-92,3.61159938602805644868321784366,-1.52576821232772504407005717053e-23
43,546287794321746461449373320749503990829068585887338412062835659580751400156162537551551327756283224566936420039110077490636037278930700093117872603747136845813593506047517567631364327119783027558655333295273398257304481613341828758381591107268308012787364072398086763062910492677996540402234927845235413422310777757971986494606183735254722503665070052601104954156251383320883921972906026488081049795004643441271298779584879580506654226158009377105995834055473455331320859147077108366156320333176624625893869760573151916369969683214648971943498861155900908482628618109788/5149561303111779804145617765393453757911003122861685504934227462019295410020123949454194084313860657461091270571456404251360703951472848367329293633727124558104402836489979224910619074818738520753907077596108361429947951766573416580160952383756494327299734571626680559636168636875971080248783566000580943865150101270778444909243561804794676062792512233135259270075646058919882797191836702730202005271563151248458977281319959202300636038774173219755934802394442903415628459492488754002981024001005826143021845423616656158692856639455274757153128484860496692161030941569641865100839400633247502738391564019727940082831314720093583524516134275472722947597503662109375,1.06084336541762376042116479395e-94,3.61159938602805644868322919356,-3.90777818683277543280168997098e-24
44,369369033191939441114889554821671343005431806595162738768861627706178686325087973155257523836469344236146136845165758561564282024564813335876360604461065694034144164794421811479573396110380930680465818959064303645165308195969671183005215530493896426019935530663760779628684695191567534741016615763315436852364536493985409825583635305589444111986940017929670768383417188603783714841415456932071526259399138656029301300159607099903142787326219555102781824009777043480870698481858273467409894742485919946345539531632779405684220153089448807019493525938514779110853646918711418765126528965350440973992/549830650511862850669100704012777939963248611529200525679545662943003163593718407512539107209764244499526015201595814462109903027014719317453917783016780225378292625630800296617362809898972671073462173304588204908211837354605884827902894316977063008963170056545622551851484907046342713704846204802863793585030660777748766122358538879241832544470935498909375929419073240252325299790558699987216406056274258502107029009856964990138264868118882478004054826278652065704253127643654947860234245271881821265601793747234684112489916156133298042245146593958611598605789012839190059305516770645482179342956481557517887783943381659104605157777855883906985221567713684041933674961910583078861236572265625,6.71786909020216822801016222928e-97,3.61159938602805644868323210105,-1.00028396071155963360233532177e-24
45,12708840968934417363771845767404820856033080205330573976870699018719845010438523193140409970341845058971298911638648124662772174964097362989696121831197057858121745218100465563838135390658691323100711152391372740870140746453084996211182363344245861411869718872096948758603544364174939289433534302357626476866783170294845677027853274826508418248742944560784671322980829897735734275841535605834509117119970151244165356716316112321678972422224183031741731632255431340268462406438537534930851052146106223253670273934206776132638071517051379194920100146468913844922965990222958869554102264797957048168866217160279987282080218480824/2987405228069786855263767670314130143723194722228472530403950489140353726923733703331296764646211934447765063594757357175010695781113079211658825456688083426027854730052070304725278471488823802589810587733582877140825051568177366141149733930971829950282224363729470914682035612111343529819168765465995106954130682886008160748999652068424500533503577435898116573855295725192065792755651792045396120511250459010103853239038144086752112242817217736327699245377652079203329677714641078738176008687435164784189798729817000190900219647137737493593008780516896307108523858938197332223696770451876487009751323889790732903938836780079999964438305111065610927443319661768225749547188166539304640739953100592174450866878032684326171875,4.25414029858474033924491448751e-99,3.61159938602805644868323284543,-2.55905843678731360000363765614e-25
46,9688062622178026880396262337403075883658095575863290201169113485786170680140096863820023255597054355532893452330142637586985637506717989760669128629397922983464105287015526817324554085813255126594898314824119508086547608694659622802998592802872205931960499004904682400873059874506241531738389024551946620915221900716272668663777734745587413240677127559350206707659126870602239930885557031907700033342086462323542741838497614744975584216652258358106825567185964978100611323333924607050136661425979197650439234239093055541033277787885361106837624925100332442283638306952944963464204439848215686517462489202401840093311686783045577573484880758869938472176/359620844759397788066445457357995011803181738001423143358237071337544066865436976396591636734777757175826560914103317380694913997031594764143335164404336020105831021728880229224943145409401929681355846304072103343974504586844605296767198840770191961671940832231727499642081352259129793263822991691695364565134296285062481848932869885779907399113171758742832302038290885680439903889589051820483893016751622737081401514534619154128705395489066664654398607934129478948867114262677410442128246332245541379054012474600444381757179246345158135330747579415572559457329030006219550772937891767650643404869401385400710879164687751883869656336354584628246982137940468606989665660946019822200627749822259059540268828613456147528726347673000418581068515777587890625,2.69396581520733822326648851012e-101,3.6115993860280564486832330359,-6.54351742948932037608960181759e-26
47,1489010312685250766292113818661879314559386451218137990419981415742321010816590534881048901010845907555088043711614437129721018233246580489467982906075722538272233869883046294895443459987401794802493435728112771530935083336596171197293743969265113768232915182660670768764023062422422257847872795324125620102277168602028649578438640559311740777886601056022908074051104924416297836088617839180536847180626953422927780931468568226099693791934265894146648532713699868085288388292070960555208607797781402940987889891094505112361381177441134719184484594699922221113454798279835318209268765188814307622198905326915128470266817616732135783360102462498718983404013816550241011792539075346/8728213343992851129099084043277370244973732187392082064537428717002839965028662829904061368727457146806021667682390218006634263957463841813647538837654417286149382862870773690842968818972047664078074876564816210275768704070786490728182221370580290333929718487008154099813220784734368211854354493027017796473373992126082656391892934946716938856105150181330148992017521587712953545468977999340193260694872536805529544639514265863761695499829649901963967869528714130546271515770494834888291069511060821297693632846616002159036713805996089136095711309287461846796948402135043086953678935744470194903535781250431440946023065580221444501994576424385332932025065406061713303915610335528673235882154047132519353607197659669870858848148189260713088945985926869752802303992211818695068359375,1.70597378180501810717971488074e-103,3.61159938602805644868323308461,-1.67234719175258919759029600823e-26
48,72401666294671148252024410577027131628101411227657165235010811427773021965891367203605328116406107678343026976453144314632731023587690187081241241140606581853053280582455413674655185732980056447610973624539501959299591193681750207767156654602698738171600960206697850893701821338463325046984455815511883301631179097716454492158812764637604353122047014487532035360545346739472134474238804916736144683615688615012735771830690487261926509647618957983127224863798804152619548922092330938985820930188424602747674259287628920563706345059445703843089354623490857117474946899283620639634197490658908691658285558890592299923665208591747733042700086597541184772975947187665720086761843854677436382993963407565843422890868/67018690385923962336575859820604840930538932269224007557026825500583765580863984058173025581925998991493499202430404196171809113685204601244611772309808806245162433373784093753591959995389823317195545253829133129565109361744585606275257280970275529862660604552303177581445922468959432661989486434381240832045069551466378281401457902765653178157019793624605669295587226690435517620226680157043817030220482099059041836045004488358039222108813291678552494938058012250575953388544705988268703093619774483778783926635768401256444682290663529075543569102930968094723948650184623828269196554153174585714445765254085900974975695596445234357349994178239041140883765926529379929005355665973581716288411527582480878046614730295395759929437069676170128701668554777185387503205990984799773897417907164708594791591167449951171875,1.08032051772049816938869950008e-105,3.61159938602805644868323309707,-4.27203756533212076333067544277e-27
49,11781156878057740767330277483497005518955461641847927172489658402147048771305278605405324459069838212735402113318290534229099652985978575616506650929135670084803766576077638528075290057099933508888898049103033408308951461345660599960100647119156661151276640236751435930854436359507215963840327470180820472515765355152967823167181815338517921934059907384182153713296043134027182048720984550373198826949038939517000400731543942949380046216516719882043030597163429366792251154181441123692022632887461599132469618939565539701670272111268636631157589932731971386296278238848395271433260185023760822033223845913579044925212971645131959233130081266660861499834293707258672142622926428617893985884548931114399739848447095998639378556599358662796/1722086819477561716342096089268600533422819156867224200304723508169567298671123875410300130027335315681046486289437595491806233147494666918539959872263329632505845756505481993221148487627026803052256656698671853783297523890957832559346493492743707686930308752726748049116805319440870157806596129056604383175966011821900268994395502938540158857112764658424008788403191953659340450514361027395269236981469310242435789372663809439878903848499439519518731699865652713760145981053950554678482688821101273804559627422062536264087449015423655422497398142553500694665845741352398939597809220780388755004337931681286714621634227076550090051956892757958247226455441728326074061846817971808151832938669660228997655384013304492299651037623354370712468467575353904590930737322719602713223480921366120638663298028259477792101250770429032854735851287841796875,6.84120959803400072934251918195e-108,3.61159938602805644868323310025,-1.09080178782069213415743370769e-27
50,702581527736305515781053065785286232779310080215549159062284328828622355527955156458064862770010851291433325626151310642491335617667414620939602219183147502370885248814922105791372251780733042731882899609114057868285543961071114319849485148834054879484892367135280294944993005494383987155404326842031057856074570773232872395424497220030944295937112676670559678705605506888731591772547978221132895696646596707446032094212969602493909860011672647116450332291524848413204974054894853173161646976639675314751768034249498000054637608042095750622318894945908838209834476083886359712387619341862444324917423397185170863517718170294496435860593167708976534400389194898138196847923837427309496640541786438998088015263786381977194704575240638033606911545841449259774214468514792/16217487013438206432944704331628243723139237965065194162311270427285049922517468738715757904151732022720011816677537478324493552022637212020564617016422488358159244282486288404853415209486185405204920889043939847074499831078866320021112156971324707613091820449334279230798122177691751000086558015403410426081615637495539308055428360375249916963114972067612583199704224136980536586461169632269775591118257420948122035036053692363833723730147314327702069072790351228053552458233180573881611287887776674798588591464208609433904747717012477536621894066189939012101724049433056044453242457225703249613243041441623819398203306580200105280976550119752252313563736388954033746007577529454644756383820419456921203660840378865149457845527361079555958924721515354853891431187216770573097201254711006838984603390670626187799859254044507444810663430072306123719272363814525306224822998046875,4.33224658761329222063428319156e-110,3.61159938602805644868323310106,-2.7839854607708851930667334643e-28
