M,N_plus(M)=2M-s_2(M),N_plus-2M
1717,3427,-7
1718,3429,-7
1719,3430,-8
1720,3434,-6
1721,3435,-7
1722,3437,-7
1723,3438,-8
1724,3441,-7
1725,3442,-8
1726,3444,-8
1727,3445,-9
1728,3452,-4
1729,3453,-5
1730,3455,-5
1731,3456,-6
1732,3459,-5
1733,3460,-6
1734,3462,-6
1735,3463,-7
1736,3467,-5
1737,3468,-6
1738,3470,-6
1739,3471,-7
1740,3474,-6
1741,3475,-7
1742,3477,-7
1743,3478,-8
1744,3483,-5
1745,3484,-6
1746,3486,-6
1747,3487,-7
1748,3490,-6
1749,3491,-7
1750,3493,-7
1751,3494,-8
1752,3498,-6
1753,3499,-7
1754,3501,-7
1755,3502,-8
1756,3505,-7
1757,3506,-8
1758,3508,-8
1759,3509,-9
1760,3515,-5
1761,3516,-6
1762,3518,-6
1763,3519,-7
1764,3522,-6
1765,3523,-7
1766,3525,-7
1767,3526,-8
1768,3530,-6
1769,3531,-7
1770,3533,-7
1771,3534,-8
1772,3537,-7
1773,3538,-8
1774,3540,-8
1775,3541,-9
1776,3546,-6
1777,3547,-7
1778,3549,-7
1779,3550,-8
1780,3553,-7
1781,3554,-8
1782,3556,-8
1783,3557,-9
1784,3561,-7
1785,3562,-8
1786,3564,-8
1787,3565,-9
1788,3568,-8
1789,3569,-9
1790,3571,-9
1791,3572,-10
1792,3581,-3
1793,3582,-4
1794,3584,-4
1795,3585,-5
1796,3588,-4
1797,3589,-5
1798,3591,-5
1799,3592,-6
1800,3596,-4
1801,3597,-5
1802,3599,-5
1803,3600,-6
1804,3603,-5
1805,3604,-6
1806,3606,-6
1807,3607,-7
1808,3612,-4
1809,3613,-5
1810,3615,-5
1811,3616,-6
1812,3619,-5
1813,3620,-6
1814,3622,-6
1815,3623,-7
1816,3627,-5
1817,3628,-6
1818,3630,-6
1819,3631,-7
1820,3634,-6
1821,3635,-7
1822,3637,-7
1823,3638,-8
1824,3644,-4
1825,3645,-5
1826,3647,-5
1827,3648,-6
1828,3651,-5
1829,3652,-6
1830,3654,-6
1831,3655,-7
1832,3659,-5
1833,3660,-6
1834,3662,-6
1835,3663,-7
1836,3666,-6
1837,3667,-7
1838,3669,-7
1839,3670,-8
1840,3675,-5
1841,3676,-6
1842,3678,-6
1843,3679,-7
1844,3682,-6
1845,3683,-7
1846,3685,-7
1847,3686,-8
1848,3690,-6
1849,3691,-7
1850,3693,-7
1851,3694,-8
1852,3697,-7
1853,3698,-8
1854,3700,-8
1855,3701,-9
1856,3708,-4
1857,3709,-5
1858,3711,-5
1859,3712,-6
1860,3715,-5
1861,3716,-6
1862,3718,-6
1863,3719,-7
1864,3723,-5
1865,3724,-6
1866,3726,-6
1867,3727,-7
1868,3730,-6
1869,3731,-7
1870,3733,-7
1871,3734,-8
1872,3739,-5
1873,3740,-6
1874,3742,-6
1875,3743,-7
1876,3746,-6
1877,3747,-7
1878,3749,-7
1879,3750,-8
1880,3754,-6
1881,3755,-7
1882,3757,-7
1883,3758,-8
1884,3761,-7
1885,3762,-8
1886,3764,-8
1887,3765,-9
1888,3771,-5
1889,3772,-6
1890,3774,-6
1891,3775,-7
1892,3778,-6
1893,3779,-7
1894,3781,-7
1895,3782,-8
1896,3786,-6
1897,3787,-7
1898,3789,-7
1899,3790,-8
1900,3793,-7
1901,3794,-8
1902,3796,-8
1903,3797,-9
1904,3802,-6
1905,3803,-7
1906,3805,-7
1907,3806,-8
1908,3809,-7
1909,3810,-8
1910,3812,-8
1911,3813,-9
1912,3817,-7
1913,3818,-8
1914,3820,-8
1915,3821,-9
1916,3824,-8
1917,3825,-9
1918,3827,-9
1919,3828,-10
1920,3836,-4
1921,3837,-5
1922,3839,-5
1923,3840,-6
1924,3843,-5
1925,3844,-6
1926,3846,-6
1927,3847,-7
1928,3851,-5
1929,3852,-6
1930,3854,-6
1931,3855,-7
1932,3858,-6
1933,3859,-7
1934,3861,-7
1935,3862,-8
1936,3867,-5
1937,3868,-6
1938,3870,-6
1939,3871,-7
1940,3874,-6
1941,3875,-7
1942,3877,-7
1943,3878,-8
1944,3882,-6
1945,3883,-7
1946,3885,-7
1947,3886,-8
1948,3889,-7
1949,3890,-8
1950,3892,-8
1951,3893,-9
1952,3899,-5
1953,3900,-6
1954,3902,-6
1955,3903,-7
1956,3906,-6
1957,3907,-7
1958,3909,-7
1959,3910,-8
1960,3914,-6
1961,3915,-7
1962,3917,-7
1963,3918,-8
1964,3921,-7
1965,3922,-8
1966,3924,-8
1967,3925,-9
1968,3930,-6
1969,3931,-7
1970,3933,-7
1971,3934,-8
1972,3937,-7
1973,3938,-8
1974,3940,-8
1975,3941,-9
1976,3945,-7
1977,3946,-8
1978,3948,-8
1979,3949,-9
1980,3952,-8
1981,3953,-9
1982,3955,-9
1983,3956,-10
1984,3963,-5
1985,3964,-6
1986,3966,-6
1987,3967,-7
1988,3970,-6
1989,3971,-7
1990,3973,-7
1991,3974,-8
1992,3978,-6
1993,3979,-7
1994,3981,-7
1995,3982,-8
1996,3985,-7
1997,3986,-8
1998,3988,-8
1999,3989,-9
2000,3994,-6
2001,3995,-7
2002,3997,-7
2003,3998,-8
2004,4001,-7
2005,4002,-8
2006,4004,-8
2007,4005,-9
2008,4009,-7
2009,4010,-8
2010,4012,-8
2011,4013,-9
2012,4016,-8
2013,4017,-9
2014,4019,-9
2015,4020,-10
2016,4026,-6
2017,4027,-7
2018,4029,-7
2019,4030,-8
2020,4033,-7
2021,4034,-8
2022,4036,-8
2023,4037,-9
2024,4041,-7
2025,4042,-8
2026,4044,-8
2027,4045,-9
2028,4048,-8
2029,4049,-9
2030,4051,-9
2031,4052,-10
2032,4057,-7
2033,4058,-8
2034,4060,-8
2035,4061,-9
2036,4064,-8
2037,4065,-9
2038,4067,-9
2039,4068,-10
2040,4072,-8
2041,4073,-9
2042,4075,-9
2043,4076,-10
2044,4079,-9
2045,4080,-10
2046,4082,-10
2047,4083,-11
2048,4095,-1
2049,4096,-2
2050,4098,-2
2051,4099,-3
2052,4102,-2
2053,4103,-3
2054,4105,-3
2055,4106,-4
2056,4110,-2
2057,4111,-3
2058,4113,-3
2059,4114,-4
2060,4117,-3
2061,4118,-4
2062,4120,-4
2063,4121,-5
2064,4126,-2
2065,4127,-3
2066,4129,-3
2067,4130,-4
2068,4133,-3
2069,4134,-4
2070,4136,-4
2071,4137,-5
2072,4141,-3
2073,4142,-4
2074,4144,-4
2075,4145,-5
2076,4148,-4
2077,4149,-5
2078,4151,-5
2079,4152,-6
2080,4158,-2
2081,4159,-3
2082,4161,-3
2083,4162,-4
2084,4165,-3
2085,4166,-4
2086,4168,-4
2087,4169,-5
2088,4173,-3
2089,4174,-4
2090,4176,-4
2091,4177,-5
2092,4180,-4
2093,4181,-5
2094,4183,-5
2095,4184,-6
2096,4189,-3
2097,4190,-4
2098,4192,-4
2099,4193,-5
2100,4196,-4
2101,4197,-5
2102,4199,-5
2103,4200,-6
2104,4204,-4
2105,4205,-5
2106,4207,-5
2107,4208,-6
2108,4211,-5
2109,4212,-6
2110,4214,-6
2111,4215,-7
2112,4222,-2
2113,4223,-3
2114,4225,-3
2115,4226,-4
2116,4229,-3
2117,4230,-4
2118,4232,-4
2119,4233,-5
2120,4237,-3
2121,4238,-4
2122,4240,-4
2123,4241,-5
2124,4244,-4
2125,4245,-5
2126,4247,-5
2127,4248,-6
2128,4253,-3
2129,4254,-4
2130,4256,-4
2131,4257,-5
2132,4260,-4
2133,4261,-5
2134,4263,-5
2135,4264,-6
2136,4268,-4
2137,4269,-5
2138,4271,-5
2139,4272,-6
2140,4275,-5
2141,4276,-6
2142,4278,-6
2143,4279,-7
2144,4285,-3
2145,4286,-4
2146,4288,-4
2147,4289,-5
2148,4292,-4
2149,4293,-5
2150,4295,-5
2151,4296,-6
2152,4300,-4
2153,4301,-5
2154,4303,-5
2155,4304,-6
2156,4307,-5
2157,4308,-6
2158,4310,-6
2159,4311,-7
2160,4316,-4
2161,4317,-5
2162,4319,-5
2163,4320,-6
2164,4323,-5
2165,4324,-6
2166,4326,-6
2167,4327,-7
2168,4331,-5
2169,4332,-6
2170,4334,-6
2171,4335,-7
2172,4338,-6
2173,4339,-7
2174,4341,-7
2175,4342,-8
2176,4350,-2
2177,4351,-3
2178,4353,-3
2179,4354,-4
2180,4357,-3
2181,4358,-4
2182,4360,-4
2183,4361,-5
2184,4365,-3
2185,4366,-4
2186,4368,-4
2187,4369,-5
2188,4372,-4
2189,4373,-5
2190,4375,-5
2191,4376,-6
2192,4381,-3
2193,4382,-4
2194,4384,-4
2195,4385,-5
2196,4388,-4
2197,4389,-5
2198,4391,-5
2199,4392,-6
2200,4396,-4
2201,4397,-5
2202,4399,-5
2203,4400,-6
2204,4403,-5
2205,4404,-6
2206,4406,-6
2207,4407,-7
2208,4413,-3
2209,4414,-4
2210,4416,-4
2211,4417,-5
2212,4420,-4
2213,4421,-5
2214,4423,-5
2215,4424,-6
2216,4428,-4
2217,4429,-5
2218,4431,-5
2219,4432,-6
2220,4435,-5
2221,4436,-6
2222,4438,-6
2223,4439,-7
2224,4444,-4
2225,4445,-5
2226,4447,-5
2227,4448,-6
2228,4451,-5
2229,4452,-6
2230,4454,-6
2231,4455,-7
2232,4459,-5
2233,4460,-6
2234,4462,-6
2235,4463,-7
2236,4466,-6
2237,4467,-7
2238,4469,-7
2239,4470,-8
2240,4477,-3
2241,4478,-4
2242,4480,-4
2243,4481,-5
2244,4484,-4
2245,4485,-5
2246,4487,-5
2247,4488,-6
2248,4492,-4
2249,4493,-5
2250,4495,-5
2251,4496,-6
2252,4499,-5
2253,4500,-6
2254,4502,-6
2255,4503,-7
2256,4508,-4
2257,4509,-5
2258,4511,-5
2259,4512,-6
2260,4515,-5
2261,4516,-6
2262,4518,-6
2263,4519,-7
2264,4523,-5
2265,4524,-6
2266,4526,-6
2267,4527,-7
2268,4530,-6
2269,4531,-7
2270,4533,-7
2271,4534,-8
2272,4540,-4
2273,4541,-5
2274,4543,-5
2275,4544,-6
2276,4547,-5
2277,4548,-6
2278,4550,-6
2279,4551,-7
2280,4555,-5
2281,4556,-6
2282,4558,-6
2283,4559,-7
2284,4562,-6
2285,4563,-7
2286,4565,-7
2287,4566,-8
2288,4571,-5
2289,4572,-6
2290,4574,-6
2291,4575,-7
2292,4578,-6
2293,4579,-7
2294,4581,-7
2295,4582,-8
2296,4586,-6
2297,4587,-7
2298,4589,-7
2299,4590,-8
2300,4593,-7
2301,4594,-8
2302,4596,-8
2303,4597,-9
2304,4606,-2
2305,4607,-3
2306,4609,-3
2307,4610,-4
2308,4613,-3
2309,4614,-4
2310,4616,-4
2311,4617,-5
2312,4621,-3
2313,4622,-4
2314,4624,-4
2315,4625,-5
2316,4628,-4
2317,4629,-5
2318,4631,-5
2319,4632,-6
2320,4637,-3
2321,4638,-4
2322,4640,-4
2323,4641,-5
2324,4644,-4
2325,4645,-5
2326,4647,-5
2327,4648,-6
2328,4652,-4
2329,4653,-5
2330,4655,-5
2331,4656,-6
2332,4659,-5
2333,4660,-6
2334,4662,-6
2335,4663,-7
2336,4669,-3
2337,4670,-4
2338,4672,-4
2339,4673,-5
2340,4676,-4
2341,4677,-5
2342,4679,-5
2343,4680,-6
2344,4684,-4
2345,4685,-5
2346,4687,-5
2347,4688,-6
2348,4691,-5
2349,4692,-6
2350,4694,-6
2351,4695,-7
2352,4700,-4
2353,4701,-5
2354,4703,-5
2355,4704,-6
2356,4707,-5
2357,4708,-6
2358,4710,-6
2359,4711,-7
2360,4715,-5
2361,4716,-6
2362,4718,-6
2363,4719,-7
2364,4722,-6
2365,4723,-7
2366,4725,-7
2367,4726,-8
2368,4733,-3
2369,4734,-4
2370,4736,-4
2371,4737,-5
2372,4740,-4
2373,4741,-5
2374,4743,-5
2375,4744,-6
2376,4748,-4
2377,4749,-5
2378,4751,-5
2379,4752,-6
2380,4755,-5
2381,4756,-6
2382,4758,-6
2383,4759,-7
2384,4764,-4
2385,4765,-5
2386,4767,-5
2387,4768,-6
2388,4771,-5
2389,4772,-6
2390,4774,-6
2391,4775,-7
2392,4779,-5
2393,4780,-6
2394,4782,-6
2395,4783,-7
2396,4786,-6
2397,4787,-7
2398,4789,-7
2399,4790,-8
2400,4796,-4
2401,4797,-5
2402,4799,-5
2403,4800,-6
2404,4803,-5
2405,4804,-6
2406,4806,-6
2407,4807,-7
2408,4811,-5
2409,4812,-6
2410,4814,-6
2411,4815,-7
2412,4818,-6
2413,4819,-7
2414,4821,-7
2415,4822,-8
2416,4827,-5
2417,4828,-6
2418,4830,-6
2419,4831,-7
2420,4834,-6
2421,4835,-7
2422,4837,-7
2423,4838,-8
2424,4842,-6
2425,4843,-7
2426,4845,-7
2427,4846,-8
2428,4849,-7
2429,4850,-8
2430,4852,-8
2431,4853,-9
2432,4861,-3
2433,4862,-4
2434,4864,-4
2435,4865,-5
2436,4868,-4
2437,4869,-5
2438,4871,-5
2439,4872,-6
2440,4876,-4
2441,4877,-5
2442,4879,-5
2443,4880,-6
2444,4883,-5
2445,4884,-6
2446,4886,-6
2447,4887,-7
2448,4892,-4
2449,4893,-5
2450,4895,-5
2451,4896,-6
2452,4899,-5
2453,4900,-6
2454,4902,-6
2455,4903,-7
2456,4907,-5
2457,4908,-6
2458,4910,-6
2459,4911,-7
2460,4914,-6
2461,4915,-7
2462,4917,-7
2463,4918,-8
2464,4924,-4
2465,4925,-5
2466,4927,-5
2467,4928,-6
2468,4931,-5
2469,4932,-6
2470,4934,-6
2471,4935,-7
2472,4939,-5
2473,4940,-6
2474,4942,-6
2475,4943,-7
2476,4946,-6
2477,4947,-7
2478,4949,-7
2479,4950,-8
2480,4955,-5
2481,4956,-6
2482,4958,-6
2483,4959,-7
2484,4962,-6
2485,4963,-7
2486,4965,-7
2487,4966,-8
2488,4970,-6
2489,4971,-7
2490,4973,-7
2491,4974,-8
2492,4977,-7
2493,4978,-8
2494,4980,-8
2495,4981,-9
2496,4988,-4
2497,4989,-5
2498,4991,-5
2499,4992,-6
2500,4995,-5
2501,4996,-6
2502,4998,-6
2503,4999,-7
2504,5003,-5
2505,5004,-6
2506,5006,-6
2507,5007,-7
2508,5010,-6
2509,5011,-7
2510,5013,-7
2511,5014,-8
2512,5019,-5
2513,5020,-6
2514,5022,-6
2515,5023,-7
2516,5026,-6
2517,5027,-7
2518,5029,-7
2519,5030,-8
2520,5034,-6
2521,5035,-7
2522,5037,-7
2523,5038,-8
2524,5041,-7
2525,5042,-8
2526,5044,-8
2527,5045,-9
2528,5051,-5
2529,5052,-6
2530,5054,-6
2531,5055,-7
2532,5058,-6
2533,5059,-7
2534,5061,-7
2535,5062,-8
2536,5066,-6
2537,5067,-7
2538,5069,-7
2539,5070,-8
2540,5073,-7
2541,5074,-8
2542,5076,-8
2543,5077,-9
2544,5082,-6
2545,5083,-7
2546,5085,-7
2547,5086,-8
2548,5089,-7
2549,5090,-8
2550,5092,-8
2551,5093,-9
2552,5097,-7
2553,5098,-8
2554,5100,-8
2555,5101,-9
2556,5104,-8
2557,5105,-9
2558,5107,-9
2559,5108,-10
2560,5118,-2
2561,5119,-3
2562,5121,-3
2563,5122,-4
2564,5125,-3
2565,5126,-4
2566,5128,-4
2567,5129,-5
2568,5133,-3
2569,5134,-4
2570,5136,-4
2571,5137,-5
2572,5140,-4
2573,5141,-5
2574,5143,-5
2575,5144,-6
2576,5149,-3
2577,5150,-4
2578,5152,-4
2579,5153,-5
2580,5156,-4
2581,5157,-5
2582,5159,-5
2583,5160,-6
2584,5164,-4
2585,5165,-5
2586,5167,-5
2587,5168,-6
2588,5171,-5
2589,5172,-6
2590,5174,-6
2591,5175,-7
2592,5181,-3
2593,5182,-4
2594,5184,-4
2595,5185,-5
2596,5188,-4
2597,5189,-5
2598,5191,-5
2599,5192,-6
2600,5196,-4
2601,5197,-5
2602,5199,-5
2603,5200,-6
2604,5203,-5
2605,5204,-6
2606,5206,-6
2607,5207,-7
2608,5212,-4
2609,5213,-5
2610,5215,-5
2611,5216,-6
2612,5219,-5
2613,5220,-6
2614,5222,-6
2615,5223,-7
2616,5227,-5
2617,5228,-6
2618,5230,-6
2619,5231,-7
2620,5234,-6
2621,5235,-7
2622,5237,-7
2623,5238,-8
2624,5245,-3
2625,5246,-4
2626,5248,-4
2627,5249,-5
2628,5252,-4
2629,5253,-5
2630,5255,-5
2631,5256,-6
2632,5260,-4
2633,5261,-5
2634,5263,-5
2635,5264,-6
2636,5267,-5
2637,5268,-6
2638,5270,-6
2639,5271,-7
2640,5276,-4
2641,5277,-5
2642,5279,-5
2643,5280,-6
2644,5283,-5
2645,5284,-6
2646,5286,-6
2647,5287,-7
2648,5291,-5
2649,5292,-6
2650,5294,-6
2651,5295,-7
2652,5298,-6
2653,5299,-7
2654,5301,-7
2655,5302,-8
2656,5308,-4
2657,5309,-5
2658,5311,-5
2659,5312,-6
2660,5315,-5
2661,5316,-6
2662,5318,-6
2663,5319,-7
2664,5323,-5
2665,5324,-6
2666,5326,-6
2667,5327,-7
2668,5330,-6
2669,5331,-7
2670,5333,-7
2671,5334,-8
2672,5339,-5
2673,5340,-6
2674,5342,-6
2675,5343,-7
2676,5346,-6
2677,5347,-7
2678,5349,-7
2679,5350,-8
2680,5354,-6
2681,5355,-7
2682,5357,-7
2683,5358,-8
2684,5361,-7
2685,5362,-8
2686,5364,-8
2687,5365,-9
2688,5373,-3
2689,5374,-4
2690,5376,-4
2691,5377,-5
2692,5380,-4
2693,5381,-5
2694,5383,-5
2695,5384,-6
2696,5388,-4
2697,5389,-5
2698,5391,-5
2699,5392,-6
2700,5395,-5
2701,5396,-6
2702,5398,-6
2703,5399,-7
2704,5404,-4
2705,5405,-5
2706,5407,-5
2707,5408,-6
2708,5411,-5
2709,5412,-6
2710,5414,-6
2711,5415,-7
2712,5419,-5
2713,5420,-6
2714,5422,-6
2715,5423,-7
2716,5426,-6
2717,5427,-7
2718,5429,-7
2719,5430,-8
2720,5436,-4
2721,5437,-5
2722,5439,-5
2723,5440,-6
2724,5443,-5
2725,5444,-6
2726,5446,-6
2727,5447,-7
2728,5451,-5
2729,5452,-6
2730,5454,-6
2731,5455,-7
2732,5458,-6
2733,5459,-7
2734,5461,-7
2735,5462,-8
2736,5467,-5
2737,5468,-6
2738,5470,-6
2739,5471,-7
2740,5474,-6
2741,5475,-7
2742,5477,-7
2743,5478,-8
2744,5482,-6
2745,5483,-7
2746,5485,-7
2747,5486,-8
2748,5489,-7
2749,5490,-8
2750,5492,-8
2751,5493,-9
2752,5500,-4
2753,5501,-5
2754,5503,-5
2755,5504,-6
2756,5507,-5
2757,5508,-6
2758,5510,-6
2759,5511,-7
2760,5515,-5
2761,5516,-6
2762,5518,-6
2763,5519,-7
2764,5522,-6
2765,5523,-7
2766,5525,-7
2767,5526,-8
2768,5531,-5
2769,5532,-6
2770,5534,-6
2771,5535,-7
2772,5538,-6
2773,5539,-7
2774,5541,-7
2775,5542,-8
2776,5546,-6
2777,5547,-7
2778,5549,-7
2779,5550,-8
2780,5553,-7
2781,5554,-8
2782,5556,-8
2783,5557,-9
2784,5563,-5
2785,5564,-6
2786,5566,-6
2787,5567,-7
2788,5570,-6
2789,5571,-7
2790,5573,-7
2791,5574,-8
2792,5578,-6
2793,5579,-7
2794,5581,-7
2795,5582,-8
2796,5585,-7
2797,5586,-8
2798,5588,-8
2799,5589,-9
2800,5594,-6
2801,5595,-7
2802,5597,-7
2803,5598,-8
2804,5601,-7
2805,5602,-8
2806,5604,-8
2807,5605,-9
2808,5609,-7
2809,5610,-8
2810,5612,-8
2811,5613,-9
2812,5616,-8
2813,5617,-9
2814,5619,-9
2815,5620,-10
2816,5629,-3
2817,5630,-4
2818,5632,-4
2819,5633,-5
2820,5636,-4
2821,5637,-5
2822,5639,-5
2823,5640,-6
2824,5644,-4
2825,5645,-5
2826,5647,-5
2827,5648,-6
2828,5651,-5
2829,5652,-6
2830,5654,-6
2831,5655,-7
2832,5660,-4
2833,5661,-5
2834,5663,-5
2835,5664,-6
2836,5667,-5
2837,5668,-6
2838,5670,-6
2839,5671,-7
2840,5675,-5
2841,5676,-6
2842,5678,-6
2843,5679,-7
2844,5682,-6
2845,5683,-7
2846,5685,-7
2847,5686,-8
2848,5692,-4
2849,5693,-5
2850,5695,-5
2851,5696,-6
2852,5699,-5
2853,5700,-6
2854,5702,-6
2855,5703,-7
2856,5707,-5
2857,5708,-6
2858,5710,-6
2859,5711,-7
2860,5714,-6
2861,5715,-7
2862,5717,-7
2863,5718,-8
2864,5723,-5
2865,5724,-6
2866,5726,-6
2867,5727,-7
2868,5730,-6
2869,5731,-7
2870,5733,-7
2871,5734,-8
2872,5738,-6
2873,5739,-7
2874,5741,-7
2875,5742,-8
2876,5745,-7
2877,5746,-8
2878,5748,-8
2879,5749,-9
2880,5756,-4
2881,5757,-5
2882,5759,-5
2883,5760,-6
2884,5763,-5
2885,5764,-6
2886,5766,-6
2887,5767,-7
2888,5771,-5
2889,5772,-6
2890,5774,-6
2891,5775,-7
2892,5778,-6
2893,5779,-7
2894,5781,-7
2895,5782,-8
2896,5787,-5
2897,5788,-6
2898,5790,-6
2899,5791,-7
2900,5794,-6
2901,5795,-7
2902,5797,-7
2903,5798,-8
2904,5802,-6
2905,5803,-7
2906,5805,-7
2907,5806,-8
2908,5809,-7
2909,5810,-8
2910,5812,-8
2911,5813,-9
2912,5819,-5
2913,5820,-6
2914,5822,-6
2915,5823,-7
2916,5826,-6
2917,5827,-7
2918,5829,-7
2919,5830,-8
2920,5834,-6
2921,5835,-7
2922,5837,-7
2923,5838,-8
2924,5841,-7
2925,5842,-8
2926,5844,-8
2927,5845,-9
2928,5850,-6
2929,5851,-7
2930,5853,-7
2931,5854,-8
2932,5857,-7
2933,5858,-8
2934,5860,-8
2935,5861,-9
2936,5865,-7
2937,5866,-8
2938,5868,-8
2939,5869,-9
2940,5872,-8
2941,5873,-9
2942,5875,-9
2943,5876,-10
2944,5884,-4
2945,5885,-5
2946,5887,-5
2947,5888,-6
2948,5891,-5
2949,5892,-6
2950,5894,-6
2951,5895,-7
2952,5899,-5
2953,5900,-6
2954,5902,-6
2955,5903,-7
2956,5906,-6
2957,5907,-7
2958,5909,-7
2959,5910,-8
2960,5915,-5
2961,5916,-6
2962,5918,-6
2963,5919,-7
2964,5922,-6
2965,5923,-7
2966,5925,-7
2967,5926,-8
2968,5930,-6
2969,5931,-7
2970,5933,-7
2971,5934,-8
2972,5937,-7
2973,5938,-8
2974,5940,-8
2975,5941,-9
2976,5947,-5
2977,5948,-6
2978,5950,-6
2979,5951,-7
2980,5954,-6
2981,5955,-7
2982,5957,-7
2983,5958,-8
2984,5962,-6
2985,5963,-7
2986,5965,-7
2987,5966,-8
2988,5969,-7
2989,5970,-8
2990,5972,-8
2991,5973,-9
2992,5978,-6
2993,5979,-7
2994,5981,-7
2995,5982,-8
2996,5985,-7
2997,5986,-8
2998,5988,-8
2999,5989,-9
3000,5993,-7
3001,5994,-8
3002,5996,-8
3003,5997,-9
3004,6000,-8
3005,6001,-9
3006,6003,-9
3007,6004,-10
3008,6011,-5
3009,6012,-6
3010,6014,-6
3011,6015,-7
3012,6018,-6
3013,6019,-7
3014,6021,-7
3015,6022,-8
3016,6026,-6
3017,6027,-7
3018,6029,-7
3019,6030,-8
3020,6033,-7
3021,6034,-8
3022,6036,-8
3023,6037,-9
3024,6042,-6
3025,6043,-7
3026,6045,-7
3027,6046,-8
3028,6049,-7
3029,6050,-8
3030,6052,-8
3031,6053,-9
3032,6057,-7
3033,6058,-8
3034,6060,-8
3035,6061,-9
3036,6064,-8
3037,6065,-9
3038,6067,-9
3039,6068,-10
3040,6074,-6
3041,6075,-7
3042,6077,-7
3043,6078,-8
3044,6081,-7
3045,6082,-8
3046,6084,-8
3047,6085,-9
3048,6089,-7
3049,6090,-8
3050,6092,-8
3051,6093,-9
3052,6096,-8
3053,6097,-9
3054,6099,-9
3055,6100,-10
3056,6105,-7
3057,6106,-8
3058,6108,-8
3059,6109,-9
3060,6112,-8
3061,6113,-9
3062,6115,-9
3063,6116,-10
3064,6120,-8
3065,6121,-9
3066,6123,-9
3067,6124,-10
3068,6127,-9
3069,6128,-10
3070,6130,-10
3071,6131,-11
3072,6142,-2
3073,6143,-3
3074,6145,-3
3075,6146,-4
3076,6149,-3
3077,6150,-4
3078,6152,-4
3079,6153,-5
3080,6157,-3
3081,6158,-4
3082,6160,-4
3083,6161,-5
3084,6164,-4
3085,6165,-5
3086,6167,-5
3087,6168,-6
3088,6173,-3
3089,6174,-4
3090,6176,-4
3091,6177,-5
3092,6180,-4
3093,6181,-5
3094,6183,-5
3095,6184,-6
3096,6188,-4
3097,6189,-5
3098,6191,-5
3099,6192,-6
3100,6195,-5
3101,6196,-6
3102,6198,-6
3103,6199,-7
3104,6205,-3
3105,6206,-4
3106,6208,-4
3107,6209,-5
3108,6212,-4
3109,6213,-5
3110,6215,-5
3111,6216,-6
3112,6220,-4
3113,6221,-5
3114,6223,-5
3115,6224,-6
3116,6227,-5
3117,6228,-6
3118,6230,-6
3119,6231,-7
3120,6236,-4
3121,6237,-5
3122,6239,-5
3123,6240,-6
3124,6243,-5
3125,6244,-6
3126,6246,-6
3127,6247,-7
3128,6251,-5
3129,6252,-6
3130,6254,-6
3131,6255,-7
3132,6258,-6
3133,6259,-7
3134,6261,-7
3135,6262,-8
3136,6269,-3
3137,6270,-4
3138,6272,-4
3139,6273,-5
3140,6276,-4
3141,6277,-5
3142,6279,-5
3143,6280,-6
3144,6284,-4
3145,6285,-5
3146,6287,-5
3147,6288,-6
3148,6291,-5
3149,6292,-6
3150,6294,-6
3151,6295,-7
3152,6300,-4
3153,6301,-5
3154,6303,-5
3155,6304,-6
3156,6307,-5
3157,6308,-6
3158,6310,-6
3159,6311,-7
3160,6315,-5
3161,6316,-6
3162,6318,-6
3163,6319,-7
3164,6322,-6
3165,6323,-7
3166,6325,-7
3167,6326,-8
3168,6332,-4
3169,6333,-5
3170,6335,-5
3171,6336,-6
3172,6339,-5
3173,6340,-6
3174,6342,-6
3175,6343,-7
3176,6347,-5
3177,6348,-6
3178,6350,-6
3179,6351,-7
3180,6354,-6
3181,6355,-7
3182,6357,-7
3183,6358,-8
3184,6363,-5
3185,6364,-6
3186,6366,-6
3187,6367,-7
3188,6370,-6
3189,6371,-7
3190,6373,-7
3191,6374,-8
3192,6378,-6
3193,6379,-7
3194,6381,-7
3195,6382,-8
3196,6385,-7
3197,6386,-8
3198,6388,-8
3199,6389,-9
3200,6397,-3
3201,6398,-4
3202,6400,-4
3203,6401,-5
3204,6404,-4
3205,6405,-5
3206,6407,-5
3207,6408,-6
3208,6412,-4
3209,6413,-5
3210,6415,-5
3211,6416,-6
3212,6419,-5
3213,6420,-6
3214,6422,-6
3215,6423,-7
3216,6428,-4
3217,6429,-5
3218,6431,-5
3219,6432,-6
3220,6435,-5
3221,6436,-6
3222,6438,-6
3223,6439,-7
3224,6443,-5
3225,6444,-6
3226,6446,-6
3227,6447,-7
3228,6450,-6
3229,6451,-7
3230,6453,-7
3231,6454,-8
3232,6460,-4
3233,6461,-5
3234,6463,-5
3235,6464,-6
3236,6467,-5
3237,6468,-6
3238,6470,-6
3239,6471,-7
3240,6475,-5
3241,6476,-6
3242,6478,-6
3243,6479,-7
3244,6482,-6
3245,6483,-7
3246,6485,-7
3247,6486,-8
3248,6491,-5
3249,6492,-6
3250,6494,-6
3251,6495,-7
3252,6498,-6
3253,6499,-7
3254,6501,-7
3255,6502,-8
3256,6506,-6
3257,6507,-7
3258,6509,-7
3259,6510,-8
3260,6513,-7
3261,6514,-8
3262,6516,-8
3263,6517,-9
3264,6524,-4
3265,6525,-5
3266,6527,-5
3267,6528,-6
3268,6531,-5
