n,newton_coefficient_exact,log2_abs_coefficient,log2_abs_coefficient_over_n_squared,endpoint_extrapolant_exact,log10_abs_endpoint_extrapolant,P_n(1/3)_exact,log10_1_plus_abs_P_n(1/3)
17,-3889231148635565387997615770043301092320389432842458870102452139241480476032976625278069506048/308065898912121923739244786837352753870677677811704307564452297258507568359375,53.4870955058604884,0.185076455037579545,510863736618709265235402805727847684849406378/4700784297125534809479587805559666649434312623967411422361368692431640625,-27.9638652477391879,-598225694402481698851588769264421272848427645765007712911480209695966780743120769513/59549443263470043877816896443175697637694986994320428597591790142340194890625,7.00198740016251612
18,-10473300871600554837413331623354451770364603368204367956912622389034833322974304382797141662181450106531741696/8446816377541718375543899145957026811121041714742352024180857298796441665667008519775390625,60.1049423220674449,0.185509081240948904,704780085233631685381456651231143647555673314877725380435192/8446816377541718375543899145957026811121041714742352024180857298796441665667008519775390625,-31.0786394294615377,-2188178232209570622944972260661449396315429506890897821935458853539131244893785768271104012947/6346019635179562914719150793212625816137385767320316919375611788562918302499098689135,8.53758128314362575
19,48112207034100417359528195257364524018029922277838206608537377862532371534016217191950016638344866043120695784767488/192545913831835430519947141371146596335748591195527109378335179591916957024676473730760009765625,67.7597623720255772,0.18770017277569412,-10279580940848069431251413171012164437616039088796292456/231420068181557441379704147231173559287713748492973197139849745849480669395573486572265625,-34.3524256067055149,8978814128303869198776057795052375470990604640181126082735597615804098877940161360115429856076270239141929/405494650819706601790328178327880156560448879062036290223870542918191197420098291321219837671875,10.3452338517965065
20,1302117631715804820259730558661420246093871958523616135330178425882537554907419547826948258121284955137905238947965494002522976681984/18684291292072247635984069507160364419637863525089518127990184742149834020790100879791715517453415679931640625,75.8833801257590235,0.189708450314397559,-8214761256698015546274632714805230269763441000239257137525264244452820262/803424525559106648347314988807895670044428131578849279503577943912442862893974337831043767250496874237060546875,-37.990350138815595,8477656247392782451676218901907941083847278943688384780694342332316572207787472472078037340620575962089984026796491406373/4012607098743514895112277680161989274619275953111262205486877591332698891244410849087630413389377766123046875,12.3248491656539871
21,-28358677757754311295208523672097995836581373773203102531074780201099912455761907913073229147631777579561665092926917925296584904977902194393088/1684902547200806066688219976093467212329342500568715345360207988653923462360961176556711267533146770303125762939453125,83.799327489691263,0.190021150770274973,472212200504317173487371904422302456218169659960513963865223550416874/123603832101867631102886516396315674740212816336362377905561062808971403487954251213218765213092990325927734375,-41.4178947317211389,-16985677226851640764898566098980122541270454215969103078415416247609071182350940488727997078794859794569548303833028294521985241/102206999875348919098780666994689019869519301834128380309704584949890212297232074371355949907732149452664541015625,14.2206022266264833
22,-26961755197529763001991375003564972546987502404055920238875067695176810425563805012543846104874831810616542961660247679497356909391798341716391212328633002622976/2045236241072636571709581284194375965096376008374363971182646923679705334655895359655951734104423438985950382882331715677642822265625,93.4126335796310256,0.193001309048824433,532260777205902498069445802344969432638366227643144532461631798858431470783177843420738/2045236241072636571709581284194375965096376008374363971182646923679705334655895359655951734104423438985950382882331715677642822265625,-45.5846190159262097,-188550542997748386069675149776211262961949466498774023464999800286813859936294879600736890641233301825078597460767910406211348011249395803011161/4274921009552471867078094494219840869470301327522357984296663521261071580075768414921273432338196983790425435288806499587890625,16.6444996930458429
23,9234752582452983897207388173608758027048736836971067406143082173988531209488803578779845306907962806255131364739478877721898352504827664367451409447371297062478174748672/2450954721216515236271285075380275940205602208354464032744364323215434561175969486468204901195786455891659469071344000922212046051025390625,101.57157232345869,0.192006752974402061,-294397194946521035470381611397349679480589097395251358161104024978625436706668746782/4090472969767707925225954235462228547017040842896006375602942911494005542334873375928595122567564906789427536231742915677642822265625,-49.1428398594750172,8864962238769221755017193989261417614738129232704838869271634788441837072061328070029746708292832922979056487098028124900210832067373902631367661120687779/2140193055660146921318842900501098228118120427721237920983684109436643473297226539010296468753416229098236476534767031352514390126953125,18.6172239394605309
24,57601933648585515237260099551372571715816579806851174400464663975960586633141070382661099288862585654532061372565779041127506515085070222159632784606159997020925766617115654510845398280568832/6591825766658358717542402910756380398849026516465710068000923679528978442597075441551504368888543880851179095014159275800277173062094984024100017547607421875,112.75099435860987,0.195748254094808801,-8303149845185940412048924549078545419127322616318605861521852420206471970746998649651497476517295285788/6591825766658358717542402910756380398849026516465710068000923679528978442597075441551504368888543880851179095014159275800277173062094984024100017547607421875,-53.8997628440729448,1598733200559815378333575160444624077273172746126268561978515585318075934944173823347557427435137536691690360188608738367725614759734942810544803007227668464061212240985753589/493374378603250333237519306039553234881413339569786306138119462545436686644852362279591276939116844896825169795669416214980315699041862006696073974609375,21.5105994015400833
25,-29877383422225895929679206336205685449088271207385376852264142677369247397652454736576654062540463525141182230174791216390284823062092096693339396390371139382638608225240977600814415125557429028257792/11641313834282105166369739370693374942259586298101001702249594817948485244874264668701815068003641702131216326962897444360545799178269729309619282942104339599609375,120.949211332950823,0.193518738132721317,4004246337121314673006735899411137515040554349189942931979938975821644963103736350267001546343408588/13183651926220174096894213255488120281163002301867087734331490747482297845775417952582385472920815066177140259113032254927314824563381041304100017547607421875,-57.5175149413148523,-15574528739643179798860426150572124854882012319875124229119443280785530697693381627150994428387186683466293401573794816196908954118134489406280944305055512245244918615320244250258060751/49664689632031919047036044497016216871965531255221892882169217927213819000679960285892644630766462119084666836916220575587514508445150774445614856455778076171875,23.4963671886793377
26,-251172621597877910194664959561224713666587688979229756719870880901557175988338993456706352226455945930166371047908878240310763727364158457776824234565389449813661425452843878909552294434393453188804608293808929857601536/12098726557778124627550357339513375652847838459170339892665693256296737030694667235327885503295508202614381048179148680143141073090781136322472399451842895479157602024078369140625,133.930947805440408,0.198122703854201787,162748691752168615950965440834258281045859237820755781980716246579745008841003949546915497162700072573084455533314368/229875804597784367923456789450754137404108930724236457960648171869638003583198677471229824562614655849673239915403824922719680388724841590126975589585015014103994438457489013671875,-63.1499757561426672,-344066153397919739231045411779719975152538710227146490341308351089956033553126313243533270129710073009941034079916748853561386498507088070120774040121201911961655176965872780373211124767040674839534448947/402605767897935357870800023302691782838428029237651290735739865511660995733641414684698027276036179971319751116104450244261714713256177650076474192083825702193315905200537109375,26.9317619596649267
27,1303100359646025607785250776336012765905410469311413033314754027210911856041170502679231356639842937772439877294624838865883735425022012579493657855805494473033802482772501460811584459813977602202576867831095763868024068048932569088/401094303810339972284635043416371383856927354848697255574120289975625990998812164434729474316237807705395147404225257687034020079234620666604807965241612649900843976955272300052642822265625,141.220914801330481,0.193718675996338108,-1740984833835471391129208101695047440639664994223867910857370234051253693021592773853117181071769606568429162669376/5976770964072807674965898966525053238600203297270842683985277622355574568426411343531918791654059281341052483696903905033140258675439347953262268282530917710539127699947357177734375,-66.5356716256639748,1142852229108448378878658923265822249883697085016570812849320270023215171391831434557756823025914703840797498316685572028777231790690002064793378484112039349627198323807531347589572967878106463316946361410541267299/26146853731137315351459841354468221326202299195500209223145401167222982665448087796150608501148505312345223637907702777275517165452758515920064068823702812522209246155950114515869140625,28.6405706423174604
28,25333365470081462878851462660168078575111796570794958733130165317290473945374038002064531004825240321958932985059221595698087467035763839437441136655168041143124123905731903163501432308383871574045944691536937985424332924938491566930675508392330132455424/141262048093330351729045965681424937631421614648106590174531047622544633978856967595622019430606762123670886094258168666747747151774483164661743200006193116027589557316720237386841153133207309246063232421875,156.973285288942533,0.200221027154263435,5519709428588161968048284517253548883413689987206039763456417859740018003468398785054644048919770815729321476735813716369470301649835244/12572322280306401303885090945646819449196523703681486525533263238406472424118270116010359729324001829006708862388977011340549496507929001654895144800551187326455470601188101127428862628855450522899627685546875,-72.3574992892660794,947348842205134928421932196436450975034211326216591524971300703578181501395114236132984645029486382893098592993810267535061009150162691701483222221818215904780070041878961035354075431636718441011362583595019939128499801795864037477531/1155292617010283486715178826115394105063699344813043440215170362950330942691999211970061962475956254660783460121161747440501759076646327175944316634542859156867345527630850534127873714630627652587890625,32.9138179307265239
29,489667059125924732606708660328244725477636605052145298590988211025210594259284875962119153516069475678604026833632496199967679547545373599434601632740604949639983940242981448453278440683675301957928818193373458503574974373494724168615990560100942204855269711943827456/6749714116013695027148376615307259441942655898828573724797267795606093038632754048926557513319890276104498012062543724436458139430803161841784063998548829242085802902593573534642860567247480609544549477100372314453125,165.633379492580684,0.196948132571439577,1612472499482033114462268807426496848579837581531816405997288523130179487269052560624949681225575382112773425162965873997960285864156/25144644607448353002208209103030966762355054397820041040395605698234210673224049516583260260161573202409115487604063794167794039840240782804879720521824619784617508527677811914386870271095450522899627685546875,-76.1929531851820788,1450814367280603638339325087495568990080365659035622087483340824524820106272475447207829818765093820030047672803835416995966406821961570862303405674996875869030368049768468626419523742789691739762080622099934560217044111723882920313470457321187497/13025102995083584829501723531994126710501137585877516885048743524324241240045390596174634680939203450753539056388585832261416051544214282410818933694049056145933337690989958357203431185000681023279699295654296875,35.0468306815696763
30,-10228050545404301313750394760322137918717821450415803635184741486174890877021203326175780789760095962917742413946060471026849425138996103918120176666920568192357948712230102140859057167784440109236074959118731532799407802063600497107260861731208454397452205535676689282188333104967115281006592/1797616714695112696631441649633412788846407352820597836922726117017729179934801143236257863073134890308371394315097532492377050184849602318778553923207149163527040705822212702438743920190544458061215581683213342558390929210186004638671875,181.892490969848523,0.202102767744276136,-222784384069614996730362806950089225562438904223453028847868365881811384839046808448561671883071267614197455728333400859328951264491386977927339117512141324/1797616714695112696631441649633412788846407352820597836922726117017729179934801143236257863073134890308371394315097532492377050184849602318778553923207149163527040705822212702438743920190544458061215581683213342558390929210186004638671875,-81.9068123516381195,-32171138877650122913861081781712072842910494325516578015488781142158682796524619642153150754659562434846886199561397821750524186531894841244718005409742946334515389591383900014394069214370397540464117919852057900433916284129349361708275192505450162451469817869516940853/11130188739189674756499640605854600394988897631309852967261389776474374947991856034846052498574928236798242745183274505532219711142301075428636738837131373742317264924630726536528016913032479434024140018247340483815600183837890625,39.4609639065524033
31,-45577568737810712684504696049015486413485812723087706509237827110968982080440165676194166005139490204435842308374330885873445350446005639869100413916029257269449220522734316814296354412619517626766183540760711364791388213511968152667233062574268972863273708230267453430736436100448886990286710528112852992/3860352498381619106838092928622457508848323784882793179555127138955381822984705981296768418424722341962366356494260716237430867430062848134030225564395046622164048758056539467842879587829867347712937786606293387556353663112009070789813995361328125,192.911420882294995,0.200740292281264303,-11737221226475471835972258403731522601052992046142279213201781334489014782822095865347240120913488357012495354417800907531712172796655135839539898956364/3595233431064386421723737707683998361725660177514379245293798282974567363000729441919827703707432416891491760859035399832265700457923625215845043566301549029038844431839309539349925822745816009546400789313664824580790929210186004638671875,-86.4861618031106145,-12203595044136185490490555580433768084524153244718557311394411001500906232241179512803547606428251893393903899206996611456927192630438596775647512765933992461333884387257115321476729996690124322273470743530779823407822500562604892398583626103147556378555277843972797434206897089490101/6094984067885510515562079716424731336029391594497710831477906534465284906416541512622590775314253044144306333072454854728325479628734588605545282599818102483079237169409849051485330441909551044929817303568233549009942737361926273121337890625,42.3015152131519188
32,713435388204726652480345464225873086269341003071515259561081384894167074607866484553730967429920412216307089104753247196390820055579896334195791525019806722580641813970330416095156976519902756018903227915488176765331785792284690237083967136201251644510310424055203226450047434525657569224312636507638479463824102845649171706281984/1068164018081862273681958773588418747647867862190735242094481608770114426122159150414910064643571628867896537695191234990091148215960064805978578521261526476523422679285944794058938481333730502248355420656079118158967621740236887027712154223096136061847209930419921875,208.699191470048735,0.203807804169969468,5276077057583900503441647411731303396258318395522614186343502506557443158600325407538688575549016520131951193170417558689244358160055411278351164719393872870394008873840739119/1068164018081862273681958773588418747647867862190735242094481608770114426122159150414910064643571628867896537695191234990091148215960064805978578521261526476523422679285944794058938481333730502248355420656079118158967621740236887027712154223096136061847209930419921875,-92.3063268145083263,3467992285020030989135050880084789138235380429955867903496358664286880584342914847231203013958666101435118089071517342118928241214297727005664194664048024452391171574649452775690233436489937476010180051211799342636538021780779528103092247108705380081354135521360814818963339915390803758778667133346610864231/91990318239217359870596792964402993794136493685619527785973271885472262041789812200792603789438885543164936561950508964201695681008311716029092512274075381400009426659762386690233103019806296870117391228264168600128601471138959502908162595478004376190185546875,46.5763360013670225
33,39823121539065953807359460114146748763325460782820699433960842500231028874504403297124096837164221449799399640943491929243530016447848018025733294573236591753895233946202135485354305001909854862508198786272653462240477964312044338990016633578206668005229669829350928928342087618040229570574271863801215142628654227438445191724208062238665211904/9175459047782938214398566601883095397413320036829417695790146861387734875974848877756207966435862020598558638557058603801393496303183298951477095244794015238150897894512236366603246953549619456334951500756009931506492210835464452413503809152100230276103863938152790069580078125,221.365008331002072,0.203273653196512463,6350963467510188964411832629985832456797737954114692127354519340296434978407468425427014329793253445974948571058110359958776775904264922003322532722298164734664047793487/164332925877878912559978958813237561163446083878994718520276646096677219839617121672244000108465445263895303351011154946880746607966595774499320502344325144858083844931139366248265387253568391147845865042414626841968540814724096795632093204459702773988246917724609375,-97.4128849731820993,92629033218895711630578297326814265957204421212777171322243752421716705016203924960842444197328246654271965192586015203020958452642118540710416450993663408364035933043779473581540430094838459758155997738679162156598899978211620601698791851958558942408190021104662588953785989411368488684942936696547005486030454178073207/1133752041323695504633236708611021450689346791427102461425911997453277267163693810755409279215623443150210274014349418069326390096865380554128380035053551404807484626047627258171651913258361827432165288421627384285014077705994400054726378355648349957939995808074951171875,49.9122290492705284
34,-160682737994994813825684705942028179204615569076567027766252960006348308083002722066398940126630235290845075874231599772704550389895567528666539773535946387450401939843075802031712383651661139927812911437368096619561739579671774459006486055493721107337923699166299969412557661845336057338106818443974313332036245350520826489204123527538314569242595607082106414432256/550840907864290578044160138223039691155613176026579743374402392280603612217118871337399900237422398794300321170834741887953078861072363693698599657819833790227063145428776839678082355079345289722420355276921652792939724910511768024065639863076041288514784988867927261979165475070476531982421875,237.401402077450787,0.205364534669075075,-320771757711562857310332514096651035526578759527570283878690589796961656075776905868496973752880435552777271846930997761061439715797851903700172220455658892474527871225553552934724301342921989207/8124352550090421735573317878651612404854138733216024635029060883746622676590286233355311128601742959817135436948641608105419960121956292118360646353184728572058954331929029608412036655065263678115977819979317457043068002705138066586944122340508532964304563800813059186930711591814458370208740234375,-103.403592637099696,-47909975935718967843228429615071726040588198290362775588750414656692456288898654775405829981645523525929370497879055406751911147295906124794651451445602340283605802357397448107238307826679828726057947593914820025527443728413345774103212604482027363220726071972092153019458812595951468029256091063169702533755719009811505125415629922763429322399/26188007474390741528000598280778191515383927805206406031292807565756101222022831883844279981633595859511829016161054264264004477605232921371397234622339825204277115930571172187054168167056666071614705130204221472631303424508178321606577369400640627348045090183388563773203064158892822265625,54.2623234965170881
35,-1429197398779516312741455771359785923653092107093495559807264937806202266459037531566171709659438847927038883095961894681516855780420841100719483588067292660561725077212693327006135252250608256127192013632895057356018366169879042307778855850497888840786655216636789712689267122266902868466454342147481297415784185544168902220127548207119173772340522098391885072141524023144353370210304/279150628022376153026989259056592856973479887670423418951425195407247757887511490631730398928639378639500967776959550470552376384449991609396296005644439950955855177344682731757234041801656285289933101376864373175235578023937792214539624701668312878384499762299995815539824996051878888408185541629791259765625,251.500696602848949,0.205306691104366489,-1735902695026352483438598515325053371832505740997057470542828834014778955111433384744470050318311765417266672947868752790851428008827317454637209235065802982569748535807646519939080981899127/16248705100653743029551289631411441753437470727592059974501448181792465391877570423740426157157623953922802566718447082517134460327630284575508342253739729826897086294576282266749204373243584394407032859236433056327049334083267112065973447969549238120324967919169039433996311591814458370208740234375,-108.971293379287799,-46807934773765924449035546830982539696194514221870862608830687832054926006640263605060910072970384058220437793316095629363374912468005591029698034946434319618473358568444783209324322838677203495529113245512801467069202386149072056224379562654893604304866824895860050437926049431814335504765714192109887603948350569495945486335482515280741507157342153195564223/4372331188517206822705376263855182952699490143036330772187593387904914596483413398593151296433196366924410169031575063985567615842959835091600291232444564849961951285848096599447781674979239622055895759982620465944994192514095623378214051042780952499507086618717635630391088809457520279678619384765625,58.0296064291354516
36,602130245219130307629730431498728684853416465028350538909979676160449602532452203761454147965654442432641237799470764817753416798396917478767537237558488767597837883335440310458144343869576169090823362605352029647479863156670797482915409465771465920714466740544060566708377294927111823688018864924184899938055639274853490003663059512998070915913321270739136518776476222420046828805942981302409985333037416065085210624/1264987614744644692751085842185391402864021146350587603763120453502120903304474322228345960765417910436956265447466983787672563789007690959727523312296996763077610361481387512597148607906943260478242765805393058571903968311275771626000321646707540011380312576089863504614505775705866870371021948583994165566594052804820239543914794921875,268.005199917488926,0.206794135738803184,87150267516157377405838266002802218300001378042653861825725260993035393897681867514081438951322481326298047736596766108068805861257204538878973415542033512956569218171010762597760796510552568728119331732251609026689846951/1264987614744644692751085842185391402864021146350587603763120453502120903304474322228345960765417910436956265447466983787672563789007690959727523312296996763077610361481387512597148607906943260478242765805393058571903968311275771626000321646707540011380312576089863504614505775705866870371021948583994165566594052804820239543914794921875,-115.161817548880335,5609241474998862229959674678074230840922051757409115762386498693101002474261923450838310038017652734180529225488000232486990607873762594094548429168023586639004088074869363831940043312056934963588958916613581584902279688949298100261402407311160268685175864592874607186678507542919345860725547238748013426162401293347423373399171777614817376555759488620917596303162586849972065333946520311/16910507459711771490160402199381786981902130266988861711154674997170880256879223227218158593545309913862167695540000420572712993713476580340553167683162365836454745598898640364704291060477731011853143418232570060361605681905470003515651635048630181439131109578165637298851618829853834899738291172253707823230784789276123046875,62.520747496230527
37,159451057627296420465819517213637433909040146032497969276658589265778101544466941356568674707685232049828877464673009435207169103116568134952451113957244789535710729231175275565960115720285578562449481170726524101300899886157432304079825289070882885365422813971534478666274633510860907115526065247242439365411720010780802731899025013499604674653895673513048267065026721540949548102223349103411591587670796303444570807879065202065408/7559068431490456324932329480384559042354418194488630049004734631071583209960005935602430501692567988626733801986797381721853949477422065177179930928558901750159187010152517781580866690843252064117662639016076800779577704722334313963281748723168334433433460462202212927193654482560843433854055395571970802462721320669000258573703467845916748046875,283.440721377446919,0.2070421631683323,175018090927197579196217380177403952662577372867196780216122523307866760000509714299158237680798446199019086983144272193561208225120649329539086961328578578107084919020089304548175101867007048765234452515594542366799/2529975229507697378037137611345417034834056328808547513558259292450452239740561181076867254451003551262923880086735351646921134519327150098898936433481193332221919184168361653581498766186651428010269477459660787941392452871588199545324727953676431496898964136599531942368100645271879324339026838751951513337474052804820239543914794921875,-121.16003332679648,34167432801454139681440520263174959837070484401766715437826462990110983589420751447012630509359630065909356620114647205032018509248198412269619053257210223801476349116712471864013597257344260877006177106527410956154369979861368328920176524845593360673354328225168686811591601314442287477498938622542650294228389342457206736812641447556477295743399113727112929089404864392107303760876498992015280144872171/6972487343778973706721419556622438457911441202521388915983922455860887004784008266376776879113717950544732451443564236067240596945670869693220440442823439805004351327892516785789266589205120358709213783230668268748359154250765355300721554469081268987297085163946328386743789286267926041548140851501282187172733570644406845632171630859375,66.6902246143243692
38,-8824853033839397275484455276047038190119957076259763731492007379225906061387274846795449302786239810018610384587351199232504432356187338926317043629903192201351367677260795473636158551560192899553994468921693063280554546485527426134743120711270549409087576625801117731873134547512220684036289171888479328454608415259643462282662246498212792077432980768750406889819900394397789782564780088318367870610532552692837777762631892995293775841216429919550965398110208/3031472869859309388370502400734107772816010681902656257483678859013686483367256923755330080728679984864541998477623013239105586397144719835685480482757257361918768152689829895432435381422180232854374666639735411637350811600288412779439591795083206906906990796036330924024602596098068115066749076370642759155989372202697354260106038852426176324449352733790874481201171875,300.51508188117464,0.208112937590841164,-6339376536268280753444639112452262436399635121684270652357123658249138550154785850109108674504130373806172228910392538796815276694638658541891771063524500983682481927686803327501446036408999601220725327217498883296620158744593576279083669057/233190220758408414490038646210315982524308513992512019806436835308745114105173609519640775440667691143426307575201770249161968184395747679668113883289019797070674473283833068879418106263244633296490358972287339356719293200022185598418430138083323608223614676618179301848046353546005239620519159720818673781229951707899796481546618373263552024957642517983913421630859375,-127.565663785491432,-2514665205173623087890009368159099495864576918373071486935072742428204192188005946439217747106742972734466503874783280719184741652570039834411331677579384202812478627592801632524975704408709663172355981059575392637936018076221763042653692709863482285804541929115886306134561138478549686914289129305817706339689178006435574677146204093943719480345996404940859065573270021726118448166553254759333105839017214173976535720026743161357/11156320557488771255993624403671572751922426216972442264425039080231418180707557513345180882665236498501171241914814848511384543827819014993776968077096841497803314567070226898207467401970985670431331859034639094080629808884526934414208111012639184472991304232459604373630631110320975816857000180756798867133001993080516884836294313806086102213672210693359375,71.3529591881322677
39,-28269144126412014390608642865722709876921076716838805530158259238228561910053467565132391474483811539477848100650189615739761390091080849049749942427681071617668201551428512580807412941517404309406949404809924063675659280406088943274888411557512796757079975617154177209470888045961798373536878730478398497156218878907690861347884701916881422876737586234336764818459577330625418679900796195656379532963153193130894427978527680955531638232914559977608067605236525383996946776064/89897957896249939551185702739596136863187157686059952211708435580199425740936198505372266011656744515895645899034311244006374610846385846724042468802943178345014414003783767600014746971451110601946800772159778557291900279494337115308924978803905413252716777466824168339665386322759939302363070023018784198052345894515389016863402934004603936297939058757602317072451114654541015625,317.236036969991661,0.208570701492433702,-3557045888597662816790281479449091356621548094336009745897683068934105014277483962468649179393358064086042983022808135549426917752892652339037911002321685542785098966632788748264226765041998327151858808428901684062964488901431268627361/338275942560023234937108436052256392973992668380281765643012143362469948836356314161243595592985575244129718031934320623808068027429539430219575235706304402893962897360109100100299713954196829163507765743423358810519914162413593116169103507954804610715221285568585065130345811522169132240833907016915116495629014700173927107575130046086584107372710667550563812255859375,-133.978181644868103,-3340533820254131669443089802450665510343170161619084680467120047665815730668116662427263829376031397121482439190422119933914078804708736429043360734887554852221802626880850382533918515613871241717730616593216636884482495380641824723076665236851412535489707925935269684223796891453203986495462039899281566848924094168476572531245913121813192587594113447558965830560528742118037339601962946998937269570229714114520424985848190840260450700473008578971/411573495383410473355025864154073652596316755537853899942874126195229822245262813468852672086923509461496476365530944570632539255450050149976268657360998900722153636112848365148684332750698172862614672397313183202462967412931822092003498068373507148414053485549029394684265730007324339271338821344642452522740285966002905025838110909763535969263577325009050943756103515625,75.9093684738166531
40,288978506049250883482741005953099715160602229327100144044731794997780030987068058143149667755564687022800468584902742572314377457749172427210013035098221849425399182159257302595868185147029953109051371292513076024038612689204251736467687211575852621679151773637588329744901846621398162560843216091263966254877176413455253162975303127784831216127953768877895877431561859690873820193487012129858725039954589464955942068531804727834844336186980537867459053791211887001131970761797408750650308844624329991664959488/4321658706076973998439818944699146014492938975464540665411674132379721525968403214061006321121970269302658160460657517988321335007331234369567196919044125829855123124023965016707859288988921343531202003285306240952012731111900770289736097199791932456795578866350098887549281304952451937883448902230417268969252346222289112604231360320511314611257493613181305549715872618588809608056138386018574237823486328125,334.934114631149383,0.209333821644468364,10683111412083896364956735168525752082623470204056762823961150260582704117343978909696452180462588551311372639394708082428968409166417111193280491846163495132946829218713655957391570107881934494596828189229561743808403355196591305071522339758237325302476065534802826963/4321658706076973998439818944699146014492938975464540665411674132379721525968403214061006321121970269302658160460657517988321335007331234369567196919044125829855123124023965016707859288988921343531202003285306240952012731111900770289736097199791932456795578866350098887549281304952451937883448902230417268969252346222289112604231360320511314611257493613181305549715872618588809608056138386018574237823486328125,-140.606952708816603,3765139597306284098748312155453944178309830643855937349853192777997847634566560442060224351744381627524258321689093034375935283567388067566712576149654316010376477871583559915765561133910277997716018121891401729504705283378837737835069905720414223619390747958826052002988152235449767782198421316096556679955500489056887111135510649221808247066990215524174465226024826005595418379026250222993628756665356803416302538934013614813222303243126049000816418049419833786547644101704039/6544851701196255666139331040956064460750124331363405147300681144867818666510012823184337413244624218860297400679181340032015982423602625313354774471805447686787323539648265757588471883730888744562572921690177286076519599702739358686285959163335285763120359178378654073104149659182375404117156994806735257253683021028484255475154447144683952344364248406140993102257506054951508209023952484130859375,80.7598812724663458
