n,v_2_3_2n,v_2_4_2n,v_2_5_2n,v_2_8_2n,v_2_9_2n,v_2_16_2n,v_3_4_2n,v_3_9_2n
61,4194304,2147483648,34359738368,2199023255552,4398046511104,70368744177664,354294,411782264189298
62,8388608,2147483648,68719476736,4398046511104,8796093022208,140737488355328,1062882,411782264189298
63,8388608,4294967296,68719476736,4398046511104,17592186044416,281474976710656,1062882,1235346792567894
64,8388608,4294967296,137438953472,8796093022208,17592186044416,281474976710656,1062882,1235346792567894
65,16777216,8589934592,137438953472,17592186044416,35184372088832,562949953421312,1062882,3706040377703682
66,16777216,8589934592,274877906944,17592186044416,70368744177664,1125899906842624,1062882,3706040377703682
67,33554432,17179869184,274877906944,35184372088832,70368744177664,2251799813685248,3188646,11118121133111046
68,33554432,17179869184,549755813888,70368744177664,140737488355328,2251799813685248,3188646,11118121133111046
69,33554432,34359738368,1099511627776,70368744177664,281474976710656,4503599627370496,3188646,33354363399333138
70,67108864,34359738368,1099511627776,140737488355328,281474976710656,9007199254740992,3188646,33354363399333138
71,67108864,68719476736,2199023255552,281474976710656,562949953421312,18014398509481984,3188646,100063090197999414
72,67108864,68719476736,2199023255552,281474976710656,1125899906842624,18014398509481984,9565938,100063090197999414
73,134217728,137438953472,4398046511104,562949953421312,1125899906842624,36028797018963968,9565938,300189270593998242
74,134217728,137438953472,4398046511104,1125899906842624,2251799813685248,72057594037927936,9565938,300189270593998242
75,268435456,274877906944,8796093022208,1125899906842624,4503599627370496,144115188075855872,9565938,900567811781994726
76,268435456,274877906944,17592186044416,2251799813685248,4503599627370496,144115188075855872,9565938,900567811781994726
77,268435456,549755813888,17592186044416,4503599627370496,9007199254740992,288230376151711744,28697814,2701703435345984178
78,536870912,549755813888,35184372088832,4503599627370496,18014398509481984,576460752303423488,28697814,2701703435345984178
79,536870912,1099511627776,35184372088832,9007199254740992,36028797018963968,1152921504606846976,28697814,8105110306037952534
80,536870912,1099511627776,70368744177664,18014398509481984,36028797018963968,1152921504606846976,28697814,8105110306037952534
81,1073741824,2199023255552,70368744177664,18014398509481984,72057594037927936,2305843009213693952,86093442,24315330918113857602
82,1073741824,2199023255552,140737488355328,36028797018963968,144115188075855872,4611686018427387904,86093442,24315330918113857602
83,2147483648,4398046511104,281474976710656,72057594037927936,144115188075855872,9223372036854775808,86093442,72945992754341572806
84,2147483648,4398046511104,281474976710656,72057594037927936,288230376151711744,9223372036854775808,86093442,72945992754341572806
85,2147483648,8796093022208,562949953421312,144115188075855872,576460752303423488,18446744073709551616,86093442,218837978263024718418
86,4294967296,8796093022208,562949953421312,288230376151711744,576460752303423488,36893488147419103232,258280326,218837978263024718418
87,4294967296,17592186044416,1125899906842624,288230376151711744,1152921504606846976,73786976294838206464,258280326,656513934789074155254
88,4294967296,17592186044416,1125899906842624,576460752303423488,2305843009213693952,73786976294838206464,258280326,656513934789074155254
89,8589934592,35184372088832,2251799813685248,1152921504606846976,2305843009213693952,147573952589676412928,258280326,1969541804367222465762
90,8589934592,35184372088832,4503599627370496,1152921504606846976,4611686018427387904,295147905179352825856,258280326,1969541804367222465762
91,8589934592,70368744177664,4503599627370496,2305843009213693952,9223372036854775808,590295810358705651712,774840978,5908625413101667397286
92,17179869184,70368744177664,9007199254740992,4611686018427387904,9223372036854775808,590295810358705651712,774840978,5908625413101667397286
93,17179869184,140737488355328,9007199254740992,4611686018427387904,18446744073709551616,1180591620717411303424,774840978,17725876239305002191858
94,34359738368,140737488355328,18014398509481984,9223372036854775808,36893488147419103232,2361183241434822606848,774840978,17725876239305002191858
95,34359738368,281474976710656,18014398509481984,18446744073709551616,36893488147419103232,4722366482869645213696,774840978,53177628717915006575574
96,34359738368,281474976710656,36028797018963968,18446744073709551616,73786976294838206464,4722366482869645213696,2324522934,53177628717915006575574
97,68719476736,562949953421312,72057594037927936,36893488147419103232,147573952589676412928,9444732965739290427392,2324522934,159532886153745019726722
98,68719476736,562949953421312,72057594037927936,73786976294838206464,295147905179352825856,18889465931478580854784,2324522934,159532886153745019726722
99,68719476736,1125899906842624,144115188075855872,73786976294838206464,295147905179352825856,37778931862957161709568,2324522934,478598658461235059180166
100,137438953472,1125899906842624,144115188075855872,147573952589676412928,590295810358705651712,37778931862957161709568,2324522934,478598658461235059180166
